Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAINI BINTI MD SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' AHMAD YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAN ZAMINI BIN JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,2851,16,1726,422,391,2555,92,204,UNDI POS,UNDI POS,UNDI POS
2,008/09/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1,15,0,10,5,0,15,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/09/00
3,008/10/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1,42,0,31,7,4,42,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/10/00
3,008/10/00,"DEWAN AEROANGKASA, KOLEJ TENTERA UDARA, KEPALA BATAS",1,268,2,183,51,29,265,3,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/10/00
3,008/10/00,"DEWAN AEROANGKASA, KOLEJ TENTERA UDARA, KEPALA BATAS",2,287,1,215,39,32,287,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/10/00
3,008/10/00,"DEWAN AEROANGKASA, KOLEJ TENTERA UDARA, KEPALA BATAS",3,288,4,199,50,31,284,4,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/10/00
3,008/10/00,"DEWAN MAKAN, KEM BUKIT PINANG",1,373,3,299,54,15,371,2,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/10/00
4,008/11/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1,349,1,197,124,24,346,3,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/11/00
4,008/11/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",2,352,0,212,122,16,350,2,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 008/11/00
5,008/09/01,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",1,274,2,137,84,49,272,2,0,KEDUNDONG ,UNDI BIASA,KEDUNDONG 008/09/01
5,008/09/01,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",2,256,1,175,46,33,255,1,0,KEDUNDONG ,UNDI BIASA,KEDUNDONG 008/09/01
6,008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",3,361,7,187,128,35,357,4,0,DERANG ,UNDI BIASA,DERANG 008/09/02
6,008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",4,562,1,386,113,56,556,6,0,DERANG ,UNDI BIASA,DERANG 008/09/02
6,008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",5,508,0,394,65,44,503,5,0,DERANG ,UNDI BIASA,DERANG 008/09/02
6,008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",6,560,1,418,72,66,557,3,0,DERANG ,UNDI BIASA,DERANG 008/09/02
7,008/09/03,"SEKOLAH KEBANGSAAN BUKIT TAMPOI, KUALA NERANG",1,329,0,207,99,14,320,9,0,KAMPUNG KEJAL ,UNDI BIASA,KAMPUNG KEJAL 008/09/03
7,008/09/03,"SEKOLAH KEBANGSAAN BUKIT TAMPOI, KUALA NERANG",2,348,0,263,64,16,343,5,0,KAMPUNG KEJAL ,UNDI BIASA,KAMPUNG KEJAL 008/09/03
