Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RASHID YOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,1956,1212,125,14,408,1759,62,135,UNDI POS,UNDI POS,UNDI POS
2,011/18/00,"PINTU 1 DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH PENDANG",1,139,69,4,0,66,139,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 011/18/00
3,011/19/00,"PINTU 2 DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH PENDANG",1,23,15,1,0,6,22,1,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 011/19/00
4,011/18/01,"MAKTAB MAHMUD PENDANG, PENDANG",1,358,199,20,10,127,356,2,0,SRI PUDAK ,UNDI BIASA,SRI PUDAK 011/18/01
4,011/18/01,"MAKTAB MAHMUD PENDANG, PENDANG",2,546,413,31,9,88,541,5,0,SRI PUDAK ,UNDI BIASA,SRI PUDAK 011/18/01
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",1,347,214,15,4,111,344,3,0,KEPALA BUKIT ,UNDI BIASA,KEPALA BUKIT 011/18/02
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",2,399,246,20,5,127,398,1,0,KEPALA BUKIT ,UNDI BIASA,KEPALA BUKIT 011/18/02
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",3,528,404,17,4,99,524,4,0,KEPALA BUKIT ,UNDI BIASA,KEPALA BUKIT 011/18/02
5,011/18/02,"SEKOLAH KEBANGSAAN PENGHULU JUSOH, TOBIAR",4,492,373,26,0,92,491,1,0,KEPALA BUKIT ,UNDI BIASA,KEPALA BUKIT 011/18/02
6,011/18/03,SEKOLAH MENENGAH KEBANGSAAN TOBIAR,1,381,290,15,6,69,380,1,0,KAMPUNG PENYAROM ,UNDI BIASA,KAMPUNG PENYAROM 011/18/03
6,011/18/03,SEKOLAH MENENGAH KEBANGSAAN TOBIAR,2,590,475,40,4,71,590,0,0,KAMPUNG PENYAROM ,UNDI BIASA,KAMPUNG PENYAROM 011/18/03
7,011/18/04,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",1,367,175,111,5,73,364,3,0,TANAH MERAH ,UNDI BIASA,TANAH MERAH 011/18/04
7,011/18/04,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",2,398,231,84,4,78,397,1,0,TANAH MERAH ,UNDI BIASA,TANAH MERAH 011/18/04
7,011/18/04,"SEKOLAH KEBANGSAAN TANAH MERAH, PENDANG",3,413,279,68,3,63,413,0,0,TANAH MERAH ,UNDI BIASA,TANAH MERAH 011/18/04
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",1,365,227,27,2,103,359,6,0,KAMPUNG RAMBAI ,UNDI BIASA,KAMPUNG RAMBAI 011/18/05
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",2,383,261,20,5,97,383,0,0,KAMPUNG RAMBAI ,UNDI BIASA,KAMPUNG RAMBAI 011/18/05
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",3,396,302,22,3,68,395,1,0,KAMPUNG RAMBAI ,UNDI BIASA,KAMPUNG RAMBAI 011/18/05
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",4,386,321,15,2,47,385,1,0,KAMPUNG RAMBAI ,UNDI BIASA,KAMPUNG RAMBAI 011/18/05
8,011/18/05,"SEKOLAH KEBANGSAAN KG RAMBAI, SIMPANG EMPAT",5,397,313,15,3,66,397,0,0,KAMPUNG RAMBAI ,UNDI BIASA,KAMPUNG RAMBAI 011/18/05
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",1,341,193,53,8,80,334,7,0,KUBANG JELAI ,UNDI BIASA,KUBANG JELAI 011/18/06
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",2,380,225,64,9,78,376,4,0,KUBANG JELAI ,UNDI BIASA,KUBANG JELAI 011/18/06
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",3,406,277,54,5,70,406,0,0,KUBANG JELAI ,UNDI BIASA,KUBANG JELAI 011/18/06
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",4,393,265,57,4,65,391,2,0,KUBANG JELAI ,UNDI BIASA,KUBANG JELAI 011/18/06
9,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",5,399,293,48,4,53,398,1,0,KUBANG JELAI ,UNDI BIASA,KUBANG JELAI 011/18/06
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",1,318,55,161,6,90,312,6,0,PEKAN TOKAI ,UNDI BIASA,PEKAN TOKAI 011/18/07
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",2,387,101,170,9,103,383,4,0,PEKAN TOKAI ,UNDI BIASA,PEKAN TOKAI 011/18/07
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",3,439,184,163,8,83,438,1,0,PEKAN TOKAI ,UNDI BIASA,PEKAN TOKAI 011/18/07
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",4,423,209,157,9,47,422,1,0,PEKAN TOKAI ,UNDI BIASA,PEKAN TOKAI 011/18/07
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",5,394,215,121,9,48,393,1,0,PEKAN TOKAI ,UNDI BIASA,PEKAN TOKAI 011/18/07
10,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",6,471,246,158,6,58,468,3,0,PEKAN TOKAI ,UNDI BIASA,PEKAN TOKAI 011/18/07
11,011/18/08,"SEKOLAH KEBANGSAAN KAMPUNG PULAI, TOKAI",1,368,221,10,4,129,364,4,0,KAMPUNG PULAI ,UNDI BIASA,KAMPUNG PULAI 011/18/08
