Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ZULHAZMI BIN SHARIFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SERI DR. JAMIL KHIR BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK NIZAM MAHSHAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,2104,189,379,1282,31,1881,62,161,UNDI POS,UNDI POS,UNDI POS
2,012/21/00,"DEWAN DATO ZAMRI, IBU PEJABAT POLIS DAERAH YAN",1,145,3,60,78,4,145,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 012/21/00
3,012/22/00,"BILIK GERAKAN KEM HOBART, UNIT LAPANG SASAR",1,46,0,10,36,0,46,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 012/22/00
3,012/22/00,"BILIK MAKLUMAT BALAI, BALAI POLIS GURUN",1,66,4,27,35,0,66,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 012/22/00
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",1,333,14,91,215,4,324,9,0,MATANG BULOH ,UNDI BIASA,MATANG BULOH 012/20/01
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",2,394,22,100,259,10,391,3,0,MATANG BULOH ,UNDI BIASA,MATANG BULOH 012/20/01
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",3,467,25,89,342,7,463,4,0,MATANG BULOH ,UNDI BIASA,MATANG BULOH 012/20/01
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",4,454,21,83,343,6,453,1,0,MATANG BULOH ,UNDI BIASA,MATANG BULOH 012/20/01
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",5,471,14,73,382,1,470,1,0,MATANG BULOH ,UNDI BIASA,MATANG BULOH 012/20/01
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",1,389,39,85,249,7,380,9,0,SUNGAI DEDAP ,UNDI BIASA,SUNGAI DEDAP 012/20/02
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",2,569,29,93,435,7,564,5,0,SUNGAI DEDAP ,UNDI BIASA,SUNGAI DEDAP 012/20/02
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",3,507,23,53,424,4,504,2,1,SUNGAI DEDAP ,UNDI BIASA,SUNGAI DEDAP 012/20/02
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",4,563,28,71,458,6,563,0,0,SUNGAI DEDAP ,UNDI BIASA,SUNGAI DEDAP 012/20/02
6,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",1,347,36,69,237,1,343,4,0,GELAM TIGA ,UNDI BIASA,GELAM TIGA 012/20/03
6,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",2,495,40,70,380,1,491,4,0,GELAM TIGA ,UNDI BIASA,GELAM TIGA 012/20/03
6,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",3,474,31,55,384,3,473,1,0,GELAM TIGA ,UNDI BIASA,GELAM TIGA 012/20/03
7,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",4,315,5,23,279,2,309,6,0,BUKIT CHORAS ,UNDI BIASA,BUKIT CHORAS 012/20/04
