Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MAIZA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' LATIFAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AHMAD TARMIZI SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,1179,213,51,759,1023,75,81
2,UNDI AWAL 013/23/00,"PUSAT LATIHAN, IBU PEJABAT POLIS DAERAH SIK",1,149,80,1,68,149,0,0
3,UNDI AWAL 013/24/00,"PUSAT LATIHAN, IBU PEJABAT POLIS DAERAH SIK",1,4,2,0,2,4,0,0
4,KOTA AUR 013/23/01,"SEKOLAH KEBANGSAAN KOTA  AUR, KOTA AUR",1,362,119,14,227,360,2,0
4,KOTA AUR 013/23/01,"SEKOLAH KEBANGSAAN KOTA  AUR, KOTA AUR",2,378,62,5,309,376,2,0
5,BELANTEK 013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",1,381,149,13,216,378,3,0
5,BELANTEK 013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",2,371,136,9,222,367,4,0
5,BELANTEK 013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",3,452,116,11,321,448,4,0
5,BELANTEK 013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",4,418,106,9,302,417,1,0
5,BELANTEK 013/23/02,"SEKOLAH KEBANGSAAN SERI AMPANG MUDA, KAMPUNG BELANTEK",5,499,113,13,373,499,0,0
6,KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",1,353,127,23,198,348,5,0
6,KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",2,366,115,14,232,361,5,0
6,KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",3,509,121,35,350,506,3,0
6,KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",4,475,85,26,362,473,2,0
6,KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",5,473,86,21,364,471,2,0
6,KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",6,489,83,17,385,485,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.013 SIK
JUMLAH PEMILIH: 63,126                                                                                                                                                                                                 MUKASURAT: 2/7",KAMPUNG GULAU 013/23/03,"SEKOLAH MENENGAH KEBANGSAAN GULAU, KAMPUNG GULAU",6,489,83,17,385,485,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",17,385,485,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",MAIZA,DATO' LATIFAH,AHMAD TARMIZI SULAIMAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
7,KUBANG KESOM 013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",1,361,115,96,139,350,11,0
7,KUBANG KESOM 013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",2,381,103,97,179,379,2,0
7,KUBANG KESOM 013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",3,401,76,92,233,401,0,0
8,CHEPIR 013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",1,400,101,10,285,396,4,0
8,CHEPIR 013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",2,485,95,15,369,479,6,0
8,CHEPIR 013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",3,456,71,17,367,455,1,0
8,CHEPIR 013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",4,500,65,18,415,498,2,0
9,KAMPUNG CHONG 013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",1,331,129,18,179,326,5,0
9,KAMPUNG CHONG 013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",2,531,194,44,285,523,8,0
9,KAMPUNG CHONG 013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",3,512,120,44,342,506,6,0
9,KAMPUNG CHONG 013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",4,486,92,49,338,479,7,0
9,KAMPUNG CHONG 013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",5,456,100,33,323,456,0,0
9,KAMPUNG CHONG 013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",6,491,102,59,329,490,1,0
10,BENDANG MAN 013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",1,391,153,6,229,388,3,0
10,BENDANG MAN 013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",2,595,163,20,409,592,3,0
10,BENDANG MAN 013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",3,613,164,10,438,612,1,0
11,DURIAN BURONG 013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",1,286,91,10,182,283,3,0
11,DURIAN BURONG 013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",2,314,84,12,217,313,1,0
11,DURIAN BURONG 013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",3,349,81,12,255,348,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.013 SIK
JUMLAH PEMILIH: 63,126                                                                                                                                                                                                 MUKASURAT: 3/7",DURIAN BURONG 013/23/08,"SEKOLAH KEBANGSAAN SIK DALAM, SIK",3,349,81,12,255,348,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",12,255,348,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",MAIZA,DATO' LATIFAH,AHMAD TARMIZI SULAIMAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
12,CHAROK KIT 013/23/09,"KOLEJ KEDA, SIK",1,370,118,27,223,368,2,0
