Bil,No. Kod Daerah Mengundi,`,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL ANUAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' SHAIFUL HAZIZY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD NAZRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MOSIN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,3414,16,655,565,1655,37,2928,286,200,UNDI POS,UNDI POS,UNDI POS
2,014/25/00,"BILIK KULIAH 1, SEKOLAH LATIHAN ASAS KEPOLISAN DAERAH KUALA MUDA",1,269,2,126,15,125,0,268,1,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/25/00
3,014/26/00,"BILIK KULIAH 1, SEKOLAH LATIHAN ASAS KEPOLISAN DAERAH KUALA MUDA",1,30,0,9,3,18,0,30,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",1,375,0,92,20,258,2,372,3,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",2,359,1,76,21,252,4,354,5,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",3,375,2,72,11,281,3,369,6,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",4,395,1,79,16,297,1,394,1,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",5,312,0,80,4,223,4,311,1,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",6,366,4,101,19,238,1,363,3,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",7,436,0,110,38,279,3,430,6,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",8,496,1,101,14,374,2,492,4,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 014/26/00
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",9,496,2,100,28,358,5,493,3,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 014/26/00
4,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",1,381,1,154,34,180,6,375,6,0,KUALA SIN ,UNDI BIASA,KUALA SIN 014/25/01
4,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",2,367,0,100,17,241,8,366,1,0,KUALA SIN ,UNDI BIASA,KUALA SIN 014/25/01
4,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",3,405,0,97,25,277,2,401,4,0,KUALA SIN ,UNDI BIASA,KUALA SIN 014/25/01
5,014/25/02,"SEKOLAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",1,349,1,143,71,127,4,346,3,0,KAMPUNG SUNGKAP ,UNDI BIASA,KAMPUNG SUNGKAP 014/25/02
5,014/25/02,"SEKOLAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",2,526,1,86,85,345,6,523,3,0,KAMPUNG SUNGKAP ,UNDI BIASA,KAMPUNG SUNGKAP 014/25/02
6,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",1,333,11,112,155,32,5,315,18,0,BUKIT LEMBU ,UNDI BIASA,BUKIT LEMBU 014/25/03
6,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",2,363,9,87,183,75,2,356,7,0,BUKIT LEMBU ,UNDI BIASA,BUKIT LEMBU 014/25/03
6,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",3,339,1,65,167,106,0,339,0,0,BUKIT LEMBU ,UNDI BIASA,BUKIT LEMBU 014/25/03
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,1,356,3,96,81,165,3,348,8,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,2,616,2,137,78,389,6,612,4,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,3,540,4,81,94,356,4,539,1,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,4,452,3,46,99,299,5,452,0,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,5,504,1,49,87,360,6,503,1,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,6,535,0,50,80,402,2,534,1,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG,7,593,0,40,70,479,4,593,0,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",1,299,7,108,119,60,3,297,2,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",2,364,1,129,104,123,4,361,3,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",3,371,7,117,118,121,4,367,4,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",4,357,7,67,171,96,3,344,13,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",5,565,9,95,298,155,5,562,3,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",6,540,3,80,262,190,5,540,0,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
7,014/25/04,"SEKOLAH MENENGAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",7,505,0,75,235,176,5,491,14,0,"TAMAN BANDAR BARU
",UNDI BIASA,"TAMAN BANDAR BARU
014/25/04"
