Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU JOHARI ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) LT KOL (B) BASIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,2599,158,12,691,1394,2255,198,146
2,UNDI AWAL 016/30/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH BALING",1,216,6,1,127,82,216,0,0
3,UNDI AWAL 016/31/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH BALING,1,20,0,0,11,9,20,0,0
4,UNDI AWAL 016/32/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH BALING,1,25,1,0,11,12,24,1,0
5,"KAMPUNG BATU LAPAN
016/30/01","SEKOLAH KEBANGSAAN TANJONG PARI,BALING",1,387,7,1,181,196,385,2,0
5,"KAMPUNG BATU LAPAN
016/30/01","SEKOLAH KEBANGSAAN TANJONG PARI,BALING",2,538,8,2,161,367,538,0,0
6,TANJONG PARI 016/30/02,"SEKOLAH  KEBANGSAAN TANJONG PARI, BALING",3,389,17,1,153,216,387,2,0
6,TANJONG PARI 016/30/02,"SEKOLAH  KEBANGSAAN TANJONG PARI, BALING",4,444,12,2,137,292,443,1,0
6,TANJONG PARI 016/30/02,"SEKOLAH  KEBANGSAAN TANJONG PARI, BALING",5,453,9,0,123,318,450,3,0
7,KAMPUNG WENG 016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",1,382,13,0,123,242,378,4,0
7,KAMPUNG WENG 016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",2,491,10,1,107,370,488,3,0
7,KAMPUNG WENG 016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",3,481,24,0,79,375,478,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                             MUKASURAT: 2/14",KAMPUNG WENG 016/30/03,"SEKOLAH KEBANGSAAN SERI BAYU, WENG",3,481,24,0,79,375,478,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,79,375,478,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),CIKGU JOHARI ABDULLAH,LT KOL (B) BASIR,DATUK AZEEZ RAHIM,USTAZ HASSAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
8,KAMPUNG SURAU 016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",1,402,1,5,132,253,391,11,0
8,KAMPUNG SURAU 016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",2,386,5,3,134,238,380,6,0
8,KAMPUNG SURAU 016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",3,516,3,2,104,404,513,3,0
8,KAMPUNG SURAU 016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",4,507,7,1,116,382,506,1,0
8,KAMPUNG SURAU 016/30/04,"SEKOLAH MENENGAH KEBANGSAAN SIONG , KAMPUNG LALANG",5,535,20,0,123,388,531,4,0
9,KAMPUNG LEGONG 016/30/05,"TADIKA KEDA TAMAN UMMI KAMPUNG ULU LEGONG, BALING",1,261,4,1,147,107,259,2,0
9,KAMPUNG LEGONG 016/30/05,"TADIKA KEDA TAMAN UMMI KAMPUNG ULU LEGONG, BALING",2,333,8,0,181,143,332,1,0
10,KAMPUNG LALANG 016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",1,351,28,5,172,137,342,9,0
10,KAMPUNG LALANG 016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",2,364,29,2,136,196,363,1,0
10,KAMPUNG LALANG 016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",3,514,35,5,158,312,510,4,0
10,KAMPUNG LALANG 016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",4,565,41,1,186,337,565,0,0
11,KAMPUNG LUAR 016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",1,390,18,2,146,216,382,8,0
11,KAMPUNG LUAR 016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",2,428,10,1,98,313,422,6,0
11,KAMPUNG LUAR 016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",3,431,11,1,101,314,427,4,0
12,KAMPUNG BANDAR 016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",1,380,17,4,170,183,374,6,0
12,KAMPUNG BANDAR 016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",2,391,9,1,116,261,387,4,0
12,KAMPUNG BANDAR 016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",3,414,5,2,109,294,410,4,0
12,KAMPUNG BANDAR 016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",4,399,11,1,102,284,398,1,0
12,KAMPUNG BANDAR 016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",5,457,11,0,110,336,457,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                             MUKASURAT: 3/14",KAMPUNG BANDAR 016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",5,457,11,0,110,336,457,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,110,336,457,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),CIKGU JOHARI ABDULLAH,LT KOL (B) BASIR,DATUK AZEEZ RAHIM,USTAZ HASSAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
13,TANDOP 016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR , JALAN WENG",1,401,12,2,215,166,395,6,0
13,TANDOP 016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR , JALAN WENG",2,544,10,4,190,338,542,2,0
13,TANDOP 016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR , JALAN WENG",3,549,14,5,185,342,546,3,0
14,BONGOR MESJID 016/30/10,"MAKTAB MAHMUD BALING,  JALAN WENG",1,376,18,1,207,146,372,4,0
14,BONGOR MESJID 016/30/10,"MAKTAB MAHMUD BALING,  JALAN WENG",2,515,20,7,188,297,512,3,0
14,BONGOR MESJID 016/30/10,"MAKTAB MAHMUD BALING,  JALAN WENG",3,508,20,2,132,350,504,4,0
15,BONGOR SEKOLAH 016/30/11,"SEKOLAH  MENENGAH KEBANGSAAN BONGOR,JALAN WENG",1,337,9,1,212,111,333,4,0
15,BONGOR SEKOLAH 016/30/11,"SEKOLAH  MENENGAH KEBANGSAAN BONGOR,JALAN WENG",2,332,13,4,123,189,329,3,0
15,BONGOR SEKOLAH 016/30/11,"SEKOLAH  MENENGAH KEBANGSAAN BONGOR,JALAN WENG",3,336,18,2,110,205,335,1,0
16,KAMPUNG HAJI ABBAS 016/30/12,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",1,366,21,7,238,98,364,2,0
16,KAMPUNG HAJI ABBAS 016/30/12,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",2,338,19,3,138,173,333,5,0
16,KAMPUNG HAJI ABBAS 016/30/12,"SEKOLAH JENIS KEBANGSAAN (CINA) YEOK CHEE, BALING",3,407,37,1,149,219,406,1,0
17,RAMBONG BALING 016/30/13,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",1,385,14,1,124,240,379,6,0
17,RAMBONG BALING 016/30/13,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",2,580,18,3,127,432,580,0,0
18,BATU 7 JALAN KROH 016/30/14,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",3,377,45,1,102,228,376,1,0
18,BATU 7 JALAN KROH 016/30/14,"SEKOLAH KEBANGSAAN TUNKU PUAN HABSAH, JALAN KROH",4,484,60,4,86,334,484,0,0
19,SIMPANG EMPAT 016/30/15,"SEKOLAH  KHAS BALING,BALING",1,336,113,4,169,34,320,16,0
19,SIMPANG EMPAT 016/30/15,"SEKOLAH  KHAS BALING,BALING",2,369,110,2,157,98,367,2,0
19,SIMPANG EMPAT 016/30/15,"SEKOLAH  KHAS BALING,BALING",3,411,110,4,166,130,410,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                             MUKASURAT: 4/14",SIMPANG EMPAT 016/30/15,"SEKOLAH  KHAS BALING,BALING",3,411,110,4,166,130,410,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",4,166,130,410,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),CIKGU JOHARI ABDULLAH,LT KOL (B) BASIR,DATUK AZEEZ RAHIM,USTAZ HASSAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
20,PEKAN BALING 016/30/16,"SEKOLAH MENENGAH KEBANGSAAN BALING,BALING",1,261,114,7,104,31,256,5,0
20,PEKAN BALING 016/30/16,"SEKOLAH MENENGAH KEBANGSAAN BALING,BALING",2,293,123,3,107,57,290,3,0
20,PEKAN BALING 016/30/16,"SEKOLAH MENENGAH KEBANGSAAN BALING,BALING",3,303,115,4,87,95,301,2,0
20,PEKAN BALING 016/30/16,"SEKOLAH MENENGAH KEBANGSAAN BALING,BALING",4,325,109,2,91,123,325,0,0
21,BUKIT BALING 016/30/17,"SEKOLAH KEBANGSAAN TUNKU PUTERA, BALING",1,266,65,4,98,98,265,1,0
21,BUKIT BALING 016/30/17,"SEKOLAH KEBANGSAAN TUNKU PUTERA, BALING",2,351,65,1,103,180,349,2,0
22,SEBRANG BALING 016/30/18,SEKOLAH KEBANGSAAN BALING BALING,1,350,58,6,151,126,341,9,0
22,SEBRANG BALING 016/30/18,SEKOLAH KEBANGSAAN BALING BALING,2,331,49,4,122,155,330,1,0
22,SEBRANG BALING 016/30/18,SEKOLAH KEBANGSAAN BALING BALING,3,360,56,0,109,192,357,3,0
23,DALAM WANG 016/30/19,"SEKOLAH  KEBANGSAAN DALAM WANG, KAMPUNG DALAM WANG",1,377,5,4,150,210,369,8,0
23,DALAM WANG 016/30/19,"SEKOLAH  KEBANGSAAN DALAM WANG, KAMPUNG DALAM WANG",2,581,22,3,172,382,579,2,0
23,DALAM WANG 016/30/19,"SEKOLAH  KEBANGSAAN DALAM WANG, KAMPUNG DALAM WANG",3,607,17,3,160,425,605,2,0
24,PEKAN PULAI 016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",1,349,62,6,165,108,341,8,0
24,PEKAN PULAI 016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",2,374,48,2,150,171,371,3,0
24,PEKAN PULAI 016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",3,426,55,2,107,258,422,4,0
24,PEKAN PULAI 016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",4,409,39,1,124,243,407,2,0
24,PEKAN PULAI 016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",5,495,52,3,134,306,495,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                             MUKASURAT: 5/14",PEKAN PULAI 016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",5,495,52,3,134,306,495,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",3,134,306,495,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
