Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI TAKIYUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR HAFIDZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HJ. ROSMADI ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANDY TAN @ AWANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF. DATO DR CHE MUSA CHE OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) IZAT BUKHARY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,2183,878,340,545,2,10,2,1777,123,283
2,UNDI AWAL 021/09/00,TASKA IBU PEJABAT POLIS KONTINJEN KELANTAN,1,392,158,21,207,0,1,1,388,4,0
2,UNDI AWAL 021/09/00,TASKA IBU PEJABAT POLIS KONTINJEN KELANTAN,2,387,169,15,198,0,3,0,385,2,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,1,268,137,63,60,2,2,0,264,4,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,2,324,163,81,73,1,2,1,321,3,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,3,480,254,105,110,2,1,0,472,8,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,4,386,211,92,80,0,2,1,386,0,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,5,389,221,76,84,0,5,1,387,2,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,6,392,199,93,91,1,3,2,389,3,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,7,376,225,88,59,1,1,1,375,1,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,8,418,238,97,76,2,2,1,416,2,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,9,479,289,99,81,0,6,0,475,4,0
4,TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,1,291,144,70,68,1,6,0,289,2,0
4,TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,2,311,147,87,75,0,0,0,309,2,0
4,TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,3,308,147,87,64,2,4,0,304,4,0
