Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR.WAN AHMAD KAMIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ DATO' TUAN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,2503,271,24,517,1253,2065,101,337
2,UNDI AWAL 024/18/00,BILIK TAKLIMAT BALAI POLIS NILAM PURI,1,15,2,0,11,2,15,0,0
3,UNDI AWAL 024/19/00,BILIK TAKLIMAT BALAI POLIS BINJAI,1,75,5,0,33,37,75,0,0
4,WAKAF ZAIN 024/17/01,SEKOLAH KEBANGSAAN PENDEK,1,142,30,2,34,70,136,6,0
4,WAKAF ZAIN 024/17/01,SEKOLAH KEBANGSAAN PENDEK,2,310,63,1,56,190,310,0,0
5,KOTA SELATAN 024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,1,307,64,2,79,155,300,7,0
5,KOTA SELATAN 024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,2,340,72,3,85,177,337,3,0
5,KOTA SELATAN 024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,3,456,77,0,88,286,451,5,0
5,KOTA SELATAN 024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,4,457,80,4,104,264,452,5,0
5,KOTA SELATAN 024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,5,571,119,2,92,357,570,1,0
6,PENDEK 024/17/03,SEKOLAH KEBANGSAAN PENDEK,3,320,57,3,75,178,313,7,0
6,PENDEK 024/17/03,SEKOLAH KEBANGSAAN PENDEK,4,354,57,4,70,221,352,2,0
6,PENDEK 024/17/03,SEKOLAH KEBANGSAAN PENDEK,5,459,68,4,63,319,454,5,0
6,PENDEK 024/17/03,SEKOLAH KEBANGSAAN PENDEK,6,438,80,4,55,295,434,4,0
6,PENDEK 024/17/03,SEKOLAH KEBANGSAAN PENDEK,7,502,102,2,73,321,498,3,1
7,LARAK 024/17/04,SEKOLAH KEBANGSAAN MULONG (2),1,334,38,4,95,191,328,6,0
7,LARAK 024/17/04,SEKOLAH KEBANGSAAN MULONG (2),2,409,39,3,88,277,407,2,0
7,LARAK 024/17/04,SEKOLAH KEBANGSAAN MULONG (2),3,433,58,7,63,304,432,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 2/11",LARAK 024/17/04,SEKOLAH KEBANGSAAN MULONG (2),3,433,58,7,63,304,432,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",7,63,304,432,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
8,MULONG 024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,1,316,38,5,68,203,314,2,0
8,MULONG 024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,2,419,51,3,79,283,416,3,0
8,MULONG 024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,3,372,37,4,35,294,370,2,0
8,MULONG 024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,4,380,47,11,46,268,372,8,0
8,MULONG 024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,5,436,49,8,66,313,436,0,0
