Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAPTEN WAN MARZUDI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK CIKGU AWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ MUHAMMAD HUSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ NIK ZAWAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,2279,7,714,87,1087,1895,152,232
2,UNDI AWAL 028/29/00,BILIK 1 DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH - SALURAN 1,1,6,0,4,0,1,5,1,0
3,UNDI AWAL 028/30/00,BILIK 2 DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH - SALURAN 2,1,204,2,126,3,72,203,1,0
4,UNDI AWAL 028/31/00,BILIK 3 DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH - SALURAN 3,1,25,0,16,1,8,25,0,0
5,UNDI AWAL 028/32/00,BILIK 4 DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH - SALURAN 4,1,12,0,10,0,2,12,0,0
6,KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,1,328,2,129,3,183,317,11,0
6,KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,2,359,0,118,8,228,354,5,0
6,KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,3,453,0,123,14,308,445,8,0
6,KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,4,401,2,104,8,283,397,4,0
6,KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,5,388,1,104,13,268,386,2,0
6,KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,6,435,1,100,12,319,432,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.028 PASIR PUTEH
JUMLAH PEMILIH: 113,070                                                                                                                                                                                              MUKASURAT: 2/11",KEDAI MENANTI 028/29/01,SEKOLAH KEBANGSAAN TUALANG TINGGI,6,435,1,100,12,319,432,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",100,12,319,432,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),KAPTEN WAN MARZUDI,DATUK CIKGU AWI,USTAZ MUHAMMAD HUSAIN,USTAZ NIK ZAWAWI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
7,DANAN 028/29/02,SEKOLAH KEBANGSAAN DANAN,1,342,1,111,25,197,334,8,0
7,DANAN 028/29/02,SEKOLAH KEBANGSAAN DANAN,2,360,2,106,16,236,360,0,0
7,DANAN 028/29/02,SEKOLAH KEBANGSAAN DANAN,3,427,2,104,21,300,427,0,0
7,DANAN 028/29/02,SEKOLAH KEBANGSAAN DANAN,4,412,4,94,19,289,406,6,0
7,DANAN 028/29/02,SEKOLAH KEBANGSAAN DANAN,5,414,0,96,17,300,413,1,0
7,DANAN 028/29/02,SEKOLAH KEBANGSAAN DANAN,6,483,3,94,33,348,478,5,0
8,BUKIT MERBAU 028/29/03,SEKOLAH KEBANGSAAN BUKIT MERBAU,1,197,1,16,9,171,197,0,0
8,BUKIT MERBAU 028/29/03,SEKOLAH KEBANGSAAN BUKIT MERBAU,2,403,8,142,6,245,401,2,0
8,BUKIT MERBAU 028/29/03,SEKOLAH KEBANGSAAN BUKIT MERBAU,3,353,0,111,19,219,349,4,0
8,BUKIT MERBAU 028/29/03,SEKOLAH KEBANGSAAN BUKIT MERBAU,4,401,0,139,16,237,392,9,0
9,TUALANG 028/29/04,SEKOLAH KEBANGSAAN TASEK PAUH,1,330,1,113,3,199,316,14,0
9,TUALANG 028/29/04,SEKOLAH KEBANGSAAN TASEK PAUH,2,472,5,140,2,321,468,4,0
10,TASIK PAUH 028/29/05,SEKOLAH KEBANGSAAN TASEK PAUH,3,338,1,109,8,219,337,1,0
10,TASIK PAUH 028/29/05,SEKOLAH KEBANGSAAN TASEK PAUH,4,470,2,123,7,338,470,0,0
11,SELISING 028/29/06,SEKOLAH KEBANGSAAN BUKIT JAWA,1,316,6,92,13,203,314,2,0
11,SELISING 028/29/06,SEKOLAH KEBANGSAAN BUKIT JAWA,2,493,7,121,24,335,487,6,0
11,SELISING 028/29/06,SEKOLAH KEBANGSAAN BUKIT JAWA,3,436,1,99,24,308,432,4,0
11,SELISING 028/29/06,SEKOLAH KEBANGSAAN BUKIT JAWA,4,463,2,108,22,331,463,0,0
11,SELISING 028/29/06,SEKOLAH KEBANGSAAN BUKIT JAWA,5,533,4,113,29,382,528,5,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.028 PASIR PUTEH
JUMLAH PEMILIH: 113,070                                                                                                                                                                                              MUKASURAT: 3/11",SELISING 028/29/06,SEKOLAH KEBANGSAAN BUKIT JAWA,5,533,4,113,29,382,528,5,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",113,29,382,528,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),KAPTEN WAN MARZUDI,DATUK CIKGU AWI,USTAZ MUHAMMAD HUSAIN,USTAZ NIK ZAWAWI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
12,PADANG PAK OMAR 028/29/07,SEKOLAH MENENGAH KEBANGSAAN BUKIT JAWA,1,258,1,86,15,153,255,3,0
12,PADANG PAK OMAR 028/29/07,SEKOLAH MENENGAH KEBANGSAAN BUKIT JAWA,2,322,2,81,18,214,315,7,0
12,PADANG PAK OMAR 028/29/07,SEKOLAH MENENGAH KEBANGSAAN BUKIT JAWA,3,318,0,74,13,231,318,0,0
13,BANIR BELIKONG 028/29/08,SEKOLAH KEBANGSAAN BUKIT ABAL,1,322,4,124,14,176,318,4,0
13,BANIR BELIKONG 028/29/08,SEKOLAH KEBANGSAAN BUKIT ABAL,2,524,2,145,28,345,520,4,0
13,BANIR BELIKONG 028/29/08,SEKOLAH KEBANGSAAN BUKIT ABAL,3,483,4,138,33,303,478,5,0
