Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK JAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJAR (B) MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD FAYHSAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR ROSLI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,1760,791,3,667,68,1529,63,168
2,UNDI AWAL 029/33/00,BILIK 1 DEWAN IXORA IBU PEJABAT POLIS DAERAH MACHANG - SALURAN 1,1,10,10,0,0,0,10,0,0
3,UNDI AWAL 029/34/00,BILIK 2 DEWAN IXORA IBU PEJABAT POLIS DAERAH MACHANG - SALURAN 2,1,3,3,0,0,0,3,0,0
4,UNDI AWAL 029/35/00,BILIK 3 DEWAN IXORA IBU PEJABAT POLIS DAERAH MACHANG - SALURAN 3,1,219,171,1,39,8,219,0,0
4,UNDI AWAL 029/35/00,"DEWAN WATANIAH, REJ 506 (AW) KEM MACHANG",1,12,7,0,5,0,12,0,0
5,KAMPUNG BANDAR 029/33/01,SEKOLAH KEBANGSAAN BANDAR,1,323,133,3,161,24,321,2,0
5,KAMPUNG BANDAR 029/33/01,SEKOLAH KEBANGSAAN BANDAR,2,345,159,3,155,27,344,1,0
5,KAMPUNG BANDAR 029/33/01,SEKOLAH KEBANGSAAN BANDAR,3,342,116,0,195,28,339,3,0
5,KAMPUNG BANDAR 029/33/01,SEKOLAH KEBANGSAAN BANDAR,4,337,140,0,178,18,336,1,0
5,KAMPUNG BANDAR 029/33/01,SEKOLAH KEBANGSAAN BANDAR,5,382,161,2,199,20,382,0,0
6,ALOR MELAKA 029/33/02,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,1,341,82,1,245,10,338,3,0
6,ALOR MELAKA 029/33/02,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,2,328,82,0,228,16,326,2,0
6,ALOR MELAKA 029/33/02,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,3,409,94,2,294,14,404,5,0
6,ALOR MELAKA 029/33/02,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,4,402,89,0,287,22,398,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 2/9",ALOR MELAKA 029/33/02,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,4,402,89,0,287,22,398,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,287,22,398,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
6,ALOR MELAKA 029/33/02,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,5,488,101,1,350,34,486,2,0
7,MERBAU CHONDONG 029/33/03,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,1,335,146,4,169,12,331,4,0
7,MERBAU CHONDONG 029/33/03,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,2,453,204,2,228,17,451,2,0
7,MERBAU CHONDONG 029/33/03,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,3,375,134,0,224,13,371,4,0
7,MERBAU CHONDONG 029/33/03,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,4,405,162,3,223,15,403,2,0
7,MERBAU CHONDONG 029/33/03,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,5,468,201,0,247,18,466,2,0
8,KEDAI PULAI CHONDONG 029/33/04,SEKOLAH KEBANGSAAN PULAI CHONDONG,1,273,128,1,103,36,268,5,0
8,KEDAI PULAI CHONDONG 029/33/04,SEKOLAH KEBANGSAAN PULAI CHONDONG,2,302,116,0,148,35,299,3,0
8,KEDAI PULAI CHONDONG 029/33/04,SEKOLAH KEBANGSAAN PULAI CHONDONG,3,311,105,3,174,27,309,2,0
9,PANGKAL GONG 029/33/05,SEKOLAH KEBANGSAAN PANGKAL GONG,1,331,140,1,175,7,323,8,0
9,PANGKAL GONG 029/33/05,SEKOLAH KEBANGSAAN PANGKAL GONG,2,405,154,1,243,4,402,3,0
9,PANGKAL GONG 029/33/05,SEKOLAH KEBANGSAAN PANGKAL GONG,3,408,161,0,234,5,400,8,0
9,PANGKAL GONG 029/33/05,SEKOLAH KEBANGSAAN PANGKAL GONG,4,434,167,0,250,17,434,0,0
10,KERAWANG 029/33/06,SEKOLAH KEBANGSAAN PANGKAL NERING,1,199,112,2,76,7,197,2,0
10,KERAWANG 029/33/06,SEKOLAH KEBANGSAAN PANGKAL NERING,2,321,117,0,186,15,318,3,0
10,KERAWANG 029/33/06,SEKOLAH KEBANGSAAN PANGKAL NERING,3,343,157,0,171,15,343,0,0
11,BAGAN 029/33/07,SEKOLAH KEBANGSAAN MATA AYER,1,327,129,4,164,25,322,4,1
11,BAGAN 029/33/07,SEKOLAH KEBANGSAAN MATA AYER,2,472,122,0,281,65,468,4,0
11,BAGAN 029/33/07,SEKOLAH KEBANGSAAN MATA AYER,3,444,135,3,247,57,442,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 3/9",BAGAN 029/33/07,SEKOLAH KEBANGSAAN MATA AYER,3,444,135,3,247,57,442,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",3,247,57,442,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
12,KAMPUNG TOK BOK 029/33/08,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,1,345,133,0,196,12,341,4,0
12,KAMPUNG TOK BOK 029/33/08,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,2,388,154,0,221,11,386,2,0
12,KAMPUNG TOK BOK 029/33/08,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,3,331,128,0,192,8,328,3,0
12,KAMPUNG TOK BOK 029/33/08,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,4,403,183,1,202,17,403,0,0
13,JOH 029/33/09,MAAHAD SYAMSUL MAARIF (L) LABOK,1,338,168,0,147,19,334,4,0
13,JOH 029/33/09,MAAHAD SYAMSUL MAARIF (L) LABOK,2,366,154,0,169,36,359,7,0
13,JOH 029/33/09,MAAHAD SYAMSUL MAARIF (L) LABOK,3,541,226,2,267,40,535,6,0
