id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
20,MOHAMMAD RAFFI BERAN,,25,L,15900,parlimen,,,2022-11-05T10:25:28.890Z,4,0,0,
68,NOOR AZLEEN AMBROS,,1,L,15900,parlimen,,,2022-11-05T10:25:28.890Z,1,0,0,
170,HASSAN ABDUL KARIM,,31,L,15900,parlimen,,,2022-11-05T10:25:28.890Z,2,0,0,
384,MOHAMAD FARID BIN ABDUL RAZAK,,27,L,15900,parlimen,,,2022-11-05T10:25:28.890Z,3,0,0,
332,ROSLI,TIADA,25,L,04000,parlimen,,,2022-11-05T10:29:18.173Z,1,0,0,
468,HASUNI BIN SUDIN,TIADA,31,L,04000,parlimen,,,2022-11-05T10:29:18.173Z,4,0,0,
24,DATO' SERI HJ AHMAD BIN SAID,TIADA,1,L,04000,parlimen,,,2022-11-05T10:29:18.173Z,3,0,0,
107,USTAZ CHE ALIAS HAMID,TIADA,2,L,04000,parlimen,,,2022-11-05T10:29:18.173Z,2,0,0,
131,DATUK HAJI AMZAD HASHIM,TIADA,2,L,03600,parlimen,,,2022-11-05T10:29:30.463Z,4,0,0,
53,DATO' RAJA BAHRIN,ARKITEK,31,L,03600,parlimen,,,2022-11-05T10:29:30.463Z,3,0,0,
231,MOHAMAD ABU BAKAR BIN MUDA,TIADA,25,L,03600,parlimen,,,2022-11-05T10:29:30.463Z,1,0,0,
341,DATO' CIKGU ZUBIR,TIADA,1,L,03600,parlimen,,,2022-11-05T10:29:30.463Z,2,0,0,
314,NICOLE WONG,,1,P,15800,parlimen,,,2022-11-05T10:33:10.220Z,3,0,0,
474,JIMMY PUAH WEE TSE,,31,L,15800,parlimen,,,2022-11-05T10:33:10.220Z,1,0,0,
126,MOHAMAD ISA BIN MOHAMAD BASIR,,27,L,15800,parlimen,,,2022-11-05T10:33:10.220Z,2,0,0,
33,DATO' DR. HAJI ALIAS RAZAK,YANG BERHORMAT AHLI MAJLIS MESYUARAT KERAJAAN,2,L,03500,parlimen,,,2022-11-05T10:34:30.083Z,1,0,0,
189,UST. DATO' DR. KHAIRUDDIN TAKIRI,TIADA,1,L,03500,parlimen,,,2022-11-05T10:34:30.083Z,2,0,0,
321,AZAHA,TIADA,25,L,03500,parlimen,,,2022-11-05T10:34:30.083Z,3,0,0,
425,DATO' SERI SUHAIMI HASHIM,PENGARAH SYARIKAT,31,L,03500,parlimen,,,2022-11-05T10:34:30.083Z,4,0,0,
440,NORAINI AHMAD,,1,P,14700,parlimen,,,2022-11-05T10:35:29.863Z,1,0,0,
239,DR KARIM,,27,L,14700,parlimen,,,2022-11-05T10:35:29.863Z,2,0,0,
278,MOHD FAIZAL DOLAH,,31,L,14700,parlimen,,,2022-11-05T10:35:29.863Z,3,0,0,
195,STEVEN KOH,TIADA,27,L,04500,parlimen,,,2022-11-05T10:37:47.397Z,3,0,0,
16,AH PANG,BERNIAGA,1,L,04500,parlimen,,,2022-11-05T10:37:47.397Z,2,0,0,
90,STEVEN SIM CHEE KEONG,TIADA,31,L,04500,parlimen,,,2022-11-05T10:37:47.397Z,1,0,0,
128,ADAM ADLI,TIADA,31,L,13700,parlimen,,,2022-11-05T10:38:48.580Z,1,0,0,
223,MOHD RIDHWAN BIN MOHD ALI,TIADA,1,L,13700,parlimen,,,2022-11-05T10:38:48.580Z,3,0,0,
377,SHEIKH IKHZAN,PEGUAM,25,L,13700,parlimen,,,2022-11-05T10:38:48.580Z,2,0,0,
305,MOHD AZRUDIN BIN MD IDRIS,AHLI PERNIAGAAN,27,L,13700,parlimen,,,2022-11-05T10:38:48.580Z,4,0,0,
208,ISKANDAR SHAH,,31,L,14300,parlimen,,,2022-11-05T10:38:49.763Z,3,0,0,
124,DATUK SERI RAZALI IBRAHIM,,1,L,14300,parlimen,,,2022-11-05T10:38:49.763Z,1,0,0,
11,TAN SRI MUHYIDDIN BIN MD YASIN,,27,L,14300,parlimen,,,2022-11-05T10:38:49.763Z,2,0,0,
127,ISHAM JALIL,AKTIVIS MASYARAKAT,1,L,10800,parlimen,,,2022-11-05T10:40:48.003Z,3,0,0,
296,DR. AFIF BAHARDIN,"ADUN SEBERANG JAYA, PULAU PINANG",27,L,10800,parlimen,,,2022-11-05T10:40:48.003Z,4,0,0,
379,AZLI YUSOF,BERNIAGA,31,L,10800,parlimen,,,2022-11-05T10:40:48.003Z,1,0,0,
499,RAFIQUE RASHID,PEGUAM,25,L,10800,parlimen,,,2022-11-05T10:40:48.003Z,2,0,0,
490,NORASHIKIN,TIADA,25,P,03100,parlimen,,,2022-11-05T10:42:05.153Z,3,0,0,
