id,n,a,i,c
0,TIADA MAKLUMAT,TIADA,tiada.png,#FFFFFF
1,BARISAN NASIONAL OF MALAYSIA,BN,bn.png,#031A93
2,PARTI ISLAM SE MALAYSIA,PAS,pas.png,#6CB332
3,"DEMOCRATIC ACTION PARTY, MALAYSIA",DAP,dap.png,#E30911
4,BARISAN JAMAAH ISLAMIAH SE MALAYSIA,BERJASA,berjasa.png,#005121
5,PARTI PESAKA BUMIPUTRA BERSATU SARAWAK,PBB,pbb.png,ADADAD
6,KONGRES INDIAN MUSLIM MALAYSIA,KIMMA,kimma.png,#DE8801
7,PARTI RAKYAT MALAYSIA,PRM,prm.png,FE8591
8,PARTI BERSATU SABAH,PBS,pbs.png,#763B37
9,PERTUBUHAN KINABALU PROGRESIF BERSATU,UPKO,upko.png,#2A0E72
10,PARTI PUNJABI MALAYSIA,PPM,ppm.png,CC9900
20,BEBAS,BEBAS,bebas.png,#993300
12,PARTI GERAKAN RAKYAT MALAYSIA,GERAKAN,gerakan.png,#FE2514
13,PARTI LIBERAL DEMOKRATIK,LDP,ldp.png,#AB3D1A
14,PARTI MAJU SABAH,PMS,pms.png,#FBFD0B
15,BARISAN KEMAJUAN INDIA SE-MALAYSIA,AMIPF,amipf.png,#E30300
16,PARTI KEMAJUAN MALAYSIA,MAP,map.png,#F6EB19
17,PERTUBUHAN KEBANGSAAN MELAYU BERSATU,UMNO,umno.png,#A03232
18,MALAYSIAN CHINESE ASSOCIATION,MCA,mca.png,#07257F
19,THE MALAYSIAN INDIAN CONGRESS,MIC,mic.png,#00A55E
11,PARTI RAKYAT BERSATU SARAWAK,SUPP,supp.png,#FFFF00
21,PARTI BERSATU RAKYAT SABAH,PBRS,pbrs.png,#6666FF
22,PARTI DEMOKRATIK PROGRESIF SARAWAK,PDP,pdp.png,#0000FD
23,PARTI KEADILAN RAKYAT,PKR,pkr.png,#04A0D1
24,PARTI RAKYAT SARAWAK,PRS,prs.png,#186D43
25,PARTI PEJUANG TANAHAIR,PEJUANG,pejuang.png,#09618A
26,PENANG FRONT PARTY,PFP,pfp.png,#E45035
27,PERIKATAN NASIONAL,PN,pn.png,#043253
28,PARTI GAGASAN RAKYAT SABAH,GAGASAN,gagasan.png,#e9d720
29,PARTI ASPIRASI RAKYAT SARAWAK,ASPIRASI,aspirasi.png,#BD354D
30,PARTI BANSA DAYAK SARAWAK,PBDS,pbds.png,#0B46C8
31,PAKATAN HARAPAN,PH,ph.png,#D7292F
32,GABUNGAN PARTI SARAWAK,GPS,gps.png,#1F2C45
33,PERTUBUHAN KEBANGSAAN SABAH BERSATU,USNO,usno.png,#1A740A
34,PARTI BUMIPUTERA PERKASA MALAYSIA,PUTRA,putra.png,#FEFE00
35,PARTI SARAWAK BERSATU,PSB,psb.png,#A13C33
36,IKATAN DEMOKRATIK MALAYSIA,MUDA,muda.png,#000000
37,PARTI PERIKATAN INDIA MUSLIM NASIONAL,IMAN,iman.png,#EC1F26
38,PARTI SEDAR RAKYAT SARAWAK,SEDAR,sedar.png,#C3B62B
39,PARTI MAKKAL SAKTI MALAYSIA,M.M.S.P.,M.M.S.P..png,#EF8812
40,PARTI BERSATU SASA MALAYSIA,BERSAMA,bersama.png,#FF66FF
41,PARTI CINTA MALAYSIA,PCM,pcm.png,#F4E50E
42,PARTI BANGSA MALAYSIA,PBM,pbm.png,#323467
43,PARTI SOSIALIS MALAYSIA (BARU),PSM,psm.png,#C0110D
44,MALAYSIAN CEYLONESE CONGRESS,MCC,mcc.png,#C92725
45,PARTI AMANAH NEGARA,AMANAH,amanah.png,#F79220
46,PARTI PERPADUAN RAKYAT SABAH,PPRS,pprs.png,#0000FF
47,PARTI KERJASAMA ANAK NEGERI,ANAKNEGERI,anaknegeri.png,#F6E13A
48,PEOPLE'S ALLIANCE FOR JUSTICE OF PEACE,PEACE,peace.png,#FEF200
49,PARTI TENAGA RAKYAT SARAWAK,TERAS,teras.png,#310051
50,PARTI KEBANGSAAN SABAH,PKS,pks.png,#3567B2
51,PARTI SEJAHTERA ANGKATAN PERPADUAN SABAH,SAPU,sapu.png,#FC771F
52,PARTI ALTERNATIF RAKYAT,PAP,pap.png,#08334C
53,PARTI CINTA SABAH,PCS,pcs.png,#DE1E14
54,PARTI WARISAN SABAH,WARISAN,warisan.png,#5BC5F0
55,PARTI PRIBUMI BERSATU MALAYSIA,BERSATU,bersatu.png,#E30007
56,PARTI SOLIDARITI TANAH AIRKU,STARSABAH,starsabah.png,#0095DB
57,PARTI HARAPAN RAKYAT SABAH,HR,hr.png,#6F92BF
58,PARTY BUMI KENYALANG,PBK,pbk.png,#672D34
59,PARTI IKATAN BANGSA MALAYSIA,IKATAN,ikatan.png,#F6E816
60,PARTI BERSAMA MALAYSIA,MU,mu.png,#ED1D24
61,PERTUBUHAN PERPADUAN RAKYAT KEBANGSAAN SABAH,PERPADUAN,perpaduan.png,#01AC5C
62,PARTI DAMAI SABAH,SPP,spp.png,#c7e011
63,PARTI GABUNGAN RAKYAT SABAH,GRS,grs.png,#6285a8
64,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT,KDM,kdm.png,#EB7389
65,PARTI UTAMA RAKYAT,PUR,pur.png,#ff030b
66,PARTI RAKYAT INDIA MALAYSIA,PRIM,prim.png,#fff
