Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MORDI ANAK BIMOL,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HENRY @ HARRY ANAK JINEP,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,165,26,84,110,11,44
2,192/02/00,UNDI AWAL,"RUANG A, BILIK REKREASI IBU PEJABAT POLIS DAERAH
BAU",1,137,6,127,133,4,0
3,192/02/01,SAJONG,SEK. KEB. BOBAK,1,294,88,190,278,16,0
3,192/02/01,SAJONG,SEK. KEB. BOBAK,2,458,146,309,455,3,0
4,192/02/02,APAR,SEK. KEB. APAR,1,294,130,160,290,4,0
4,192/02/02,APAR,SEK. KEB. APAR,2,481,216,259,475,6,0
5,192/02/03,BUSO,SEK. JENIS KEB. CHUNG HUA BUSO,1,259,75,179,254,5,0
5,192/02/03,BUSO,SEK. JENIS KEB. CHUNG HUA BUSO,2,261,76,181,257,4,0
6,192/02/04,TONDONG,SEK. JENIS KEB. CHUNG HUA TONDONG,1,389,240,146,386,3,0
7,192/02/05,GROGO,BALAI RAYA KPG. GROGO,1,351,152,197,349,2,0
8,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,1,208,87,115,202,6,0
8,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,2,406,200,202,402,4,0
8,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,3,403,226,176,402,1,0
8,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,4,383,210,171,381,2,0
8,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,5,335,195,138,333,2,0
9,192/02/07,SKIAT,BALAI RAYA KPG. SKIAT BARU,1,340,111,223,334,6,0
9,192/02/07,SKIAT,"SEK. KEB. BAU TAMAN MUTIARA, BAU",1,324,191,126,317,7,0
10,192/02/08,JAGOI,BALAI RAYA KPG. DUYOH,1,479,149,320,469,10,0
11,192/02/09,DAUN,BALAI RAYA KPG. DAUN,1,305,115,184,299,6,0
11,192/02/09,DAUN,BALAI RAYA KPG. DAUN,2,312,113,195,308,4,0
12,192/02/10,TANJONG POTING,BALAI RAYA KPG. TANJONG POTING,1,302,112,183,295,7,0
12,192/02/10,TANJONG POTING,BALAI RAYA KPG. TANJONG POTING,2,257,91,162,253,4,0
13,192/02/11,ATAS,SEK. KEB. ATAS,1,395,171,217,388,7,0
14,192/02/12,BARIENG,BALAI RAYA KPG. BARIENG,1,161,69,90,159,2,0
15,192/02/13,SUDOH,DEWAN SERBAGUNA KPG. SUDOH,1,348,134,210,344,4,0
16,192/02/14,SEGONG,BALAI RAYA KPG. SEGONG,1,526,194,324,518,8,0
17,192/02/15,MUSI,SEK. JENIS KEB. CHUNG HUA MUSI,1,135,60,73,133,2,0
18,192/02/16,SUBA BUAN,SEK. KEB. SUBA BUAN,1,296,61,232,293,3,0
19,192/02/17,SUBA BAU,BALAI RAYA SUBA BANDAR,1,337,155,178,333,4,0
20,192/02/18,SIBULOH,BALAI RAYA KPG. SIBULOH,1,522,348,167,515,7,0
21,192/02/19,SEBUKU,SEK. JENIS KEB. CHUNG HUA SEBUKU,1,247,129,116,245,2,0
22,192/02/20,TAI TON,SEK. JENIS KEB. CHUNG HUA TAITON,1,367,237,129,366,1,0
23,192/02/21,STASS,SEK. KEB. STASS,1,529,331,192,523,6,0
24,192/02/22,SKIBANG,BALAI RAYA KPG. SKIBANG,1,338,146,185,331,7,0
25,192/02/23,SIBOBOG,SEK. KEB. KPG. SIBOBOG,1,206,117,85,202,4,0
26,192/02/24,SERASOT,SEK. KEB. KPG. SERASOT,1,558,279,270,549,9,0
27,192/02/25,SERIKIN,SEK. KEB. SERIKIN,1,332,130,197,327,5,0
28,192/02/26,BOGAG,BALAI RAYA KPG. BOGAG,1,357,118,230,348,9,0
JUMLAH,,,,38,12797,5634,6922,12556,197,44
