Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ADENAN BIN SATEM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JAZOLKIPLI BIN NUMAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,120,87,1,88,1,31
2,193/03/00,UNDI AWAL,DEWAN ULS SAMPADI,1,73,70,2,72,1,0
2,193/03/00,UNDI AWAL,"RUANG B, DEWAN POLIS,IBU PEJABAT POLIS DAERAH LUNDU",1,88,85,3,88,0,0
3,193/03/01,TELOK MELANO,SEK. KEB. TELOK MELANO,1,107,103,4,107,0,0
4,193/03/02,PUEH,SEK. KEB. PUEH,1,457,396,50,446,11,0
5,193/03/03,SEBAT,SEK. KEB. KPG. SEBAT,1,354,280,70,350,4,0
6,193/03/04,SEMATAN,SEK. JENIS KEB. CHUNG HUA SEMATAN,1,282,263,15,278,4,0
6,193/03/04,SEMATAN,SEK. JENIS KEB. CHUNG HUA SEMATAN,2,265,237,24,261,4,0
6,193/03/04,SEMATAN,SEK. JENIS KEB. CHUNG HUA SEMATAN,3,177,167,7,174,3,0
7,193/03/05,SELING,SEK. KEB. BUMIPUTERA LUNDU,1,297,283,9,292,5,0
7,193/03/05,SELING,SEK. KEB. BUMIPUTERA LUNDU,2,431,420,10,430,1,0
8,193/03/06,STUNGGANG,SEK. KEB. KPG. STUNGGANG LUNDU,1,275,260,10,270,5,0
8,193/03/06,STUNGGANG,SEK. KEB. KPG. STUNGGANG LUNDU,2,298,291,7,298,0,0
8,193/03/06,STUNGGANG,SEK. KEB. KPG. STUNGGANG LUNDU,3,230,223,7,230,0,0
9,193/03/07,LUNDU,SEK. JENIS KEB. CHUNG HUA LUNDU,1,220,197,21,218,2,0
9,193/03/07,LUNDU,SEK. JENIS KEB. CHUNG HUA LUNDU,2,330,295,33,328,2,0
9,193/03/07,LUNDU,SEK. JENIS KEB. CHUNG HUA LUNDU,3,309,279,28,307,2,0
9,193/03/07,LUNDU,SEK. JENIS KEB. CHUNG HUA LUNDU,4,276,237,36,273,3,0
10,193/03/08,PERIGI,SEK. JENIS KEB. CHUNG HUA SELARAT,1,120,107,12,119,1,0
11,193/03/09,SEKAMBAL,SEK. KEB. LEBAI MENTALI KPG. SEKAMBAL,1,373,345,25,370,3,0
12,193/03/10,BAJO,SEK. KEB. SIAR CAMPURAN KPG. BAJO LUNDU,1,287,281,5,286,1,0
13,193/03/11,KAMPUNG SEBEMBAN,SEK. MEN. KEB. LUNDU,1,257,225,29,254,3,0
14,193/03/12,TEMELAN,SEK. KEB. TEMELAN/STUNGGANG,1,293,274,11,285,8,0
15,193/03/13,SAMPADI,SEK.KEB.KPG.SAMPADI,1,238,220,15,235,3,0
15,193/03/13,SAMPADI,SEK.KEB.KPG.SAMPADI,2,245,224,13,237,8,0
16,193/03/14,STOH,SEK. KEB. STOH,1,162,158,3,161,1,0
17,193/03/15,RAMBUNGAN,BALAI RAYA KPG. RAMBUNGAN,1,104,101,2,103,1,0
17,193/03/15,RAMBUNGAN,DEWAN MASYARAKAT KAMPUNG SUNGAI BELIAN,1,268,252,16,268,0,0
JUMLAH,,,,28,6936,6360,468,6828,77,31
