Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NURHANIM HANNA DATO' MOKHSEN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FAZZRUDIN ABDUL RAHMAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,306,7,209,216,13,77
2,194/06/00,UNDI AWAL,"RUANG A, DEWAN MES PEGAWAI KANAN, IBU PEJABAT POLIS
KONTINJEN SARAWAK",1,46,3,43,46,0,0
3,194/06/01,TUPONG,SEK. KEB. RAKYAT TUPONG,1,274,47,224,271,3,0
3,194/06/01,TUPONG,SEK. KEB. RAKYAT TUPONG,2,419,66,348,414,5,0
3,194/06/01,TUPONG,SEK. KEB. RAKYAT TUPONG,3,359,41,315,356,3,0
3,194/06/01,TUPONG,TABIKA KEMAS KPG. TUPONG TENGAH,1,351,48,302,350,1,0
4,194/06/02,GITA,SEK. MEN. KEB. TUNKU ABDUL RAHMAN JLN. MATANG,1,207,33,168,201,6,0
4,194/06/02,GITA,SEK. MEN. KEB. TUNKU ABDUL RAHMAN JLN. MATANG,2,459,83,372,455,4,0
4,194/06/02,GITA,SEK. MEN. KEB. TUNKU ABDUL RAHMAN JLN. MATANG,3,457,84,364,448,7,2
4,194/06/02,GITA,SEK. MEN. KEB. TUNKU ABDUL RAHMAN JLN. MATANG,4,418,95,322,417,1,0
4,194/06/02,GITA,SEK. MEN. KEB. TUNKU ABDUL RAHMAN JLN. MATANG,5,410,85,323,408,2,0
4,194/06/02,GITA,SEK. MEN. KEB. TUNKU ABDUL RAHMAN JLN. MATANG,6,362,70,287,357,5,0
4,194/06/02,GITA,DEWAN SERBAGUNA KPG. PINANG JAWA,1,393,29,360,389,4,0
5,194/06/03,SUNGAI TENGAH,SEK. JENIS KEB. SUNGEI TENGAH JLN. SUNGEI TENGAH MATANG,1,168,56,105,161,7,0
5,194/06/03,SUNGAI TENGAH,SEK. JENIS KEB. SUNGEI TENGAH JLN. SUNGEI TENGAH MATANG,2,241,89,147,236,5,0
5,194/06/03,SUNGAI TENGAH,DEWAN SERBAGUNA KPG. SAGAH,1,306,101,201,302,4,0
5,194/06/03,SUNGAI TENGAH,DEWAN SERBAGUNA DATUK AMAR DR SULAIMAN DAUD KPG. KOLONG DUA,1,368,26,332,358,10,0
5,194/06/03,SUNGAI TENGAH,SEK. KEB. TAN SRI DATUK HAJI MOHAMED TAMAN MALIHAH,1,265,36,226,262,3,0
5,194/06/03,SUNGAI TENGAH,SEK. KEB. TAN SRI DATUK HAJI MOHAMED TAMAN MALIHAH,2,385,99,282,381,4,0
5,194/06/03,SUNGAI TENGAH,SEK. KEB. TAN SRI DATUK HAJI MOHAMED TAMAN MALIHAH,3,359,102,252,354,5,0
5,194/06/03,SUNGAI TENGAH,SEK. KEB. TAN SRI DATUK HAJI MOHAMED TAMAN MALIHAH,4,302,83,215,298,4,0
5,194/06/03,SUNGAI TENGAH,DEWAN SERBAGUNA TAMAN MALIHAH,1,374,46,324,370,4,0
6,194/06/04,RAHMAT,SEK. KEB. GITA NO.1,1,282,77,201,278,4,0
6,194/06/04,RAHMAT,(BANGSAL SEMENTARA MASJID) TAMAN HUSSEIN / RAHMAT,1,396,70,325,395,1,0
7,194/06/05,SINJAN,DEWAN SRI TANJONG KPG. TANJONG,1,277,42,232,274,3,0
7,194/06/05,SINJAN,DEWAN SRI TANJONG KPG. TANJONG,2,301,47,250,297,4,0
7,194/06/05,SINJAN,DEWAN SRI TANJONG KPG. TANJONG,3,290,37,253,290,0,0
8,194/06/06,SEJOLI,SEK. KEB. GITA 2,1,219,47,169,216,3,0
8,194/06/06,SEJOLI,SEK. KEB. GITA 2,2,227,65,159,224,3,0
8,194/06/06,SEJOLI,SEK. KEB. GITA 2,3,195,69,126,195,0,0
8,194/06/06,SEJOLI,SEK. MEN. KEB. PETRA JAYA,1,204,40,163,203,1,0
9,194/06/07,PAROH,SURAU ABRARI KPG. PAROH,1,435,38,392,430,5,0
10,194/06/08,MATANG,SEK. JENIS KEB. CHUNG HUA BATU 7 JLN. MATANG,1,197,73,121,194,3,0
10,194/06/08,MATANG,SEK. JENIS KEB. CHUNG HUA BATU 7 JLN. MATANG,2,408,149,257,406,2,0
10,194/06/08,MATANG,SEK. JENIS KEB. CHUNG HUA BATU 7 JLN. MATANG,3,337,120,216,336,1,0
10,194/06/08,MATANG,SEK. KEB. MATANG,1,112,20,91,111,1,0
10,194/06/08,MATANG,DEWAN PENDIDIKAN DAN SOSIAL KPG. MATANG BATU 10 JLN. MATANG,1,219,34,182,216,3,0
10,194/06/08,MATANG,"DEWAN PENDIDIKAN DAN SOSIAL KPG. MATANG BATU 10 JLN.
MATANG",2,352,54,294,348,4,0
10,194/06/08,MATANG,DEWAN PENDIDIKAN DAN SOSIAL KPG. MATANG BATU 10 JLN. MATANG,3,301,34,264,298,3,0
10,194/06/08,MATANG,SEK. KEB. MATANG JAYA,1,248,59,186,245,3,0
10,194/06/08,MATANG,SEK. KEB. MATANG JAYA,2,340,95,244,339,1,0
10,194/06/08,MATANG,SEK. KEB. MATANG JAYA,3,259,92,165,257,2,0
10,194/06/08,MATANG,SEK. KEB. MATANG JAYA,4,244,82,161,243,1,0
10,194/06/08,MATANG,SEK. KEB. PETRA JAYA,1,299,99,198,297,2,0
10,194/06/08,MATANG,DEWAN SERBAGUNA TAMAN HENG GUAN,1,61,17,43,60,1,0
11,194/06/09,SRI WANGI,PUSAT LATIHAN ABIM TAMAN SRI WANGI PETRA JAYA,1,250,39,210,249,1,0
11,194/06/09,SRI WANGI,PUSAT LATIHAN ABIM TAMAN SRI WANGI PETRA JAYA,2,379,59,319,378,1,0
JUMLAH,,,,47,14061,2887,10942,13829,153,79
