Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :USTAZ YUSOF AHMAD SHARKAWI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NANI BINTI SAHARI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,277,18,1,187,206,3,68
2,194/07/00,UNDI AWAL,"RUANG B, DEWAN MES PEGAWAI KANAN, IBU PEJABAT POLIS KONTINJEN SARAWAK",1,14,0,0,14,14,0,0
3,194/07/01,SAMARIANG,"SEK. KEB. SAMARIANG, KPG. SAMARIANG BATU",1,271,22,9,236,267,4,0
3,194/07/01,SAMARIANG,"SEK. KEB. SAMARIANG, KPG. SAMARIANG BATU",2,540,85,21,427,533,7,0
3,194/07/01,SAMARIANG,"SEK. KEB. SAMARIANG, KPG. SAMARIANG BATU",3,477,98,11,365,474,3,0
3,194/07/01,SAMARIANG,"SEK. KEB. SAMARIANG, KPG. SAMARIANG BATU",4,438,75,9,350,434,4,0
3,194/07/01,SAMARIANG,"SURAU DARUL AMIN SEMARIANG JAYA, FASA 2, JALAN BENTARA",1,222,47,5,170,222,0,0
4,194/07/02,LINTANG,SEK. KEB. ENCIK BUYONG,1,262,21,11,226,258,4,0
4,194/07/02,LINTANG,SEK. KEB. ENCIK BUYONG,2,372,64,16,291,371,1,0
4,194/07/02,LINTANG,SEK. KEB. ENCIK BUYONG,3,324,63,6,251,320,4,0
4,194/07/02,LINTANG,SEK. KEB. ENCIK BUYONG,4,283,53,8,220,281,2,0
5,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,1,206,19,8,172,199,7,0
5,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,2,414,46,26,341,413,1,0
5,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,3,414,45,17,347,409,5,0
5,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,4,340,47,15,270,332,8,0
5,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,5,338,43,16,278,337,1,0
6,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,1,261,30,5,224,259,2,0
6,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,2,463,57,13,389,459,4,0
6,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,3,416,76,22,315,413,3,0
6,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,4,392,66,13,309,388,4,0
6,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,5,360,71,7,278,356,4,0
7,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,1,284,39,12,231,282,2,0
7,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,2,481,81,21,373,475,6,0
7,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,3,410,91,9,308,408,2,0
7,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,4,392,91,8,291,390,2,0
7,194/07/05,SUKMA,SEK. KEB. SIOL KANAN,5,369,97,13,259,369,0,0
8,194/07/06,KAMPONG TUNKU,DEWAN MASYARAKAT PETRA JAYA,1,266,41,10,213,264,2,0
8,194/07/06,KAMPONG TUNKU,DEWAN MASYARAKAT PETRA JAYA,2,321,93,9,215,317,4,0
8,194/07/06,KAMPONG TUNKU,DEWAN MASYARAKAT PETRA JAYA,3,289,78,8,201,287,2,0
8,194/07/06,KAMPONG TUNKU,SEK. KEB. RANCANGAN PERUMAHAN RAKYAT 'RPR',1,242,39,4,197,240,2,0
8,194/07/06,KAMPONG TUNKU,SEK. KEB. RANCANGAN PERUMAHAN RAKYAT 'RPR',2,232,35,6,188,229,3,0
8,194/07/06,KAMPONG TUNKU,SEK. KEB. RANCANGAN PERUMAHAN RAKYAT 'RPR',3,206,40,4,161,205,1,0
9,194/07/07,BEDIL,DEWAN MASYARAKAT BARU KPG. LINTANG,1,248,28,5,212,245,3,0
9,194/07/07,BEDIL,DEWAN MASYARAKAT BARU KPG. LINTANG,2,309,45,13,250,308,1,0
9,194/07/07,BEDIL,DEWAN MASYARAKAT BARU KPG. LINTANG,3,281,46,1,234,281,0,0
10,194/07/08,ASTANA LOT,DEWAN SEK. KEB. ENCIK BUYONG,1,235,14,8,208,230,5,0
10,194/07/08,ASTANA LOT,DEWAN SEK. KEB. ENCIK BUYONG,2,400,69,5,325,399,0,1
10,194/07/08,ASTANA LOT,DEWAN SEK. KEB. ENCIK BUYONG,3,348,62,14,269,345,2,1
JUMLAH,,,,38,12397,2035,389,9795,12219,108,70
