Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MOHAMED SALLEH SHAWKATALI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATUK AMAR ABG JOHARI TUN OPENG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,191,4,133,137,11,43
2,194/08/00,UNDI AWAL,"RUANG C, DEWAN MES PEGAWAI KANAN, IBU PEJABAT POLIS
KONTINJEN SARAWAK",1,268,8,257,265,3,0
2,194/08/00,UNDI AWAL,"RUANG C, DEWAN MES PEGAWAI KANAN, IBU PEJABAT POLIS KONTINJEN SARAWAK",2,326,4,321,325,1,0
3,194/08/01,SEGEDUP,TABIKA KEMAS KPG. SG. MAONG,1,258,3,252,255,3,0
3,194/08/01,SEGEDUP,DEWAN SERBAGUNA KPG. SEGEDUP,1,293,14,272,286,6,1
3,194/08/01,SEGEDUP,DEWAN SERBAGUNA KPG. SEGEDUP,2,321,25,292,317,4,0
3,194/08/01,SEGEDUP,DEWAN SERBAGUNA KPG. SEGEDUP,3,322,33,285,318,4,0
4,194/08/02,PATINGAN,DEWAN DATUK MERPATI JEPANG,1,211,30,176,206,5,0
4,194/08/02,PATINGAN,DEWAN DATUK MERPATI JEPANG,2,212,38,173,211,1,0
5,194/08/03,SATOK,SEK. KEB. RAKYAT JLN. HAJI BOLHASSAN,1,191,21,163,184,7,0
5,194/08/03,SATOK,SEK. KEB. RAKYAT JLN. HAJI BOLHASSAN,2,369,68,299,367,2,0
5,194/08/03,SATOK,SEK. KEB. RAKYAT JLN. HAJI BOLHASSAN,3,349,61,286,347,2,0
5,194/08/03,SATOK,SEK. KEB. RAKYAT JLN. HAJI BOLHASSAN,4,331,78,251,329,2,0
5,194/08/03,SATOK,SEK. KEB. RAKYAT JLN. HAJI BOLHASSAN,5,312,73,231,304,8,0
6,194/08/04,MASJID,SEK. MEN. CHUNG HUA NO. 4 JLN. HAJI TAHA,1,211,25,181,206,5,0
6,194/08/04,MASJID,SEK. MEN. CHUNG HUA NO. 4 JLN. HAJI TAHA,2,215,28,185,213,2,0
6,194/08/04,MASJID,SEK. MEN. CHUNG HUA NO. 4 JLN. HAJI TAHA,3,218,39,178,217,1,0
7,194/08/05,MADERASAH,"IBU PEJABAT BULAN SABIT MERAH, JLN. P. RAMLEE",1,36,11,24,35,1,0
8,194/08/06,RESERVOIR,SEK. KEB. ST. JOSEPH JLN. WERE,1,154,42,110,152,2,0
9,194/08/07,NANAS,"SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD
ZAIDI",1,99,31,66,97,2,0
9,194/08/07,NANAS,SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD ZAIDI,2,320,133,187,320,0,0
9,194/08/07,NANAS,"SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD
ZAIDI",3,354,152,199,351,3,0
9,194/08/07,NANAS,SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD ZAIDI,4,371,149,219,368,3,0
9,194/08/07,NANAS,"SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD
ZAIDI",5,399,171,225,396,3,0
9,194/08/07,NANAS,SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD ZAIDI,6,366,167,199,366,0,0
9,194/08/07,NANAS,"SEK. JENIS KEB. CHUNG HUA NO.4 JLN. NANAS/JLN. TUN AHMAD
ZAIDI",7,327,141,184,325,2,0
10,194/08/08,PATINGGI ALI,"SEK. KEB. MERPATI JEPANG, JLN. PATINGGI ALI",1,217,17,199,216,1,0
10,194/08/08,PATINGGI ALI,"SEK. KEB. MERPATI JEPANG, JLN. PATINGGI ALI",2,420,59,353,412,8,0
10,194/08/08,PATINGGI ALI,"SEK. KEB. MERPATI JEPANG, JLN. PATINGGI ALI",3,412,53,358,411,1,0
10,194/08/08,PATINGGI ALI,"SEK. KEB. MERPATI JEPANG, JLN. PATINGGI ALI",4,387,67,319,386,1,0
10,194/08/08,PATINGGI ALI,"SEK. KEB. MERPATI JEPANG, JLN. PATINGGI ALI",5,343,64,277,341,2,0
JUMLAH,,,,31,8803,1809,6854,8663,96,44
