Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MILTON FOO TIANG WEE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :VIOLET YONG WUI WUI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,150,106,14,120,14,16
2,195/10/00,UNDI AWAL,"RUANG D, DEWAN BADMINTON, KOMPLEKS PERUMAHAN
POLIS TABUAN JAYA",1,323,310,11,321,2,0
2,195/10/00,UNDI AWAL,"RUANG D, DEWAN BADMINTON, KOMPLEKS PERUMAHAN POLIS TABUAN JAYA",2,295,289,5,294,1,0
2,195/10/00,UNDI AWAL,"BILIK KULIAH SANTUBONG, RNO KUCHING",1,73,65,7,72,1,0
3,195/10/01,PENDING,"SEK. JENIS KEB. CHUNG HUA PENDING, JLN. KWONG LEE BANK",1,177,84,90,174,3,0
3,195/10/01,PENDING,"SEK. JENIS KEB. CHUNG HUA PENDING, JLN. KWONG LEE BANK",2,451,155,295,450,1,0
3,195/10/01,PENDING,"SEK. JENIS KEB. CHUNG HUA PENDING, JLN. KWONG LEE BANK",3,420,129,291,420,0,0
3,195/10/01,PENDING,"SEK. JENIS KEB. CHUNG HUA PENDING, JLN. KWONG LEE BANK",4,461,138,321,459,2,0
3,195/10/01,PENDING,"SEK. JENIS KEB. CHUNG HUA PENDING, JLN. KWONG LEE BANK",5,409,128,280,408,1,0
3,195/10/01,PENDING,SEK. MEN. KEB. PENDING,1,182,107,71,178,4,0
