Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CHONG CHIENG JEN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :YAP YAU SIN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,165,21,105,126,16,23
2,196/12/00,UNDI AWAL,"RUANG A, DEWAN SENTOSA, JLN. LAPANGAN TERBANG",1,64,2,62,64,0,0
2,196/12/00,UNDI AWAL,"DEWAN HAMID BUGO, KEM RIA",1,366,37,322,359,7,0
2,196/12/00,UNDI AWAL,"DEWAN MAKAN, 11 RAMD, KEM SEMENGGO",1,399,19,372,391,8,0
2,196/12/00,UNDI AWAL,"DEWAN MAKAN, 11 RAMD, KEM SEMENGGO",2,404,16,379,395,9,0
2,196/12/00,UNDI AWAL,"DEWAN MAKAN, 11 RAMD, KEM SEMENGGO",3,333,16,306,322,11,0
2,196/12/00,UNDI AWAL,"DEWAN SERI ANGKASA, PANGKALAN UDARA KUCHING",1,355,45,285,330,25,0
2,196/12/00,UNDI AWAL,"DEWAN SERI ANGKASA, PANGKALAN UDARA KUCHING",2,295,48,233,281,14,0
3,196/12/01,STAMPIN,BALAI RAYA KPG. STAMPIN,1,246,112,132,244,2,0
3,196/12/01,STAMPIN,BALAI RAYA KPG. STAMPIN,2,301,196,101,297,4,0
3,196/12/01,STAMPIN,"BALAI PERSATUAN MASYARAKAT KAWASAN PENEMPATAN SEMULA
STAMPIN, LORONG 17A, JLN. STUTONG BARU",1,267,83,174,257,10,0
3,196/12/01,STAMPIN,"BALAI PERSATUAN MASYARAKAT KAWASAN PENEMPATAN SEMULA STAMPIN, LORONG 17A, JLN. STUTONG BARU",2,438,173,258,431,7,0
3,196/12/01,STAMPIN,"BALAI PERSATUAN MASYARAKAT KAWASAN PENEMPATAN SEMULA
STAMPIN, LORONG 17A, JLN. STUTONG BARU",3,412,206,202,408,4,0
3,196/12/01,STAMPIN,"BALAI PERSATUAN MASYARAKAT KAWASAN PENEMPATAN SEMULA STAMPIN, LORONG 17A, JLN. STUTONG BARU",4,386,233,153,386,0,0
3,196/12/01,STAMPIN,"BALAI PERSATUAN MASYARAKAT KAWASAN PENEMPATAN SEMULA
STAMPIN, LORONG 17A, JLN. STUTONG BARU",5,348,203,142,345,3,0
4,196/12/02,SELEDAH,SEK. JENIS KEB. STAMPIN JLN. TUN JUGAH,1,244,150,88,238,6,0
4,196/12/02,SELEDAH,SEK. JENIS KEB. STAMPIN JLN. TUN JUGAH,2,421,314,105,419,2,0
4,196/12/02,SELEDAH,SEK. JENIS KEB. STAMPIN JLN. TUN JUGAH,3,426,339,87,426,0,0
4,196/12/02,SELEDAH,SEK. JENIS KEB. STAMPIN JLN. TUN JUGAH,4,397,320,77,397,0,0
4,196/12/02,SELEDAH,SEK. JENIS KEB. STAMPIN JLN. TUN JUGAH,5,331,271,58,329,2,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",1,245,142,101,243,2,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",2,421,249,171,420,1,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",3,423,266,157,423,0,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",4,406,268,138,406,0,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",5,365,249,115,364,1,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",6,321,199,120,319,2,0
5,196/12/03,SATRIA JAYA,"SEK. KEB. SATRIA JAYA, LORONG A",7,321,214,105,319,2,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,1,196,106,86,192,4,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,2,449,277,165,442,7,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,3,442,250,189,439,2,1
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,4,452,301,149,450,2,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,5,458,310,139,449,9,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,6,414,296,117,413,1,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,7,375,264,109,373,2,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. SAM HAP HIN KOTA SENTOSA JLN. PENRISSEN,8,318,227,90,317,1,0
6,196/12/04,BATU TUJOH,SEK. KEB. ST. ALBAN KPG. SG. TAPANG,1,350,92,253,345,5,0
6,196/12/04,BATU TUJOH,SEK. JENIS KEB. CHUNG HUA STAMPIN (SG. TAPANG),1,306,200,106,306,0,0
7,196/12/05,HUI SING,SEK. MEN. KEB. DATUK PATINGGI HAJI ABDUL GHAPOR STAMPIN,1,225,138,86,224,1,0
7,196/12/05,HUI SING,SEK. MEN. KEB. DATUK PATINGGI HAJI ABDUL GHAPOR STAMPIN,2,452,323,124,447,5,0
7,196/12/05,HUI SING,SEK. MEN. KEB. DATUK PATINGGI HAJI ABDUL GHAPOR STAMPIN,3,469,353,113,466,3,0
7,196/12/05,HUI SING,SEK. MEN. KEB. DATUK PATINGGI HAJI ABDUL GHAPOR STAMPIN,4,412,313,99,412,0,0
7,196/12/05,HUI SING,SEK. MEN. KEB. DATUK PATINGGI HAJI ABDUL GHAPOR STAMPIN,5,364,282,80,362,2,0
8,196/12/06,BATU EMPAT,SEK. JENIS KEB. CHUNG HUA BATU 4 1/2 JLN. PENRISSEN,1,172,99,70,169,3,0
8,196/12/06,BATU EMPAT,SEK. JENIS KEB. CHUNG HUA BATU 4 1/2 JLN. PENRISSEN,2,432,257,168,425,7,0
