Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :VOON SHIAK NI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SULAIMAN BIN KADIR,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO' SERI HJ. OTHMAN BIN HJ. BOJENG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LO KHERE CHIANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDUL AZIZ ISA BIN MARINDO,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,143,2,1,0,95,5,103,10,30
2,196/13/00,UNDI AWAL,"RUANG B, DEWAN SENTOSA , JLN. LAPANGAN TERBANG",1,28,0,0,0,27,1,28,0,0
3,196/13/01,ARANG,SEK. MEN. KEB. ARANG,1,252,23,0,1,114,110,248,4,0
3,196/13/01,ARANG,SEK. MEN. KEB. ARANG,2,490,63,1,0,166,259,489,1,0
3,196/13/01,ARANG,SEK. MEN. KEB. ARANG,3,500,48,1,0,161,288,498,2,0
3,196/13/01,ARANG,SEK. MEN. KEB. ARANG,4,434,40,0,0,127,263,430,4,0
3,196/13/01,ARANG,SEK. MEN. KEB. ARANG,5,381,46,0,0,79,254,379,2,0
4,196/13/02,PASAR MAONG,SEK. KEB. GARLAND,1,212,17,1,1,96,94,209,3,0
4,196/13/02,PASAR MAONG,SEK. KEB. GARLAND,2,466,51,2,0,172,241,466,0,0
4,196/13/02,PASAR MAONG,SEK. KEB. GARLAND,3,477,33,8,0,144,292,477,0,0
4,196/13/02,PASAR MAONG,SEK. KEB. GARLAND,4,447,42,2,1,113,289,447,0,0
4,196/13/02,PASAR MAONG,SEK. KEB. GARLAND,5,402,36,2,0,86,277,401,1,0
5,196/13/03,HAJI BAKI,SEK. JENIS KEB. CHUNG HUA PANGKALAN BARU,1,146,2,0,2,136,5,145,1,0
5,196/13/03,HAJI BAKI,SEK. KEB. SACRED HEART SEMEBA,1,279,22,3,3,173,72,273,6,0
5,196/13/03,HAJI BAKI,SEK. KEB. SACRED HEART SEMEBA,2,475,19,2,4,301,146,472,3,0
5,196/13/03,HAJI BAKI,BALAI RAYA KPG.TEMATU,1,264,11,0,2,232,17,262,2,0
5,196/13/03,HAJI BAKI,SEK. KEB. JLN. HAJI BAKI,1,228,15,0,1,174,37,227,1,0
5,196/13/03,HAJI BAKI,SEK. KEB. JLN. HAJI BAKI,2,490,32,4,1,339,86,462,27,1
5,196/13/03,HAJI BAKI,SEK. KEB. JLN. HAJI BAKI,3,413,26,0,4,308,73,411,2,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 8 1/2 BATU KITANG,1,229,10,0,0,103,115,228,1,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 8 1/2 BATU KITANG,2,230,11,0,0,64,155,230,0,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU KITANG,1,457,29,2,2,313,110,456,1,0
6,196/13/04,KITANG,SEK. KEB. ST. DAVID BUMBOK,1,300,22,1,5,244,24,296,4,0
6,196/13/04,KITANG,SEK. KEB. ST. DAVID BUMBOK,2,369,18,0,2,301,43,364,5,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 10 JLN. PENRISSEN,1,193,7,1,0,106,75,189,4,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 10 JLN. PENRISSEN,2,481,30,1,1,238,204,474,7,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 10 JLN. PENRISSEN,3,481,43,0,0,218,219,480,1,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 10 JLN. PENRISSEN,4,457,32,0,1,161,261,455,2,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 10 JLN. PENRISSEN,5,456,42,0,1,157,253,453,3,0
6,196/13/04,KITANG,SEK. JENIS KEB. CHUNG HUA BATU 10 JLN. PENRISSEN,6,357,36,0,1,103,217,357,0,0
6,196/13/04,KITANG,SEK. KEB. KPG. LANDEH,1,276,11,0,4,220,21,256,20,0
6,196/13/04,KITANG,SEK. KEB. KPG. LANDEH,2,471,21,1,13,380,50,465,6,0
6,196/13/04,KITANG,SEK. KEB. KPG. LANDEH,3,405,16,2,3,335,47,403,2,0
6,196/13/04,KITANG,RCBM RECREATIONAL CENTRE BATU 13,1,63,2,0,0,51,9,62,1,0
7,196/13/05,LIDAH TANAH,BALAI RAYA LIDAH TANAH,1,244,13,10,1,208,8,240,4,0
7,196/13/05,LIDAH TANAH,BALAI RAYA LIDAH TANAH,2,260,12,16,0,221,6,255,5,0
JUMLAH,,,,36,12256,883,61,54,6466,4626,12090,135,31
