Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO SRI MOHAMMAD ALI MAHMUD,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LESLIE TING XIANG ZHI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,472,383,14,397,22,53
2,197/17/00,UNDI AWAL,"RUANG C, DEWAN SERBAGUNA IPD KOTA SAMARAHAN",1,4,4,0,4,0,0
2,197/17/00,UNDI AWAL,DEWAN SERBA GUNA KEM MUARA TUANG,1,543,496,38,534,9,0
2,197/17/00,UNDI AWAL,DEWAN SERBA GUNA KEM MUARA TUANG,2,556,502,40,542,14,0
2,197/17/00,UNDI AWAL,DEWAN SERBA GUNA KEM MUARA TUANG,3,556,515,32,547,9,0
2,197/17/00,UNDI AWAL,DEWAN SERBA GUNA KEM MUARA TUANG,4,499,461,34,495,4,0
2,197/17/00,UNDI AWAL,DEWAN SERBA GUNA KEM MUARA TUANG,5,486,458,24,482,4,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,1,382,359,20,379,3,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,2,372,342,26,368,4,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,3,367,334,23,357,10,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,4,380,347,25,372,8,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,5,367,338,25,363,4,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,6,350,333,16,349,1,0
2,197/17/00,UNDI AWAL,DEWAN BUKAVU KEM PENRISSEN,7,368,330,24,354,14,0
3,197/17/01,MERDANG,SEK. KEB. BINYU,1,138,135,3,138,0,0
3,197/17/01,MERDANG,DEWAN KPG. MERDANG GAYAM,1,237,155,70,225,12,0
3,197/17/01,MERDANG,SEK. MEN. KEB. MUARA TUANG,1,346,217,125,342,4,0
3,197/17/01,MERDANG,BALAIRAYA SG. EMPIT,1,128,105,22,127,1,0
3,197/17/01,MERDANG,PERPUSTAKAAN DESA TMN. SAMARINDAH,1,217,158,56,214,3,0
3,197/17/01,MERDANG,SEK. JENIS KEB. CHUNG HUA SG. JERNANG,1,175,100,73,173,2,0
4,197/17/02,QUOP,DEWAN SERBAGUNA KPG. QUOP DAYAK,1,243,167,61,228,15,0
4,197/17/02,QUOP,DEWAN SERBAGUNA KPG. QUOP DAYAK,2,279,195,83,278,1,0
4,197/17/02,QUOP,DEWAN SERBAGUNA KPG. QUOP DAYAK,3,232,132,98,230,1,1
5,197/17/03,SIDANU,SEK. MEN. KEB. PENRISSEN NO. 1,1,188,138,47,185,3,0
5,197/17/03,SIDANU,SEK. MEN. KEB. PENRISSEN NO. 1,2,352,237,108,345,7,0
5,197/17/03,SIDANU,SEK. MEN. KEB. PENRISSEN NO. 1,3,353,250,101,351,2,0
5,197/17/03,SIDANU,SEK. MEN. KEB. PENRISSEN NO. 1,4,288,201,84,285,3,0
5,197/17/03,SIDANU,"TADIKA NUR JANNAH, KPG. SRI ARJUNA",1,338,315,19,334,4,0
6,197/17/04,PENGKALAN KUAP,DEWAN SERBAGUNA KPG. PANGKALAN KUAP,1,288,261,14,275,12,1
6,197/17/04,PENGKALAN KUAP,DEWAN SERBAGUNA KPG. PANGKALAN KUAP,2,355,338,14,352,3,0
7,197/17/05,STAKAN,DEWAN PERSATUAN MASYARAKAT JLN. MUARA TUANG,1,208,111,97,208,0,0
7,197/17/05,STAKAN,DEWAN PERSATUAN MASYARAKAT JLN. MUARA TUANG,2,286,116,168,284,2,0
7,197/17/05,STAKAN,DEWAN PERSATUAN MASYARAKAT JLN. MUARA TUANG,3,256,76,178,254,2,0
7,197/17/05,STAKAN,DEWAN KPG. STAKAN,1,230,211,16,227,3,0
JUMLAH,,,,34,10839,8820,1778,10598,186,55
