Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :BULN RIBOS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ATHINA SIM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MIRO ANAK SIMUH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NYOMEK ANAK NYEAP,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,60,0,6,27,7,40,2,18
2,198/18/00,UNDI AWAL,"RUANG B, BILIK REKREASI IPD BAU",1,8,0,0,6,2,8,0,0
3,198/18/01,SINIAWAN,SEK. JENIS KEB. CHUNG HUA SINIAWAN,1,203,3,46,125,25,199,4,0
3,198/18/01,SINIAWAN,SEK. JENIS KEB. CHUNG HUA SINIAWAN,2,256,1,70,144,40,255,0,1
3,198/18/01,SINIAWAN,SEK. JENIS KEB. CHUNG HUA SINIAWAN,3,222,2,78,118,21,219,3,0
4,198/18/02,KRANJI,SEK. JENIS KEB. CHUNG HUA KRANJI,1,220,4,47,156,10,217,3,0
5,198/18/03,KOPIT,BALAI RAYA KPG. KOPIT,1,536,10,37,189,287,523,13,0
6,198/18/04,KROKONG,DEWAN MASYARAKAT KROKONG,1,271,5,65,110,89,269,2,0
6,198/18/04,KROKONG,DEWAN MASYARAKAT KROKONG,2,319,6,114,120,76,316,3,0
7,198/18/05,PODAM,SEK. KEB. PODAM,1,364,2,90,91,176,359,5,0
8,198/18/06,PENINJAU BARU,BALAI RAYA KPG. PENINJAU BARU,1,383,1,20,143,215,379,4,0
9,198/18/07,MEREMBEH,BALAI RAYA MEREMBEH,1,230,0,3,166,59,228,2,0
10,198/18/08,KANDIS,SEK. KEB. SINIAWAN KPG. KANDIS LAMA,1,342,1,9,278,53,341,1,0
11,198/18/09,SUNGAI PINANG,SEK. KEB. SG. PINANG,1,318,6,34,141,136,317,1,0
12,198/18/10,PAKU,SEK. JENIS KEB. CHUNG HUA PAKU,1,289,4,72,157,51,284,5,0
13,198/18/11,TANJUNG DURIAN,SEK. KEB. SERUMBU KPG. SEGA`A,1,308,4,110,140,51,305,3,0
14,198/18/12,SEROPAK,BALAI RAYA KPG. SEROPAK,1,206,1,4,90,109,204,2,0
15,198/18/13,SEROMAH,BALAI RAYA KPG. SEROMAH,1,317,3,12,169,125,309,8,0
16,198/18/14,SEGUBANG,BALAI RAYA KPG. SEGUBANG,1,203,2,10,128,52,192,11,0
17,198/18/15,SOGO,BALAI RAYA KPG. SOGO,1,457,1,56,284,112,453,4,0
18,198/18/16,RABAK ROTAN,BALAI RAYA KPG. REBAK ROTAN,1,172,7,44,92,26,169,3,0
19,198/18/17,PANGKALAN TEBANG,BALAI RAYA PANGKALAN TEBANG,1,147,2,29,59,57,147,0,0
20,198/18/18,MONGGAK,BALAI RAYA BEJURAI,1,350,10,111,123,99,343,7,0
21,198/18/19,BLIMBIN,BALAI RAYA KPG. BLIMBIN,1,234,41,65,52,63,221,13,0
22,198/18/20,GUMBANG,BALAI RAYA KPG. GUMBANG,1,302,0,58,184,25,267,35,0
23,198/18/21,PADANG PAN,BALAI RAYA KPG. PADANG PAN,1,159,4,2,131,18,155,4,0
24,198/18/22,PUAK KROKONG,BALAI RAYA KPG. PUAK KROKONG,1,126,0,26,29,71,126,0,0
JUMLAH,,,,27,7002,120,1218,3452,2055,6845,138,19
