Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MUSA ANAK NGOG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ROLAND SAGAH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,107,5,45,50,4,53
2,198/20/00,UNDI AWAL,"RUANG C, DEWAN MINDA, JALAN LAPANGAN TERBANG",1,8,0,8,8,0,0
3,198/20/01,TIJIRAK,SEK. KEB. ST. ELIZABETH TIJIRAK,1,281,49,228,277,4,0
3,198/20/01,TIJIRAK,SEK. KEB. ST. ELIZABETH TIJIRAK,2,277,40,237,277,0,0
4,198/20/02,PETUNG,SEK. KEB. PATUNG,1,378,84,286,370,8,0
5,198/20/03,TABUAN RABAK,BALAI RAYA TABUAN RABAK,1,149,34,113,147,2,0
6,198/20/04,SIMPUK,SEK. KEB. ST. PETER SIMPUK,1,276,85,179,264,12,0
6,198/20/04,SIMPUK,SEK. KEB. ST. PETER SIMPUK,2,303,95,204,299,4,0
7,198/20/05,SEKUDUK,SEK. KEB. SWITHUN PAYANG,1,447,24,418,442,4,1
8,198/20/06,PANCHOR,SEK. KEB. ST. AMBROSE KPG. PANCHOR,1,251,34,215,249,2,0
9,198/20/07,PEKAN TARAT,SEK. JENIS KEB. CHUNG HUA BATU 35,1,298,90,205,295,3,0
10,198/20/08,BAKI,SEK. JENIS KEB. CHUNG HUA BATU 32,1,179,76,96,172,7,0
10,198/20/08,BAKI,SEK. JENIS KEB. CHUNG HUA BATU 32,2,227,125,97,222,5,0
11,198/20/09,AMPUNGAN,SEK. KEB. ST. ALBAN AMPUNGAN,1,482,132,344,476,6,0
12,198/20/10,TAPAH,SEK. JENIS KEB. TAPAH,1,189,56,130,186,3,0
12,198/20/10,TAPAH,SEK. JENIS KEB. TAPAH,2,322,131,180,311,11,0
12,198/20/10,TAPAH,SEK. JENIS KEB. TAPAH,3,295,133,161,294,1,0
12,198/20/10,TAPAH,SEK. JENIS KEB. TAPAH,4,290,172,114,286,3,1
13,198/20/11,MUNDAI,SEK. KEB. ST. MATHEW MUNDAI,1,280,97,180,277,3,0
14,198/20/12,BERATOK,SEK. JENIS KEB. BERATOK,1,220,75,139,214,6,0
14,198/20/12,BERATOK,SEK. JENIS KEB. BERATOK,2,317,139,177,316,1,0
14,198/20/12,BERATOK,SEK. JENIS KEB. BERATOK,3,300,164,136,300,0,0
15,198/20/13,PESANG,SEK. KEB. PESANG / BEGU,1,453,45,401,446,7,0
16,198/20/14,GAYU,SEK. KEB. KPG. GAYU,1,355,47,292,339,16,0
17,198/20/15,SARIG,BALAI RAYA KPG. SARIG,1,187,33,151,184,3,0
18,198/20/16,SIRA,BALAI RAYA KPG. SIRA,1,303,62,231,293,10,0
19,198/20/17,TENG BUKAP,BALAI RAYA KPG. KRIAN,1,181,18,160,178,3,0
20,198/20/18,SUBANG,BALAI RAYA KPG. SUBANG,1,231,38,181,219,12,0
21,198/20/19,STABUT,BALAI RAYA KPG. STABUT,1,171,13,157,170,1,0
22,198/20/20,PERAYA,BALAI RAYA KPG. PERAYA,1,246,24,218,242,4,0
23,198/20/21,MAANG,"SK. ST. DUNSTAN, MAANG",1,303,47,253,300,3,0
24,198/20/22,MERAKEP,SEK. KEB. ST. JAMES RAYANG,1,145,40,99,139,6,0
25,198/20/23,BISIRA,BALAI RAYA KPG. BISIRA,1,103,24,76,100,3,0
26,198/20/24,DUNUK,SEK. KEB. KPG. PELAMAN DUNUK,1,128,44,82,126,2,0
27,198/20/25,SEMARU,SUNDAY SCHOOL CHURCH KPG. SEMARU,1,123,31,83,114,9,0
28,198/20/26,BELIMBING,SEK. KEB. ST. EDWARD BELIMBING,1,229,10,217,227,2,0
29,198/20/27,RETOH,SEK. KEB. RITUH,1,229,16,209,225,4,0
30,198/20/28,SUNGAI BARIE,BALAI RAYA KPG. ENTAWA SG. BARIE,1,126,4,121,125,1,0
30,198/20/28,SUNGAI BARIE,SEK. KEB. SG. KENYAH,1,298,17,268,285,13,0
31,198/20/29,TARAT BARU,SEK. KEB. TARAT,1,291,131,153,284,7,0
31,198/20/29,TARAT BARU,SEK. KEB. TARAT,2,302,127,173,300,2,0
32,198/20/30,MUNGGU LALANG,SEK. KEB. ST. BERNABAS BARU,1,436,124,307,431,5,0
33,198/20/31,RAYANG,SEK. KEB. RAYANG,1,269,92,174,266,3,0
33,198/20/31,RAYANG,SEK. KEB. RAYANG,2,306,115,188,303,3,0
34,198/20/32,SEBEMBAN,SEK. KEB. SEBAMBAN,1,157,48,108,156,1,0
35,198/20/33,TANAH PUTEH,SEK. KEB. TANAH PUTEH,1,190,22,163,185,5,0
35,198/20/33,TANAH PUTEH,"RH. PANJANG, KAMPUNG MUNGGU KOPI",1,110,17,93,110,0,0
JUMLAH,,,,47,11748,3029,8450,11479,214,55
