Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :EDWARD ANDREW LUWAK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FREDERICK BAYOI AK. MANGGIE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JOHN ILUS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JOHNNY BOB ANAK APUT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :COBBOLD ANAK LUSOI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,170,2,3,127,0,0,132,6,32
2,199/23/00,UNDI AWAL,"RUANG B, DEWAN SRI PENGAMAN, IPD SERIAN",1,155,9,6,138,0,1,154,1,0
3,199/23/01,SEDIHAN,BALAI RAYA KPG. TEBAKANG DAYAK,1,272,28,92,136,3,7,266,6,0
3,199/23/01,SEDIHAN,BALAI RAYA KPG. TEBAKANG DAYAK,2,313,36,99,169,0,7,311,2,0
3,199/23/01,SEDIHAN,SEK. KEB. TEBAKANG,1,273,5,60,206,0,0,271,2,0
3,199/23/01,SEDIHAN,SEK. KEB. TEBAKANG,2,201,9,65,123,0,0,197,4,0
3,199/23/01,SEDIHAN,BALAI RAYA SORAH DAYAK,1,352,89,57,193,2,5,346,6,0
3,199/23/01,SEDIHAN,SEK. KEB. PANGKALAN SORAH,1,105,0,30,70,3,0,103,2,0
3,199/23/01,SEDIHAN,SEK. KEB. KORAN,1,256,97,32,111,3,11,254,2,0
3,199/23/01,SEDIHAN,SEK. KEB. KORAN,2,330,100,50,171,0,3,324,6,0
4,199/23/02,TRIBOH,SEK. KEB. MERAKAI,1,106,23,30,49,0,1,103,3,0
4,199/23/02,TRIBOH,RH. PANJANG KPG. KUALA,1,74,4,1,67,1,1,74,0,0
4,199/23/02,TRIBOH,SEK. KEB. LEBOR/REMUN,1,244,82,29,118,4,5,238,6,0
4,199/23/02,TRIBOH,SEK. KEB. LEBOR/REMUN,2,306,95,44,160,0,7,306,0,0
4,199/23/02,TRIBOH,SEK. KEB. BEDUP,1,252,37,16,178,3,14,248,4,0
4,199/23/02,TRIBOH,SEK. KEB. BEDUP,2,358,41,10,137,0,6,194,1,163
4,199/23/02,TRIBOH,SEK. KEB. MELANSAI,1,282,75,26,167,4,9,281,1,0
4,199/23/02,TRIBOH,SEK. KEB. PENGKALAN BEDUP,1,191,69,27,82,4,3,185,6,0
5,199/23/03,SELABI,SEK. KEB. RIIH DASO,1,424,41,17,354,2,3,417,7,0
5,199/23/03,SELABI,BALAI RAYA KPG. RIIH MAWANG,1,354,68,52,218,3,6,347,7,0
5,199/23/03,SELABI,SEK. KEB. ST. PATRICK TANGGA,1,507,70,76,348,1,5,500,7,0
5,199/23/03,SELABI,BALAI RAYA KPG. RASAU,1,276,10,7,247,0,7,271,5,0
5,199/23/03,SELABI,SEK. KEB. ST. HENRY SELABI,1,387,144,32,194,2,11,383,4,0
5,199/23/03,SELABI,BALAI RAYA KPG. SEROBAN,1,259,83,19,153,1,2,258,1,0
5,199/23/03,SELABI,SEK. KEB. SERIAN,1,347,63,40,233,1,9,346,1,0
6,199/23/04,PASAR SERIAN,SEK. JENIS KEB. CHUNG HUA SERIAN,1,195,86,25,82,1,1,195,0,0
6,199/23/04,PASAR SERIAN,SEK. JENIS KEB. CHUNG HUA SERIAN,2,305,159,20,124,1,0,304,1,0
6,199/23/04,PASAR SERIAN,SEK. JENIS KEB. CHUNG HUA SERIAN,3,307,154,19,130,2,0,305,2,0
6,199/23/04,PASAR SERIAN,SEK. JENIS KEB. CHUNG HUA SERIAN,4,313,193,14,103,2,0,312,1,0
6,199/23/04,PASAR SERIAN,SEK. JENIS KEB. CHUNG HUA SERIAN,5,279,163,10,99,3,2,277,2,0
6,199/23/04,PASAR SERIAN,SEK. JENIS KEB. CHUNG HUA SERIAN,6,250,157,9,82,0,0,248,2,0
7,199/23/05,KAKAI,BALAI RAYA KPG. KAKAI,1,254,54,41,150,5,3,253,1,0
8,199/23/06,SERIAN HULU,SEK. KEB. ST. TERESA,1,227,21,31,168,1,2,223,4,0
8,199/23/06,SERIAN HULU,SEK. KEB. ST. TERESA,2,283,22,57,193,0,1,273,10,0
8,199/23/06,SERIAN HULU,SEK. KEB. ST. TERESA,3,245,18,50,171,1,1,241,4,0
JUMLAH,,,,35,9452,2307,1196,5451,53,133,9140,117,195
