Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :USTAZ OTHMAN MUSTAPHA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :IR AIDEL LARIWOO,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CIKGU ASAN SINGKRO,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :AWANG RABIEE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,47,0,26,0,0,26,1,20
2,200/24/00,UNDI AWAL,"RUANG D, DEWAN SERBAGUNA IPD KOTA SAMARAHAN",1,1,0,1,0,0,1,0,0
3,200/24/01,SEPAYOR,SEK. JENIS KEB. CHUNG HUA SEMERA,1,259,7,209,13,26,255,4,0
4,200/24/02,SEMERA,SEK. KEB. HAJI KELALI SEMERA,1,256,5,212,7,20,244,12,0
4,200/24/02,SEMERA,SEK. KEB. HAJI KELALI SEMERA,2,529,10,440,24,46,520,9,0
4,200/24/02,SEMERA,SEK. KEB. HAJI KELALI SEMERA,3,479,5,409,27,35,476,3,0
4,200/24/02,SEMERA,SEK. KEB. HAJI KELALI SEMERA,4,358,9,298,20,25,352,6,0
5,200/24/03,JEMUKAN,SEK. KEB. JEMUKAN,1,265,19,220,21,3,263,2,0
5,200/24/03,JEMUKAN,SEK. KEB. JEMUKAN,2,377,51,281,38,4,374,3,0
6,200/24/04,JEMUKAN ULU,SEK. JENIS KEB. CHUNG HUA JEMUKAN,1,122,11,86,19,1,117,5,0
7,200/24/05,SADONG JAYA,SEK. KEB. PENDAM,1,267,1,239,19,1,260,7,0
7,200/24/05,SADONG JAYA,SEK. KEB. PENDAM,2,455,5,379,57,6,447,8,0
8,200/24/06,SADONG JAYA ULU,DEWAN MASYARAKAT KPG. SADONG JAYA ULU,1,155,2,126,21,4,153,2,0
9,200/24/07,JAIE,SEK. KEB. JAIE,1,296,17,220,32,19,288,8,0
9,200/24/07,JAIE,SEK. KEB. JAIE,2,363,12,293,40,16,361,2,0
10,200/24/08,IBOI,SEK. KEB. IBOI/PELANDOK,1,360,3,277,70,7,357,3,0
11,200/24/09,PELANDOK,DEWAN MASYARAKAT KPG. PELANDOK,1,285,0,209,50,21,280,5,0
JUMLAH,,,,17,4874,157,3925,458,234,4774,80,20
