Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :AWLA BIN DRIS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HIPNI BIN KANAINI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JAMILAH BINTI BAHARUDDIN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,89,50,2,2,54,8,27
2,200/25/00,UNDI AWAL,BILIK SUMBER IPD SIMUNJAN,1,76,71,0,5,76,0,0
3,200/25/01,RANGKANG,DEWAN KPG. RANGKANG,1,298,227,7,54,288,10,0
4,200/25/02,PUTIN,SEK. KEB. SG. PUTIN,1,147,117,1,29,147,0,0
5,200/25/03,RANGAWAN,DEWAN KPG. RANGAWAN,1,309,232,4,55,291,18,0
6,200/25/04,TERASI,SEK. KEB. TERASI,1,229,182,2,41,225,4,0
7,200/25/05,SENANGEH,DEWAN KPG. SENANGEH,1,128,92,7,26,125,3,0
8,200/25/06,SUNGAI BULOH,SEK. KEB. SG. BULU/SENANGEH,1,175,120,5,49,174,1,0
9,200/25/07,ENSENGEI,SEK. KEB. SEBUYAU ENSENGEI,1,184,129,1,52,182,2,0
10,200/25/08,SIMUNJAN,SEK. JENIS KEB. CHUNG HUA SIMUNJAN,1,248,163,37,44,244,4,0
10,200/25/08,SIMUNJAN,SEK. JENIS KEB. CHUNG HUA SIMUNJAN,2,409,266,48,88,402,7,0
10,200/25/08,SIMUNJAN,SEK. JENIS KEB. CHUNG HUA SIMUNJAN,3,370,237,49,83,369,1,0
10,200/25/08,SIMUNJAN,PERPUSTAKAAN KPG. SUAL,1,62,34,1,27,62,0,0
10,200/25/08,SIMUNJAN,SEK. MEN. KEB. SRI SADONG,1,122,49,5,64,118,4,0
11,200/25/09,TEMIANG,SEK. KEB. SG. LINGKAU,1,145,81,10,52,143,2,0
11,200/25/09,TEMIANG,SEK. KEB. KPG. TEMIANG,1,257,111,2,144,257,0,0
11,200/25/09,TEMIANG,SEK. KEB. LEPONG EMPLAS,1,121,66,1,52,119,2,0
11,200/25/09,TEMIANG,SEK. KEB. GUNUNG NGELI,1,219,86,7,120,213,6,0
12,200/25/10,SAGENG,SEK. KEB. SAGENG,1,303,234,21,43,298,5,0
12,200/25/10,SAGENG,SEK. KEB. SAGENG,2,368,248,27,82,357,11,0
12,200/25/10,SAGENG,SEK. KEB. ABANG MAN,1,274,218,12,42,272,2,0
12,200/25/10,SAGENG,SEK. KEB. ABANG MAN,2,496,402,16,72,490,6,0
13,200/25/11,SEKENDU,SEK. KEB. SEKENDU,1,279,171,4,98,273,6,0
14,200/25/12,SUNGAI APIN,SEK. KEB. SG. APIN,1,266,226,2,23,251,15,0
15,200/25/13,TANJONG BELUKU,DEWAN KPG. TANJUNG HARAPAN,1,108,86,2,20,108,0,0
16,200/25/14,SLANGKING,SEK. KEB. TANJUNG PISANG,1,233,203,2,22,227,6,0
JUMLAH,,,,26,5915,4101,275,1389,5765,123,27
