Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MOHD. NARODEN MAJAIS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :RAPELSON RICHARD HAMIT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :UJA ANAK BANSI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,41,15,0,0,15,1,25
2,200/26/00,UNDI AWAL,"BILIK CAWANGAN JSJ, IPD SIMUNJAN",1,1,1,0,0,1,0,0
3,200/26/01,KEPAYANG,SEK. KEB. KPG. KEPAYANG,1,313,143,19,147,309,4,0
4,200/26/02,ENSENGAI,DEWAN PEMBANGUNAN INSAN KPG. ENSENGEI MELAYU,1,189,144,13,0,157,32,0
5,200/26/03,SATEMAN,BALAI RAYA KPG. SABANG,1,64,40,15,9,64,0,0
5,200/26/03,SATEMAN,DEWAN KPG. SATEMAN,1,58,38,16,4,58,0,0
5,200/26/03,SATEMAN,SEK. KEB. SG. BA,1,138,107,26,5,138,0,0
5,200/26/03,SATEMAN,BANGSAL SEMENTARA KPG. LUBOK SAMSU,1,24,23,0,1,24,0,0
6,200/26/04,PANGKOR,SEK. KEB. LUBOK PUNGGOR,1,350,290,27,27,344,6,0
6,200/26/04,PANGKOR,SEK. KEB. LUBOK BUNTING,1,211,118,79,8,205,6,0
6,200/26/04,PANGKOR,SEK. KEB. KPG. GUMPEY,1,158,105,42,3,150,8,0
6,200/26/04,PANGKOR,RH. MIKAI AK UNCHIT KPG. SPAOH GEDONG,1,96,50,44,1,95,1,0
6,200/26/04,PANGKOR,DEWAN KPG. BENAT ULU,1,100,61,36,3,100,0,0
7,200/26/05,GEDONG,SEK. KEB. ABANG KADIR GEDONG,1,228,205,14,3,222,5,1
7,200/26/05,GEDONG,SEK. KEB. ABANG KADIR GEDONG,2,457,417,29,3,449,8,0
7,200/26/05,GEDONG,SEK. KEB. ABANG KADIR GEDONG,3,442,408,29,5,442,0,0
7,200/26/05,GEDONG,SEK. KEB. ABANG KADIR GEDONG,4,428,372,39,3,414,14,0
7,200/26/05,GEDONG,SEK. KEB. ABANG KADIR GEDONG,5,367,312,50,2,364,3,0
7,200/26/05,GEDONG,SEK. KEB. ABANG KADIR GEDONG,6,334,292,36,0,328,6,0
8,200/26/06,TEGELAM,SEK. KEB. TEGELAM / SG. ALIT,1,121,105,11,4,120,1,0
8,200/26/06,TEGELAM,BALAI RAYA SG. ALIT,1,38,30,4,1,35,3,0
9,200/26/07,KENIONG,RH. SAMAU AK JELIOH MUNGGU AIR,1,163,127,8,26,161,2,0
9,200/26/07,KENIONG,SEK. KEB. MUNGGU LALANG,1,269,181,20,63,264,5,0
9,200/26/07,KENIONG,SEK. KEB. KPG. KENIONG,1,264,162,44,56,262,2,0
9,200/26/07,KENIONG,DEWAN ISU JAYA,1,128,108,8,9,125,3,0
9,200/26/07,KENIONG,SEK. KEB. SEMALATONG,1,315,210,90,13,313,2,0
JUMLAH,,,,26,5297,4064,699,396,5159,112,26
