Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HAJAH SIMOI BINTI PERI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO WAN ABDILLAH EDRUCE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABANG ZULKIFLI BIN ABANG ENGKEH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,52,47,3,1,51,1,0
2,201/28/00,UNDI AWAL,"RUANG A, RUANG LEGAR BAHAGIAN SIASATAN JENAYAH NARKOTIK IPD
SRI AMAN",1,1,1,0,0,1,0,0
3,201/28/01,LINGGA,SEK. KEB. ST. DUNSTAN SEDUKU,1,138,83,11,39,133,5,0
3,201/28/01,LINGGA,SEK. KEB. LELA PAHLAWAN LINGGA,1,214,124,43,43,210,4,0
3,201/28/01,LINGGA,SEK. KEB. LELA PAHLAWAN LINGGA,2,247,138,61,44,243,4,0
3,201/28/01,LINGGA,SEK. KEB. LELA PAHLAWAN LINGGA,3,206,85,89,29,203,3,0
4,201/28/02,MELUDAM,DEWAN KPG. SG. MULON MELUDAM,1,196,136,1,52,189,7,0
4,201/28/02,MELUDAM,DEWAN WANITA KPG. TRISO,1,96,53,10,33,96,0,0
4,201/28/02,MELUDAM,SEK. JENIS KEB. CHUNG HUA MELUDAM,1,270,162,8,92,262,8,0
4,201/28/02,MELUDAM,SEK. JENIS KEB. CHUNG HUA MELUDAM,2,261,159,9,87,255,6,0
4,201/28/02,MELUDAM,SEK. KEB. MALUDAM,1,161,94,5,56,155,6,0
4,201/28/02,MELUDAM,SEK. KEB. MALUDAM,2,205,112,6,83,201,4,0
4,201/28/02,MELUDAM,SEK. KEB. MALUDAM,3,200,116,8,74,198,2,0
4,201/28/02,MELUDAM,SEK. KEB. MALUDAM,4,175,89,9,71,169,6,0
4,201/28/02,MELUDAM,SEK. KEB. MALUDAM,5,150,82,7,54,143,7,0
5,201/28/03,SEDUKU,BANGUNAN TADIKA KEMAS SEDUKU BARU,1,146,107,32,5,144,2,0
5,201/28/03,SEDUKU,SEK. KEB. SEMBAYANG,1,82,55,0,26,81,1,0
5,201/28/03,SEDUKU,RH. ASAN TEMELAN ULU,1,64,50,4,9,63,1,0
5,201/28/03,SEDUKU,RH. RADIN PUTAT,1,243,196,3,39,238,5,0
5,201/28/03,SEDUKU,RH. PIPIT TG. BIJAT,1,44,38,1,5,44,0,0
6,201/28/04,STUMBIN,KLINIK DESA TANJUNG BIJAT,1,139,93,14,32,139,0,0
6,201/28/04,STUMBIN,RH. SAMBAU NG. ENTULANG,1,98,79,0,16,95,3,0
6,201/28/04,STUMBIN,SEK. KEB. GRAN/STUMBIN,1,264,200,26,34,260,4,0
6,201/28/04,STUMBIN,SEK. KEB. GRAN/STUMBIN,2,232,163,30,34,227,5,0
6,201/28/04,STUMBIN,SEK. KEB. GRAN/STUMBIN,3,200,141,28,26,195,5,0
7,201/28/05,LADONG,BALAI RAYA KPG. HILIR SRI AMAN,1,265,198,34,29,261,4,0
7,201/28/05,LADONG,BALAI RAYA KPG. HILIR SRI AMAN,2,271,208,34,29,271,0,0
7,201/28/05,LADONG,BALAI RAYA KPG. HILIR SRI AMAN,3,267,182,56,25,263,4,0
7,201/28/05,LADONG,BALAI RAYA KPG. HILIR SRI AMAN,4,211,138,50,23,211,0,0
7,201/28/05,LADONG,BALAI RAYA KPG. HILIR SRI AMAN,5,232,159,53,18,230,2,0
8,201/28/06,LAMANAK,MINI STADIUM BANDAR SRI AMAN,1,251,186,33,28,247,4,0
8,201/28/06,LAMANAK,MINI STADIUM BANDAR SRI AMAN,2,280,185,55,36,276,4,0
8,201/28/06,LAMANAK,MINI STADIUM BANDAR SRI AMAN,3,265,163,68,30,261,4,0
8,201/28/06,LAMANAK,MINI STADIUM BANDAR SRI AMAN,4,224,147,51,24,222,2,0
JUMLAH,,,,34,6350,4169,842,1226,6237,113,0
