Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NORINA UMOI UTOT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO DR NGU PIEW SENG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FRANCIS HARDEN ANAK HOLLIS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LEON JIMAT DONALD,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,152,2,9,86,6,103,2,47
2,202/32/00,UNDI AWAL,"RUANG B, RUANG LEGAR, BAHAGIAN SIASATAN JENAYAH NARKOTIK IPD SRI AMAN",1,213,4,23,183,0,210,3,0
3,202/32/01,SABU,SEK. KEB. ST. LAWRENCE,1,332,9,140,117,57,323,9,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,1,208,4,101,74,28,207,1,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,2,497,18,216,211,51,496,1,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,3,499,13,228,189,65,495,4,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,4,468,25,194,185,62,466,2,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,5,457,17,177,179,81,454,3,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,6,363,16,146,159,41,362,1,0
4,202/32/02,SIMANGGANG,SEK. KEB. ABANG AING SRI AMAN,7,368,21,148,136,62,367,1,0
4,202/32/02,SIMANGGANG,"SEK. KEB. SRI AMAN, KPG. MUHIBBAH",1,283,22,64,177,14,277,6,0
4,202/32/02,SIMANGGANG,"SEK. KEB. SRI AMAN, KPG. MUHIBBAH",2,275,13,66,175,15,269,6,0
5,202/32/03,LAMANAK SEBERANG,RH. THOMAS RAMBA BRANGAN ULU,1,145,16,27,98,4,145,0,0
5,202/32/03,LAMANAK SEBERANG,SEK. JENIS KEB. CHUNG HUA SRI AMAN,1,271,13,120,121,15,269,2,0
5,202/32/03,LAMANAK SEBERANG,SEK. JENIS KEB. CHUNG HUA SRI AMAN,2,393,19,198,142,34,393,0,0
5,202/32/03,LAMANAK SEBERANG,SEK. JENIS KEB. CHUNG HUA SRI AMAN,3,344,17,155,137,32,341,3,0
5,202/32/03,LAMANAK SEBERANG,SEK. JENIS KEB. CHUNG HUA SRI AMAN,4,261,9,120,94,37,260,1,0
6,202/32/04,MUNGGU SABUN,"BANGUNAN PERKUMPULAN WANITA, SRI AMAN",1,197,3,90,88,15,196,1,0
7,202/32/05,SENGAT,RH. RENGKANG LEPONG EMPELIAU,1,269,21,113,123,8,265,4,0
7,202/32/05,SENGAT,"RH. LUTANG, SENGELAU UNDOP",1,214,63,50,84,11,208,6,0
7,202/32/05,SENGAT,SEK. KEB. NANGGA KLASSIN UNDOP,1,207,23,54,124,2,203,4,0
8,202/32/06,UNDUP,RH. THOMAS LAMAN SENGKUANG,1,202,50,35,111,3,199,3,0
8,202/32/06,UNDUP,RH. BANDI SEBANGKOI UNDOP,1,73,2,3,65,0,70,3,0
8,202/32/06,UNDUP,SEK. KEB. BATU LINTANG UNDOP,1,297,44,25,222,6,297,0,0
8,202/32/06,UNDUP,SEK. KEB. BATU LINTANG UNDOP,2,281,48,21,201,7,277,4,0
8,202/32/06,UNDUP,SEK. KEB. ULU PAKU UNDOP,1,124,1,10,86,26,123,1,0
8,202/32/06,UNDUP,RH. PILIT KAONG,1,72,0,3,64,4,71,1,0
9,202/32/07,BAYAI,RH. EMPOL SG. TENGGAK,1,237,20,54,159,3,236,1,0
9,202/32/07,BAYAI,RH. BATANG ENTAWA,1,350,47,73,219,4,343,7,0
9,202/32/07,BAYAI,"RH. JERRY LAI, KPG. SIGA",1,153,20,43,85,2,150,3,0
JUMLAH,,,,30,8205,580,2706,4094,695,8075,83,47
