Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ADAN ANAK SANDOM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JOHNICHAL RAYONG NGIPA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NICHOLAS BAWIN ANGGAT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR. RIDI BAUK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,80,1,48,3,1,53,4,23
2,203/33/00,UNDI AWAL,"BILIK MESYUARAT, BALAI POLIS ENGKILILI",1,18,0,18,0,0,18,0,0
3,203/33/01,SKRANG,SEK. KEB. LIDONG,1,359,2,305,15,32,354,5,0
4,203/33/02,ENTEBAN,SEK. KEB. NG. ENTEBAN,1,356,2,262,51,38,353,3,0
5,203/33/03,ENTALAU,SEK. KEB. ENTALAU,1,84,0,72,6,6,84,0,0
6,203/33/04,SEMANJU,SEK. KEB. SAN SEMANJU,1,323,4,227,13,75,319,4,0
6,203/33/04,SEMANJU,SEK. KEB. SAN SEMANJU,2,404,4,261,18,119,402,2,0
7,203/33/05,KASENDUH,SEK. KEB. IJOK,1,364,5,301,16,39,361,3,0
8,203/33/06,ENGKILILI,SEK. JENIS KEB. CHUNG HUA ENGKILILI,1,217,6,69,23,119,217,0,0
8,203/33/06,ENGKILILI,SEK. JENIS KEB. CHUNG HUA ENGKILILI,2,309,7,115,41,141,304,5,0
9,203/33/07,TABUT,SEK. KEB. TABUT,1,373,4,281,15,67,367,6,0
10,203/33/08,AUR,SEK. KEB. ISU BANGAT,1,354,2,275,13,61,351,3,0
11,203/33/09,PENTIK,SEK. KEB. SKIM SKRANG,1,289,3,256,6,19,284,5,0
11,203/33/09,PENTIK,SEK. KEB. SKIM SKRANG,2,409,2,352,12,43,409,0,0
11,203/33/09,PENTIK,SEK. KEB. SKIM SKRANG,3,301,1,250,20,28,299,2,0
12,203/33/10,JUKAT,SEK. KEB. NG. MENJUAU,1,113,0,97,12,4,113,0,0
12,203/33/10,JUKAT,"RH. GAIT, KERANGGAS",1,52,0,46,4,1,51,1,0
13,203/33/11,SELADONG,RH. ABON PANCHOR,1,88,0,69,18,1,88,0,0
14,203/33/12,AKUP,RH. VELLY SG. PINANG,1,110,0,70,31,8,109,1,0
15,203/33/13,MARUTIH,SEK. KEB. NG. TEBAT,1,178,0,138,24,15,177,1,0
16,203/33/14,MUJAN,RH. NUDONG MURAT,1,223,2,130,12,76,220,3,0
17,203/33/15,KUJOH,RH. MULOK KUJOH,1,125,1,65,28,30,124,1,0
18,203/33/16,SPLU,SEK. KEB. RIDAN,1,279,6,101,9,161,277,2,0
19,203/33/17,MERINDUN,TADIKA KEMAS MERINDUN,1,302,2,261,11,24,298,4,0
20,203/33/18,TAWAI,KUARTERS SKIM DID TANJONG SEDURU,1,99,0,88,3,8,99,0,0
21,203/33/19,BASI,SEK. KEB. BASI,1,422,8,331,9,67,415,7,0
22,203/33/20,GELIGAU,SEK. KEB. EMPELAM,1,142,0,116,4,22,142,0,0
23,203/33/21,SEDARAT,SEK. KEB. SEDARAT,1,269,2,152,28,86,268,1,0
23,203/33/21,SEDARAT,SEK. KEB. SEDARAT,2,272,5,164,27,75,271,1,0
24,203/33/22,MAROP,SEK. MEN. KEB. ENGKILILI,1,276,0,133,33,107,273,3,0
25,203/33/23,MERIO,BALAI RAYA NG. MERIO,1,237,1,165,15,52,233,4,0
26,203/33/24,MERBONG,SEK. KEB. ENGKILILI NO. 1,1,461,21,295,12,131,459,2,0
JUMLAH,,,,32,7888,91,5513,532,1656,7792,73,23
