Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :KOLIEN LIONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MALCOM MUSSEN ANAK LAMOH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,80,7,50,57,5,18
2,203/34/00,UNDI AWAL,"DEWAN BESAR, IPD LUBOK ANTU",1,29,0,29,29,0,0
3,203/34/01,SEBANGKI,SEK. KEB. SEBANGKI,1,465,58,400,458,7,0
4,203/34/02,LUBOK ANTU,SEK. MEN. KEB. LUBOK ANTU,1,334,111,218,329,5,0
5,203/34/03,SEKAROK,SEK. KEB. SEKAROK,1,293,82,202,284,9,0
6,203/34/04,KESIT,SEK. KEB. NG. KESIT,1,395,172,220,392,3,0
6,203/34/04,KESIT,RH. LIMPENG LEPONG MAWANG KESIT,1,239,40,196,236,3,0
7,203/34/05,ENGKARI,SEK. KEB. ULU ENGKARI,1,68,1,67,68,0,0
8,203/34/06,DELOK,SEK. KEB. NG. DELOK LUBOK ANTU,1,156,21,133,154,2,0
9,203/34/07,KAONG,TADIKA KEMAS KAONG ULU,1,410,90,312,402,8,0
10,203/34/08,EMPIT,SEK. KEB. MELABAN EMPIT,1,389,81,300,381,8,0
11,203/34/09,KUMPANG,SEK. KEB. NG. AUP,1,133,53,79,132,1,0
12,203/34/10,KLAMPU,"RH. RENGGIE, BUKONG",1,162,35,125,160,2,0
13,203/34/11,SAYAT,SEK. KEB. NG. KUMPANG,1,410,81,325,406,4,0
14,203/34/12,KUTAI,SEK. KEB. LUBOK ANTU,1,254,56,195,251,3,0
14,203/34/12,KUTAI,SEK. KEB. LUBOK ANTU,2,213,58,150,208,5,0
15,203/34/13,MEPI,SEK. KEB. BATANG AI,1,389,81,302,383,6,0
16,203/34/14,JELA,TADIKA KEMAS NG. JELA,1,372,141,229,370,2,0
17,203/34/15,SEMPANG,TADIKA KEMAS SEMPANG,1,127,47,79,126,1,0
18,203/34/16,BERTIK,DEWAN SERBAGUNA SALCRA SPS BATANG AI,1,127,25,96,121,6,0
19,203/34/17,KRANGAN MONG,TADIKA KEMAS KRANGAN MONG,1,133,25,105,130,3,0
20,203/34/18,ENSAWANG,DEWAN SERBAGUNA SALCRA SKIM BATU KAYA,1,272,54,205,259,13,0
20,203/34/18,ENSAWANG,DEWAN SERBAGUNA SALCRA SKIM BATU KAYA,2,238,82,151,233,5,0
21,203/34/19,KACHONG,SEK. KEB. NG. MENYEBAT,1,180,54,124,178,2,0
22,203/34/20,PATOH,PEJABAT PERTANIAN NG. PATOH,1,128,54,73,127,1,0
23,203/34/21,BILARARAP,SEK. KEB. ULU LEMANAK NG. UYAU,1,145,98,41,139,6,0
24,203/34/22,SEPAYA,SEK. KEB. NG. TIBU,1,292,32,259,291,1,0
25,203/34/23,GUGU,RH. INTANG MENGILING,1,225,53,167,220,5,0
26,203/34/24,NENYANG,SESCO TOWNSHIP HALL,1,58,6,52,58,0,0
JUMLAH,,,,29,6716,1698,4884,6582,116,18
