Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :RICKY @ MOHAMMAD RAZI SITAM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :YAKUP BIN DAUD,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,75,42,0,42,2,31
2,204/35/00,UNDI AWAL,BALAI POLIS DEBAK,1,3,3,0,3,0,0
3,204/35/01,MANGGUT,SEK. KEB. MANGGUT,1,376,326,47,373,3,0
4,204/35/02,TUI,SEK. KEB. TUIE,1,296,210,78,288,8,0
4,204/35/02,TUI,SEK. KEB. TUIE,2,673,271,154,425,2,246
5,204/35/03,DEBAK,SEK. JENIS KEB. CHUNG HUA DEBAK,1,314,214,97,311,3,0
6,204/35/04,BUNGIN,SEK. KEB. BUNGIN,1,304,272,32,304,0,0
6,204/35/04,BUNGIN,SEK. KEB. BUNGIN,2,315,276,35,311,4,0
7,204/35/05,LIKIS,SEK. KEB. ST. CHRISTOPHER DEBAK,1,402,328,73,401,1,0
8,204/35/06,SUPA,SEK. KEB. SUPA,1,298,237,58,295,3,0
8,204/35/06,SUPA,SEK. KEB. SUPA,2,421,324,90,414,7,0
9,204/35/07,ENGKARAS,SEK. KEB. MEDANG,1,224,211,9,220,4,0
10,204/35/08,BUDA,SEK. KEB. BUDA,1,247,166,77,243,4,0
11,204/35/09,SERABANG,SEK. KEB. SERABANG,1,396,343,48,391,5,0
12,204/35/10,BELASAU,SEK. KEB ST. BARNABAS BELASAU,1,77,69,8,77,0,0
13,204/35/11,SABAR,RH. SELINGGAU SABAR,1,103,99,4,103,0,0
14,204/35/12,DIT,SEK. KEB. DIT,1,228,163,61,224,4,0
15,204/35/13,DIT HULU,RH. JIMBAT DIT ULU,1,149,100,46,146,3,0
16,204/35/14,BUNGEI,SEK. KEB. DATUK BANDAR DEBAK,1,300,216,73,289,11,0
16,204/35/14,BUNGEI,SEK. KEB. DATUK BANDAR DEBAK,2,524,389,128,517,7,0
16,204/35/14,BUNGEI,SEK. KEB. DATUK BANDAR DEBAK,3,461,347,104,451,10,0
17,204/35/15,JERAI,RH. MANDAU JERAI,1,98,87,11,98,0,0
18,204/35/16,DEBAK LAUT,DEWAN JKK KPG. DEBAK LAUT,1,318,223,87,310,8,0
18,204/35/16,DEBAK LAUT,DEWAN JKK KPG. DEBAK LAUT,2,309,225,76,301,8,0
19,204/35/17,SEREMBANG,SEK. KEB. SEREMBANG,1,243,205,33,238,5,0
20,204/35/18,TANJONG ASSAM,SEK. KEB. TANJUNG ASSAM,1,280,242,33,275,5,0
21,204/35/19,SEBEMBAN,SEK. KEB. SEBEMBAN,1,224,193,30,223,1,0
22,204/35/20,BELINGAN,SEK. KEB. BALINGAN,1,184,150,30,180,4,0
23,204/35/21,BUDAK,RH. JAMES TUJUH AK PANGGAU BUDAK ILI,1,41,32,9,41,0,0
JUMLAH,,,,29,7883,5963,1531,7494,112,277
