Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :GERALD RENTAP JABU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :VERNON AJI KEDIT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,62,24,3,27,3,32
2,204/36/00,UNDI AWAL,"RUANG A, DEWAN SERBAGUNA IPD BETONG",1,82,78,3,81,1,0
3,204/36/01,SPAK,SEK. KEB. NG. SPAK,1,199,118,75,193,6,0
4,204/36/02,PADEH,SEK. KEB. ST. BARTHOLOMEW NG. GRAJI,1,337,203,118,321,16,0
5,204/36/03,BEBANGGAI,RH. STANI BEBANGGAI KANAN,1,133,85,47,132,1,0
6,204/36/04,BETONG,SEK. JENIS KEB. CHUNG HUA BETONG,1,221,101,118,219,1,1
6,204/36/04,BETONG,SEK. JENIS KEB. CHUNG HUA BETONG,2,386,143,238,381,5,0
6,204/36/04,BETONG,SEK. JENIS KEB. CHUNG HUA BETONG,3,335,111,222,333,2,0
7,204/36/05,KAMPUNG BETONG,SEK. KEB. ABANG ABDUL KADIR,1,281,176,97,273,8,0
7,204/36/05,KAMPUNG BETONG,SEK. KEB. ABANG ABDUL KADIR,2,323,189,129,318,5,0
7,204/36/05,KAMPUNG BETONG,SEK. KEB. ABANG ABDUL KADIR,3,261,156,97,253,8,0
8,204/36/06,LUBAU,RH. UKING BATU LINTANG,1,235,141,90,231,4,0
9,204/36/07,PENYALANEH,SEK. KEB. ST. MARK BATU GENTING,1,156,100,50,150,6,0
10,204/36/08,JELAU,RH. JAWA NG. JELAU,1,77,58,19,77,0,0
10,204/36/08,JELAU,RH. GUMBANG JELAU ATAS,1,55,39,14,53,2,0
11,204/36/09,MELANJAN,RH. DUNGGAT MELANJAN,1,90,80,9,89,1,0
12,204/36/10,TAPEH,RH. AKA NG. TAPEH,1,169,126,43,169,0,0
13,204/36/11,LUING,SEK. KEB. NG. LAWIH,1,186,119,65,184,2,0
14,204/36/12,KRAPA,RH. RINGKAI KERAPA,1,117,91,22,113,4,0
15,204/36/13,TEGUYU,RH. NAING TEGUYU,1,92,70,19,89,3,0
16,204/36/14,PERDU,RH. AMBU LEMPAONG,1,122,26,95,121,1,0
17,204/36/15,DABOK,STESYEN PERTANIAN BERSEPADU LAYAR,1,287,228,54,282,5,0
17,204/36/15,DABOK,STESYEN PERTANIAN BERSEPADU LAYAR,2,327,256,69,325,2,0
18,204/36/16,GAWIS,SEK. KEB. ST. PETER/ ST. PAUL NG. BUAI,1,86,54,31,85,1,0
19,204/36/17,BALINGAM,RH. SANG SG. SIBAU*,1,82,40,42,82,0,0
20,204/36/18,KRON,RH. ACHONG KRON,1,133,73,57,130,3,0
21,204/36/19,PLEPOK,RH. PAGAH PELEPOK,1,41,2,39,41,0,0
21,204/36/19,PLEPOK,RH. EMPENI BUNGKANG,1,28,26,1,27,1,0
22,204/36/20,MERUNJAU,RH. UYOK MERUNJAU,1,88,71,17,88,0,0
23,204/36/21,ENTANAK,RH. RANDI ENTANAK,1,180,98,81,179,1,0
24,204/36/22,SAKA,SEK. KEB. SAKA,1,307,197,103,300,7,0
25,204/36/23,PENURIN,RH. BALING PENURIN,1,125,113,12,125,0,0
26,204/36/24,TANU,RH. LEPOH JUNGKAL,1,201,129,69,198,2,1
27,204/36/25,JUGIR,DEWAN TAN SRI JABU SEK. MEN. KEB. ST. AUGUSTIN BETONG,1,371,205,158,363,8,0
28,204/36/26,PASA,SEK. KEB. NG. PASA,1,181,87,93,180,1,0
29,204/36/27,SELULAP,RH. EDWIN SERIAN ULU,1,116,66,48,114,2,0
30,204/36/28,STAMBAK,RH. RAJIT STAMBAK ULU,1,110,52,56,108,2,0
JUMLAH,,,,37,6582,3931,2503,6434,114,34
