Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :OEL CHANGGAI BUCKING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DOUGLAS UGGAH EMBAS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,56,1,24,25,5,26
2,204/37/00,UNDI AWAL,"RUANG B, DEWAN SERBAGUNA IPD BETONG",1,3,0,3,3,0,0
3,204/37/01,PENUNUS,RH. SAMBANG PENUNUS,1,48,6,42,48,0,0
4,204/37/02,RIMBAS,RH. RENGGI ULU RIMBAS,1,67,6,60,66,1,0
5,204/37/03,SPAOH,SEK. JENIS KEB. CHUNG HUA SPAOH,1,215,23,191,214,1,0
6,204/37/04,SURI,SEK. KEB. SURI,1,231,23,206,229,2,0
7,204/37/05,BUKIT SABAN,RH. MANGGI TANJONG,1,56,7,49,56,0,0
7,204/37/05,BUKIT SABAN,RH. UTEK BELABAK,1,39,12,26,38,1,0
8,204/37/06,KUBAL,RH. JANGGAT SG. LANGIT,1,181,18,162,180,1,0
9,204/37/07,BRUTAN,RH. MINGGAT LUBAN ILI,1,313,72,240,312,1,0
10,204/37/08,BAYOR,RH. TINDIN ULU BAYOR,1,79,5,73,78,1,0
11,204/37/09,ULU TERU,RH. GANYA ULU TERU,1,100,36,62,98,2,0
12,204/37/10,METONG,RH. LUNA MENYALIN,1,110,22,87,109,1,0
13,204/37/11,DELIT,SEK. KEB. NG. GAYAU,1,267,44,216,260,7,0
13,204/37/11,DELIT,RH. DANGGAT BABU TENGAH,1,76,5,70,75,1,0
14,204/37/12,BABU,RH. STANG BABA ULU,1,75,9,65,74,1,0
14,204/37/12,BABU,RH. ACHON NG. TOT,1,21,0,21,21,0,0
15,204/37/13,TRAIE,RH. MICHAEL RAJAU TRAIE,1,111,3,107,110,1,0
16,204/37/14,RAPONG,RH. GALAU RAPONG,1,124,23,100,123,1,0
17,204/37/15,TOT,RH. LAYANG NG. LOP,1,213,32,180,212,1,0
18,204/37/16,SPAOH HULU,SEK. MEN. KEB. SPAOH,1,297,48,232,280,16,1
18,204/37/16,SPAOH HULU,SEK. MEN. KEB. SPAOH,2,354,69,280,349,5,0
18,204/37/16,SPAOH HULU,SEK. MEN. KEB. SPAOH,3,295,60,233,293,2,0
18,204/37/16,SPAOH HULU,SEK. MEN. KEB. SPAOH,4,240,34,198,232,8,0
19,204/37/17,SPAOH HILIR,SEK. KEB. SPAOH,1,300,20,272,292,8,0
19,204/37/17,SPAOH HILIR,SEK. KEB. SPAOH,2,350,65,276,341,9,0
20,204/37/18,BELABAK,RH. JUDIN UDAU,1,61,2,58,60,1,0
21,204/37/19,LINGIT,RH. JANANG LEMPAONG,1,97,1,90,91,6,0
22,204/37/20,PENOM,RH. WILSON PENOM,1,95,0,95,95,0,0
23,204/37/21,MEROH,RH. LEGAM LUBOK KLAMPU,1,102,14,88,102,0,0
24,204/37/22,SEPUNA,RH. GELAYAN NG. BONG,1,105,5,99,104,1,0
25,204/37/23,SAMU,RH. LINGKOI SAMU,1,134,8,124,132,2,0
26,204/37/24,MUTOK,RH. JABU MUTOK,1,123,18,104,122,1,0
27,204/37/25,PENEBAK,SEK. KEB. ST. JOHN NG. TIGA,1,390,80,302,382,8,0
28,204/37/26,BAIR,RH. BANYANG BAIR,1,67,2,65,67,0,0
29,204/37/27,JAMBU,RH. GIRI JAMBU,1,94,17,77,94,0,0
30,204/37/28,TIPUT,RH. BIKAL RABA TIPUT,1,113,23,90,113,0,0
31,204/37/29,PELIKOI,RH. GELAU PELIKOI,1,130,8,118,126,4,0
32,204/37/30,JALOH,RH. KECHENDAI JALOH,1,138,25,113,138,0,0
33,204/37/31,SERUDIT,RH. MARA SERUDIT,1,180,4,174,178,2,0
34,204/37/32,MATOP,RH. DEROM MATOP,1,110,4,105,109,1,0
35,204/37/33,TEBERU,SEK. KEB. PAKU CENTRAL,1,184,34,150,184,0,0
36,204/37/34,REMBAI,RH. EDWARD NGUMBANG BANGKIT REMBAI BARU,1,170,28,136,164,6,0
37,204/37/35,BANGKIT,RH. AJI NG. BANGKIT,1,70,9,61,70,0,0
JUMLAH,,,,44,6584,925,5524,6449,108,27
