Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALI ANAK BIJU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :KILAT BERIAK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,93,12,29,41,0,52
2,205/39/01,MUDONG,RH. AKA KOP IBUS,1,132,94,38,132,0,0
2,205/39/01,MUDONG,SEK. KEB. MUDONG,1,269,188,78,266,3,0
2,205/39/01,MUDONG,SEK. KEB. SUPOK,1,153,96,57,153,0,0
2,205/39/01,MUDONG,RH. DAUD BRATONG,1,134,53,80,133,1,0
3,205/39/02,BRAYANG,SEK. KEB. BRAYANG ROBAN,1,469,283,182,465,4,0
3,205/39/02,BRAYANG,SEK. KEB. LICHOK,1,455,262,191,453,2,0
4,205/39/03,BATU ANAM,SEK. KEB. ULU SEBETAN,1,206,116,90,206,0,0
4,205/39/03,BATU ANAM,SEK. KEB. CENTRAL BATU EMPAT,1,495,292,202,494,1,0
4,205/39/03,BATU ANAM,SEK. KEB. ENGKUDU SARATOK,1,353,195,155,350,3,0
4,205/39/03,BATU ANAM,SEK. KEB. SG. KLAMPAI,1,223,153,69,222,1,0
5,205/39/04,DISO,SEK. KEB. TEMUDOK AWIK,1,180,97,82,179,1,0
5,205/39/04,DISO,SEK. KEB. ST. PETER SARATOK,1,261,139,121,260,1,0
5,205/39/04,DISO,SEK. KEB. ST. PETER SARATOK,2,357,209,144,353,4,0
5,205/39/04,DISO,SEK. KEB. MALONG,1,246,139,106,245,1,0
6,205/39/05,AWIK,SEK. KEB. ULU AWIK,1,117,83,34,117,0,0
6,205/39/05,AWIK,RH. TANGAN ULU RISAU,1,159,107,51,158,1,0
6,205/39/05,AWIK,SEK. KEB. NG. ATOI,1,295,167,128,295,0,0
6,205/39/05,AWIK,RH. RING TEMBAWAI KAPOK,1,192,136,53,189,3,0
6,205/39/05,AWIK,SEK. KEB. LUBOK KEPAYANG,1,226,132,93,225,1,0
6,205/39/05,AWIK,RH. AYOM NG. LUAU,1,100,46,53,99,1,0
7,205/39/06,MELUPA,DEWAN SERBAGUNA ST. JEROME KAKI WONG SARATOK,1,325,180,145,325,0,0
7,205/39/06,MELUPA,RH. MAWAN KAWIT BUNSI SARATOK,1,131,72,58,130,1,0
7,205/39/06,MELUPA,SEK. KEB. NG. ASSAM SARATOK,1,248,121,126,247,1,0
7,205/39/06,MELUPA,SEK. KEB. MENDAS SARATOK,1,274,200,70,270,4,0
8,205/39/07,KABO,SEK. KEB. KABO HILIR SARATOK,1,193,96,96,192,1,0
8,205/39/07,KABO,SEK. KEB. WONG BESI,1,204,119,82,201,3,0
8,205/39/07,KABO,SEK. KEB. PRAJA KABO,1,119,67,50,117,2,0
8,205/39/07,KABO,RH. ILLAI KRANGAN RUSA ILI,1,100,83,15,98,2,0
8,205/39/07,KABO,SEK. KEB. BABANG,1,142,70,72,142,0,0
8,205/39/07,KABO,SEK. KEB. LEMPA,1,222,122,99,221,1,0
8,205/39/07,KABO,SEK. KEB. ULU KABO,1,244,173,69,242,2,0
9,205/39/08,GERENJANG,SEK. KEB. ULU BUDU,1,178,118,54,172,6,0
9,205/39/08,GERENJANG,RH. UDENG ULU BUDU SARATOK,1,98,43,54,97,1,0
9,205/39/08,GERENJANG,SEK. KEB. NG. BUDU,1,156,125,29,154,2,0
9,205/39/08,GERENJANG,"RH. LEMAIE ENGKALA, SARATOK",1,108,53,55,108,0,0
9,205/39/08,GERENJANG,RH. BUNYIH TANJUNG BANGKIT SARATOK,1,148,117,30,147,0,1
9,205/39/08,GERENJANG,RH. SUBING ULU KRIAN,1,86,37,49,86,0,0
9,205/39/08,GERENJANG,RH. JAWI AWAS KRIAN,1,100,31,68,99,1,0
9,205/39/08,GERENJANG,SEK. KEB. NG. GRENJANG,1,207,113,92,205,2,0
9,205/39/08,GERENJANG,RH. ENDIT NG. BATANG,1,98,53,45,98,0,0
10,205/39/09,BAJAU,SEK. KEB. NG. ABU,1,128,56,71,127,1,0
10,205/39/09,BAJAU,RH. NGALONG BAJAU SARATOK,1,149,115,34,149,0,0
11,205/39/10,KRANGAN,SEK. KEB. KLUA SARATOK,1,132,67,65,132,0,0
11,205/39/10,KRANGAN,SEK. KEB. TANDOK KRANGAN SARATOK,1,342,158,184,342,0,0
JUMLAH,,,,45,9247,5388,3748,9136,58,53
