Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SAFIEE BIN HAJI AHMAD,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :IBRAHIM BIN BAYAU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,66,47,1,48,1,17
2,207/43/00,UNDI AWAL,"RUMAH PERKEP, IPD MATU DARO",1,59,56,3,59,0,0
3,207/43/01,SEMAH,RH. NYAIT SG. STUBAH,1,75,68,4,72,3,0
3,207/43/01,SEMAH,SEK. KEB. NG. SEMAH,1,159,145,10,155,4,0
3,207/43/01,SEMAH,SEK. KEB. SEBENA,1,93,87,5,92,1,0
3,207/43/01,SEMAH,SEK. KEB. PENASU,1,270,260,9,269,1,0
4,207/43/02,TEBAANG,SEK. KEB. CAMPURAN DARO,1,237,208,16,224,13,0
4,207/43/02,TEBAANG,SEK. KEB. CAMPURAN DARO,2,302,274,27,301,1,0
4,207/43/02,TEBAANG,SEK. KEB. CAMPURAN DARO,3,279,252,23,275,4,0
4,207/43/02,TEBAANG,SEK. KEB. KPG. TEBAANG,1,436,361,58,419,17,0
5,207/43/03,DARO,SEK. KEB. KPG. NANGAR,1,525,498,15,513,12,0
5,207/43/03,DARO,SEK. KEB. HIJRAH BADONG,1,409,352,48,400,9,0
5,207/43/03,DARO,TADIKA KIE MING DARO,1,231,195,32,227,4,0
5,207/43/03,DARO,TADIKA KIE MING DARO,2,229,198,28,226,3,0
5,207/43/03,DARO,TADIKA KIE MING DARO,3,250,214,28,242,8,0
6,207/43/04,LEMANG PEH,SEK. KEB. ULU DARO,1,499,460,20,480,19,0
6,207/43/04,LEMANG PEH,SEK. KEB. KPG. PANGTRAY DARO,1,364,332,24,356,8,0
7,207/43/05,LASSA,SEK. KEB. SG. LENGAN,1,234,199,33,232,2,0
7,207/43/05,LASSA,SEK. KEB. SG. SINGAT,1,183,148,30,178,5,0
7,207/43/05,LASSA,SEK. KEB. SAWAI,1,158,140,15,155,3,0
7,207/43/05,LASSA,SEK. KEB. SG. PASIN,1,244,211,27,238,6,0
7,207/43/05,LASSA,SEK. KEB. BATANG LASSA,1,192,103,70,173,19,0
8,207/43/06,LEBAAN,SEK. KEB. BUKIT PAPIT,1,240,193,43,236,4,0
JUMLAH,,,,23,5734,5001,569,5570,147,17
