Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HUANG TIONG SII,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :YONG SIEW WEI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG CHIN KING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,137,89,7,5,101,10,26
2,208/45/00,UNDI AWAL,"RUANG A, DEWAN SERBAGUNA IPD SARIKEI",1,181,171,4,0,175,6,0
3,208/45/01,BULAT,SEK. KEB. SELANGAN JLN. KWONG MING SARIKEI,1,296,217,66,4,287,9,0
3,208/45/01,BULAT,SEK. KEB. SELANGAN JLN. KWONG MING SARIKEI,2,315,248,58,1,307,8,0
3,208/45/01,BULAT,SEK. JENIS KEB. SIUNG HUA SG. SEBANYAK SARIKEI,1,352,177,161,12,350,2,0
3,208/45/01,BULAT,SEK. JENIS KEB. BULAT BATU 3 JLN. BULAT SARIKEI,1,254,134,116,3,253,1,0
3,208/45/01,BULAT,SEK. JENIS KEB. BULAT BATU 3 JLN. BULAT SARIKEI,2,417,198,206,8,412,3,2
3,208/45/01,BULAT,SEK. JENIS KEB. BULAT BATU 3 JLN. BULAT SARIKEI,3,390,189,193,5,387,3,0
3,208/45/01,BULAT,SEK. JENIS KEB. BULAT BATU 3 JLN. BULAT SARIKEI,4,388,232,143,5,380,8,0
4,208/45/02,PANTAK,SEK. MEN. KEB. TINGGI SARIKEI,1,226,128,89,5,222,4,0
4,208/45/02,PANTAK,SEK. MEN. KEB. TINGGI SARIKEI,2,425,184,222,17,423,2,0
4,208/45/02,PANTAK,SEK. MEN. KEB. TINGGI SARIKEI,3,416,193,213,9,415,1,0
4,208/45/02,PANTAK,SEK. MEN. KEB. TINGGI SARIKEI,4,359,182,164,11,357,2,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,1,239,110,118,9,237,2,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,2,519,254,250,14,518,1,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,3,490,239,231,19,489,1,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,4,499,256,222,18,496,3,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,5,422,190,215,11,416,6,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,6,397,191,192,13,396,1,0
5,208/45/03,REPOK,SEK. MEN. KEB. BANDAR SARIKEI KM 4 OFF JLN. REPOK SARIKEI,7,380,168,193,17,378,2,0
6,208/45/04,SARIKEI,SEK. MEN. KEB. ST. ANTHONY KM 1 JLN. REPOK SARIKEI,1,203,87,108,7,202,1,0
6,208/45/04,SARIKEI,SEK. MEN. KEB. ST. ANTHONY KM 1 JLN. REPOK SARIKEI,2,416,174,222,16,412,4,0
6,208/45/04,SARIKEI,SEK. MEN. KEB. ST. ANTHONY KM 1 JLN. REPOK SARIKEI,3,429,165,247,15,427,2,0
6,208/45/04,SARIKEI,SEK. MEN. KEB. ST. ANTHONY KM 1 JLN. REPOK SARIKEI,4,368,167,189,11,367,1,0
7,208/45/05,MERUDU,SEK. JENIS KEB. SU LOK JLN. MERUTON-MERUDU SARIKEI,1,264,156,99,7,262,2,0
7,208/45/05,MERUDU,SEK. JENIS KEB. SU LOK JLN. MERUTON-MERUDU SARIKEI,2,280,151,118,4,273,7,0
7,208/45/05,MERUDU,SEK. JENIS KEB. SU LOK JLN. MERUTON-MERUDU SARIKEI,3,251,151,93,2,246,5,0
7,208/45/05,MERUDU,SEK. JENIS KEB. SU LEE SG. BAJI SARIKEI,1,364,225,130,8,363,1,0
8,208/45/06,PENINJAU,SEK. JENIS KEB. SZE LU KM 10 JLN. REPOK SARIKEI,1,344,147,180,13,340,4,0
8,208/45/06,PENINJAU,SEK. JENIS KEB. TIONG HO JLN. KIM SAN SARIKEI,1,284,92,184,4,280,4,0
8,208/45/06,PENINJAU,SEK. JENIS KEB. TIONG HO JLN. KIM SAN SARIKEI,2,250,103,132,2,237,13,0
9,208/45/07,PAOH,SEK. MEN. KEB. SG. PAOH SARIKEI,1,459,380,65,7,452,7,0
9,208/45/07,PAOH,SEK. JENIS KEB. ST. MARTIN SG. JAKAR SARIKEI,1,287,201,80,4,285,2,0
9,208/45/07,PAOH,SEK. JENIS KEB. ST. MARTIN SG. JAKAR SARIKEI,2,321,223,89,4,316,5,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,1,232,127,96,9,232,0,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,2,431,198,211,17,426,5,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,3,425,186,232,6,424,1,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,4,412,181,220,11,412,0,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,5,387,149,224,11,384,3,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,6,354,148,193,12,353,1,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,7,325,143,169,13,325,0,0
10,208/45/08,NYELONG PARK,SEK. KEB. ST. ANNE KM 1 JLN. REPOK SARIKEI,8,315,142,159,12,313,2,0
JUMLAH,,,,42,14503,7446,6503,381,14330,145,28
