Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DING KUONG HIING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :TING TZE FUI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,133,79,13,92,8,33
2,208/46/00,UNDI AWAL,"PEJABAT AM, IPD MERADONG",1,65,64,1,65,0,0
3,208/46/01,NARASIT,SEK. JENIS KEB. NANG HUA NARASIT,1,434,188,238,426,7,1
4,208/46/02,TULAI,SEK. KEB. TULAI,1,301,226,66,292,9,0
4,208/46/02,TULAI,SEK. JENIS KEB. TONG HUA TULAI,1,400,154,244,398,2,0
5,208/46/03,KERTONG,SEK. KEB. SG. KAWI,1,419,321,97,418,1,0
5,208/46/03,KERTONG,SEK. JENIS KEB. KUNG CHENG MADOR,1,188,104,81,185,3,0
5,208/46/03,KERTONG,SEK. JENIS KEB. YONG KWONG JLN. PARADOM MERADONG,1,440,120,318,438,2,0
6,208/46/04,KELUPU,SEK. KEB. SG. GEMUAN JLN. KELUPU,1,383,332,41,373,10,0
6,208/46/04,KELUPU,SEK. JENIS KEB. NAN CHIEW JLN. MERADONG,1,299,202,90,292,7,0
6,208/46/04,KELUPU,SEK. JENIS KEB. MING TEE BATU 3 JLN. KELUPU,1,249,111,136,247,2,0
6,208/46/04,KELUPU,SEK. JENIS KEB. MING TEE BATU 3 JLN. KELUPU,2,266,131,135,266,0,0
6,208/46/04,KELUPU,SEK. JENIS KEB. MING TEE BATU 3 JLN. KELUPU,3,233,135,96,231,2,0
7,208/46/05,BANDAR,SEK. JENIS KEB. KAI CHUNG BINTANGOR,1,238,100,137,237,1,0
7,208/46/05,BANDAR,SEK. JENIS KEB. KAI CHUNG BINTANGOR,2,252,100,152,252,0,0
7,208/46/05,BANDAR,SEK. JENIS KEB. KAI CHUNG BINTANGOR,3,241,104,137,241,0,0
7,208/46/05,BANDAR,SEK. MEN. KEB. KAI CHUNG BINTANGOR,1,231,77,154,231,0,0
7,208/46/05,BANDAR,SEK. MEN. KEB. KAI CHUNG BINTANGOR,2,419,148,268,416,3,0
7,208/46/05,BANDAR,SEK. MEN. KEB. KAI CHUNG BINTANGOR,3,365,122,240,362,3,0
7,208/46/05,BANDAR,SEK. KEB. BANDAR BINTANGOR,1,239,116,123,239,0,0
8,208/46/06,MERADONG,SEK. JENIS KEB. MING CHIANG SG. MERADONG,1,394,317,68,385,9,0
9,208/46/07,KEMANTAN,SEK. JENIS KEB. MING LU,1,400,122,272,394,6,0
9,208/46/07,KEMANTAN,SEK. JENIS KEB. TUNG KWONG SG. PADI,1,213,97,115,212,1,0
10,208/46/08,MADOR,SEK. JENIS KEB. SG. MADOR BATU 8 KJD ROAD,1,364,245,115,360,4,0
10,208/46/08,MADOR,TADIKA KEMAS SG. RAYAH,1,398,274,116,390,8,0
10,208/46/08,MADOR,SEK. JENIS KEB. KAI SING SG. LABAS,1,221,102,119,221,0,0
11,208/46/09,LEMAYONG,SEK. KEB. ULU BINATANG BATU 4 KJD ROAD,1,492,273,202,475,17,0
11,208/46/09,LEMAYONG,SEK. KEB. ULU STRASS BATU 4 PAKAN ROAD,1,322,163,153,316,6,0
11,208/46/09,LEMAYONG,SEK. KEB. NG. STRASS BATU 2 KJD ROAD,1,270,156,111,267,3,0
11,208/46/09,LEMAYONG,SEK. KEB. NG. STRASS BATU 2 KJD ROAD,2,466,289,173,462,4,0
11,208/46/09,LEMAYONG,SEK. JENIS KEB. MIN DAIK BATU 8 1/2 JLN. KELUPU,1,438,177,259,436,2,0
12,208/46/10,SELEMAS,BALAI RAYA KPG. SELEMAS,1,150,136,5,141,9,0
12,208/46/10,SELEMAS,TADIKA METHODIST BINTANGOR TOWN,1,49,8,41,49,0,0
13,208/46/11,SELIDAP,RH. REGINA SG. SELIDAP,1,98,83,15,98,0,0
13,208/46/11,SELIDAP,SEK. KEB. TANAH PUTEH,1,182,152,27,179,3,0
13,208/46/11,SELIDAP,SEK. JENIS KEB. SU TAK SELIDAP,1,225,124,98,222,3,0
13,208/46/11,SELIDAP,SEK. JENIS KEB. SU MING,1,168,66,100,166,2,0
14,208/46/12,NYELONG,SEK. KEB. SG. PETAI,1,231,164,61,225,6,0
14,208/46/12,NYELONG,SEK. KEB. SG. PETAI,2,224,162,61,223,1,0
14,208/46/12,NYELONG,SEK. KEB. RENTAP BARON,1,143,109,32,141,2,0
14,208/46/12,NYELONG,SEK. JENIS KEB. HUA KEE KESA,1,228,88,137,225,3,0
14,208/46/12,NYELONG,SEK. JENIS KEB. NAM KIEW SG. KEDUP,1,356,138,217,355,1,0
14,208/46/12,NYELONG,SEK. KEB. BUKIT NIBONG,1,586,486,85,571,15,0
JUMLAH,,,,43,12413,6865,5349,12214,165,34
