Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WILLIAM MAWAN IKOM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JAWIE ANAK JINGOT@JENGGOT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :RINDA ALEXANDER,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,86,42,28,0,70,8,8
2,209/47/01,BAYONG,SEK. KEB. BALONG SG. RIAN,1,252,121,116,14,251,1,0
2,209/47/01,BAYONG,SEK. KEB. UDIN NG. BAYONG,1,314,158,119,33,310,4,0
2,209/47/01,BAYONG,RH. ANDREW MANGKA SG. RIBONG,1,119,55,49,7,111,8,0
2,209/47/01,BAYONG,RH. TIRAI SEBANGKOI,1,166,77,83,6,166,0,0
3,209/47/02,SUNGAI RUSA,SEK. KEB. ANDING SG. RUSA,1,390,173,154,57,384,6,0
3,209/47/02,SUNGAI RUSA,SEK. JENIS KEB. SU DOK,1,53,28,16,7,51,2,0
4,209/47/03,BABAI,RH. BUDUM NG. TUBAI BUAH,1,259,175,71,8,254,5,0
4,209/47/03,BABAI,SEK. KEB. ULU PEDANUM,1,337,185,142,6,333,4,0
4,209/47/03,BABAI,SEK. KEB. NG. BUKU,1,247,105,136,4,245,2,0
4,209/47/03,BABAI,SEK. KEB. BABAI,1,289,139,136,7,282,7,0
4,209/47/03,BABAI,SEK. KEB. BABAI,2,462,231,211,10,452,10,0
5,209/47/04,LAMUJAN,SEK. KEB. NG. PAKAN,1,260,130,113,7,250,10,0
5,209/47/04,LAMUJAN,SEK. KEB. NG. PAKAN,2,441,221,199,15,435,6,0
5,209/47/04,LAMUJAN,SEK. KEB. NG. PAKAN,3,415,200,203,9,412,3,0
5,209/47/04,LAMUJAN,SEK. KEB. NG. PAKAN,4,361,181,169,9,359,2,0
5,209/47/04,LAMUJAN,SEK. KEB. NG. PAKAN,5,345,197,122,19,338,7,0
5,209/47/04,LAMUJAN,SEK. KEB. ULU MANDING,1,272,123,139,7,269,3,0
5,209/47/04,LAMUJAN,SEK. KEB. SG. SUGAI,1,302,159,133,5,297,5,0
5,209/47/04,LAMUJAN,SEK. KEB. SG. SUGAI,2,393,212,166,10,388,5,0
6,209/47/05,WUAK,RH. JULIUS DUAT MAUR @ JULIUS EDWARD,1,149,99,47,2,148,1,0
6,209/47/05,WUAK,SEK. KEB. NG. KEDUP,1,317,140,160,8,308,9,0
6,209/47/05,WUAK,RH. MANDAU SG. MARAM PAKAN,1,83,45,36,2,83,0,0
6,209/47/05,WUAK,SEK. KEB. NG. WUAK,1,547,303,234,6,543,4,0
7,209/47/06,DAYU,SEK. KEB. NG. KOTA,1,292,109,181,1,291,1,0
7,209/47/06,DAYU,SEK. KEB. NG. DAYU,1,299,140,153,1,294,5,0
7,209/47/06,DAYU,SEK. KEB. NG. KARA,1,164,63,97,2,162,2,0
7,209/47/06,DAYU,SEK. KEB. NG. SEMBAWANG,1,111,63,44,2,109,2,0
7,209/47/06,DAYU,RH. KO AK CHANGGAN SG. BALONG,1,268,125,116,21,262,6,0
JUMLAH,,,,29,7993,3999,3573,285,7857,128,8
