Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JERRY CLEMENT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SEMANA ANAK SAWANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ROLLAND DUAT ANAK JUBIN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ELLY LAWAI ANAK NGALAI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,130,1,13,75,15,104,4,22
2,209/48/00,UNDI AWAL,"PEJABAT CAWANGAN INTEGRITI DAN PEMATUHAN STANDARD, IPD JULAU",1,49,4,2,42,1,49,0,0
3,209/48/01,BALUT,SEK. KEB. NG. LASI,1,272,7,20,29,206,262,10,0
3,209/48/01,BALUT,SEK. KEB. NG. LASI,2,290,11,29,26,222,288,2,0
3,209/48/01,BALUT,SEK. KEB. NG. LASI,3,228,13,16,38,153,220,8,0
3,209/48/01,BALUT,SEK. KEB. NG. SERAU,1,284,5,13,55,205,278,6,0
4,209/48/02,JULAU,RH. KAPOL NG. BUA,1,205,29,12,71,90,202,3,0
4,209/48/02,JULAU,SEK. KEB. YUK KUNG,1,232,31,38,81,78,228,4,0
4,209/48/02,JULAU,SEK. KEB. YUK KUNG,2,381,40,63,136,139,378,3,0
4,209/48/02,JULAU,SEK. KEB. YUK KUNG,3,309,36,58,104,108,306,3,0
4,209/48/02,JULAU,SEK. KEB. YUK KUNG,4,257,36,56,103,60,255,2,0
5,209/48/03,RAYAH,BALAI RAYA RH. LIDOH,1,448,111,85,133,111,440,8,0
5,209/48/03,RAYAH,SEK. KEB. ST. ALPHONSUS,1,377,84,49,157,81,371,6,0
6,209/48/04,MELUAN,SEK. KEB. NG. KELANGAS,1,159,16,67,43,30,156,3,0
6,209/48/04,MELUAN,SEK. KEB. SG. MERURUN,1,248,30,46,91,78,245,3,0
6,209/48/04,MELUAN,TADIKA KEMAS NG. BILAT/LIJAN,1,281,43,80,108,48,279,2,0
6,209/48/04,MELUAN,TADIKA KEMAS NG. BILAT/LIJAN,2,254,44,69,87,45,245,9,0
6,209/48/04,MELUAN,SEK. KEB. NG. MELUAN,1,361,24,160,115,59,358,3,0
7,209/48/05,ENGKAMUP,SEK. KEB. NG. SENGAIH,1,196,10,41,93,49,193,3,0
7,209/48/05,ENGKAMUP,SEK. KEB. NG. SENGAIH,2,230,9,55,110,53,227,3,0
7,209/48/05,ENGKAMUP,SEK. KEB. NG. ENGKAMOP,1,263,42,20,103,92,257,6,0
7,209/48/05,ENGKAMUP,SEK. KEB. NG. ENGKAMOP,2,380,61,34,124,157,376,4,0
8,209/48/06,ENTABAI,SEK. KEB. NG. ENTAIH,1,202,32,31,98,40,201,1,0
8,209/48/06,ENTABAI,SEK. KEB. NG. ENTAIH,2,307,51,53,137,57,298,9,0
8,209/48/06,ENTABAI,SEK. KEB. ULU ENTABAI,1,273,24,16,180,50,270,3,0
8,209/48/06,ENTABAI,SEK. KEB. ULU ENTABAI,2,296,36,12,203,43,294,2,0
8,209/48/06,ENTABAI,SEK. KEB. ULU ENTAIH ENTABAI,1,221,28,62,71,58,219,2,0
9,209/48/07,BEKETAN,SEK. KEB. NG. JAMBU,1,322,30,115,123,53,321,1,0
9,209/48/07,BEKETAN,SEK. KEB. NG. ENSIRING,1,248,11,175,46,15,247,1,0
9,209/48/07,BEKETAN,SEK. KEB. TAPANG PUNGGU,1,195,3,108,58,22,191,4,0
9,209/48/07,BEKETAN,SEK. KEB. NG. JU ULU MUJOK,1,166,10,33,113,8,164,2,0
9,209/48/07,BEKETAN,SEK. KEB. NG. MAONG,1,317,4,82,76,152,314,3,0
9,209/48/07,BEKETAN,SEK. KEB. LUBOK ASSAM,1,190,11,69,85,24,189,1,0
9,209/48/07,BEKETAN,SEK. KEB. NG. ENTABAI,1,280,1,97,136,44,278,2,0
9,209/48/07,BEKETAN,SEK. KEB. NG. ENTABAI,2,289,6,129,113,40,288,1,0
JUMLAH,,,,35,9140,934,2008,3363,2686,8991,127,22
