Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALEXANDER ANAK VINCENT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR JOSEPH JAWA ANAK KENDAWANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :RICHARD ANAK LIAS,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :THOMAS LAJA ANAK BESI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,73,46,4,1,2,53,0,20
2,210/49/01,KAJAH,SEK. KEB. NG. JAGAU,1,236,144,49,4,34,231,5,0
2,210/49/01,KAJAH,SEK. KEB. NG. JAGAU,2,230,110,76,7,36,229,1,0
3,210/49/02,BAT,SEK. KEB. NG. NIROK,1,311,77,128,9,94,308,3,0
3,210/49/02,BAT,PEJABAT PERTANIAN NG. NGEMAH,1,163,54,92,10,2,158,5,0
3,210/49/02,BAT,SEK. KEB. NG. NGUNGUN,1,260,123,92,2,37,254,6,0
3,210/49/02,BAT,SEK. KEB. NG. NGUNGUN,2,367,149,162,4,43,358,9,0
3,210/49/02,BAT,SEK. KEB. NG. NGUNGUN,3,266,114,103,6,32,255,10,1
4,210/49/03,SENGAYAN,SEK. KEB. NG. NGEMAH,1,91,30,55,3,3,91,0,0
4,210/49/03,SENGAYAN,SEK. KEB. RANTAU DILANG,1,389,235,134,9,7,385,4,0
4,210/49/03,SENGAYAN,SEK. KEB. NG. SENGAYAN,1,192,89,71,18,9,187,5,0
4,210/49/03,SENGAYAN,SEK. KEB. NG. DAP,1,251,114,86,34,9,243,8,0
4,210/49/03,SENGAYAN,SEK. KEB. NG. DAP,2,331,97,162,42,26,327,4,0
5,210/49/04,MAPAI,SEK. KEB. BALINGIAU,1,405,150,240,5,3,398,7,0
5,210/49/04,MAPAI,SEK. KEB. NG. TADA,1,292,154,122,8,4,288,4,0
5,210/49/04,MAPAI,SEK. KEB. NG. TADA,2,319,157,142,13,5,317,2,0
5,210/49/04,MAPAI,SEK. KEB. NG. TADA,3,281,122,141,7,4,274,7,0
6,210/49/05,BAWAN,SEK. KEB. ULU BAWAN,1,293,80,199,5,5,289,4,0
6,210/49/05,BAWAN,SEK. KEB. ULU BAWAN,2,263,59,198,1,2,260,3,0
6,210/49/05,BAWAN,SEK. KEB. SG. TUAH,1,266,122,134,6,4,266,0,0
6,210/49/05,BAWAN,RH. STEPHEN CHENDANG,1,232,129,87,1,4,221,11,0
7,210/49/06,PIDAI,SEK. KEB. NG. PIDAI,1,303,165,105,19,12,301,2,0
7,210/49/06,PIDAI,SEK. KEB. NG. PIDAI,2,313,186,104,12,4,306,7,0
7,210/49/06,PIDAI,SEK. KEB. NG. JIH,1,210,142,35,12,14,203,7,0
7,210/49/06,PIDAI,SEK. JENIS KEB. SING SHING,1,59,40,13,5,1,59,0,0
JUMLAH,,,,25,6396,2888,2734,243,396,6261,114,21
