Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MOH HIONG KING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CHIENG BUONG TOON,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :IRENE CHANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,287,0,189,24,213,37,37
2,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,1,174,3,66,101,170,4,0
2,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,2,389,6,155,209,370,19,0
2,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,3,387,4,145,233,382,5,0
2,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,4,404,8,121,273,402,2,0
2,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,5,386,8,95,281,384,2,0
2,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,6,367,13,82,270,365,2,0
3,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,1,195,6,88,98,192,3,0
3,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,2,440,5,159,273,437,3,0
3,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,3,417,9,133,273,415,2,0
3,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,4,386,8,107,269,384,2,0
3,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,5,397,6,99,290,395,2,0
4,211/51/03,KELADI,SEK. JENIS KEB. HANG KWONG,1,105,1,44,59,104,1,0
4,211/51/03,KELADI,SEK. KEB. NG. SALIM,1,213,4,188,14,206,7,0
