Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :TIONG THAI KING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO' SRI DR. BENNY LEE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :TING YIIK HONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CASPER KAYONG ANAK UMPING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :YAP HOI LIONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,376,298,14,0,0,9,321,17,38
2,211/52/00,UNDI AWAL,"DEWAN SERBAGUNA BATALION 10 JALAN UPPER LANANG, SIBU",1,461,445,2,0,6,3,456,5,0
2,211/52/00,UNDI AWAL,"RUANG A, WISMA PENGAMAN IPD SIBU",1,28,27,1,0,0,0,28,0,0
3,211/52/01,ASSAN,SEK. KEB. BATU WONG,1,279,120,136,3,4,9,272,7,0
3,211/52/01,ASSAN,SEK. KEB. BATU WONG,2,342,133,167,2,6,29,337,5,0
3,211/52/01,ASSAN,SEK. KEB. NG. ASSAN,1,297,125,142,4,0,22,293,4,0
3,211/52/01,ASSAN,SEK. KEB. NG. ASSAN,2,433,218,175,0,2,34,429,4,0
3,211/52/01,ASSAN,SEK. KEB. TANJONG LATAP,1,275,151,92,0,1,22,266,9,0
3,211/52/01,ASSAN,SEK. JENIS KEB. SING MING KERTO,1,394,241,36,1,1,110,389,5,0
4,211/52/02,NAMAN,SEK. KEB. SG. NAMAN,1,302,121,148,0,15,15,299,3,0
4,211/52/02,NAMAN,SEK. KEB. ULU SG. NAMAN,1,447,155,212,1,12,64,444,3,0
4,211/52/02,NAMAN,SEK. KEB. ULU DURIN KIBA,1,322,184,108,0,4,21,317,5,0
5,211/52/03,PAK,SEK. KEB. SG. DURIN,1,292,125,121,0,11,31,288,4,0
5,211/52/03,PAK,SEK. KEB. SG. DURIN,2,416,156,194,2,11,49,412,4,0
5,211/52/03,PAK,SEK. JENIS KEB. HING UNG DURIN,1,392,196,18,2,0,172,388,4,0
5,211/52/03,PAK,SEK. KEB. NG. PAK,1,239,105,65,0,3,63,236,3,0
5,211/52/03,PAK,SEK. KEB. SG. NIBONG,1,495,225,108,0,4,147,484,8,3
6,211/52/04,DUDONG,SEK. JENIS KEB. YONG SHING STABAU,1,410,169,71,2,2,160,404,6,0
6,211/52/04,DUDONG,SEK. JENIS KEB. KWONG KOK SALIM,1,277,107,46,2,4,112,271,6,0
6,211/52/04,DUDONG,SEK. JENIS KEB. KWONG KOK SALIM,2,365,144,95,2,6,114,361,4,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,1,245,108,6,1,0,128,243,2,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,2,454,184,17,1,0,246,448,6,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,3,466,144,6,8,1,305,464,2,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,4,420,143,9,4,1,261,418,2,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,5,406,121,14,7,1,262,405,1,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,6,382,101,15,5,1,259,381,1,0
7,211/52/05,SALIM,SEK. MEN. KEB. BUKIT LIMA LORONG KENARI SELATAN,7,364,93,13,2,0,255,363,1,0
8,211/52/06,LANANG,SEK. MEN. KEB. CHUNG HUA JLN. UPPER LANANG,1,174,68,3,3,0,97,171,3,0
8,211/52/06,LANANG,SEK. MEN. KEB. CHUNG HUA JLN. UPPER LANANG,2,411,156,8,3,0,237,404,6,1
8,211/52/06,LANANG,SEK. MEN. KEB. CHUNG HUA JLN. UPPER LANANG,3,410,167,8,5,0,229,409,1,0
8,211/52/06,LANANG,SEK. MEN. KEB. CHUNG HUA JLN. UPPER LANANG,4,377,145,12,3,0,216,376,1,0
9,211/52/07,AIK DEE,SEK. KEB. PERBANDARAN SIBU NO. 2 UBAH LANE,1,242,94,7,3,0,138,242,0,0
9,211/52/07,AIK DEE,SEK. KEB. PERBANDARAN SIBU NO. 2 UBAH LANE,2,418,158,5,2,1,246,412,6,0
9,211/52/07,AIK DEE,SEK. KEB. PERBANDARAN SIBU NO. 2 UBAH LANE,3,444,160,8,6,0,269,443,1,0
9,211/52/07,AIK DEE,SEK. KEB. PERBANDARAN SIBU NO. 2 UBAH LANE,4,422,137,9,3,0,273,422,0,0
9,211/52/07,AIK DEE,SEK. KEB. PERBANDARAN SIBU NO. 2 UBAH LANE,5,384,105,5,3,0,269,382,2,0
10,211/52/08,MENYAN,SEK. KEB. SG. MENYAN,1,535,209,230,3,23,63,528,7,0
10,211/52/08,MENYAN,SEK. KEB. ULU SG. SENGAN,1,366,150,146,3,15,51,365,1,0
10,211/52/08,MENYAN,SEK. JENIS KEB. SANG MING BATU 16 JLN. OYA,1,459,252,152,8,8,32,452,7,0
11,211/52/09,SIBU JAYA,SEK. KEB. ULU SG. SALIM,1,299,132,116,2,11,31,292,7,0
11,211/52/09,SIBU JAYA,SEK. KEB. ULU SG. SALIM,2,334,179,111,1,12,24,327,7,0
11,211/52/09,SIBU JAYA,SEK. JENIS KEB. THIAN HUA SIBU JAYA,1,277,178,30,2,4,47,261,16,0
11,211/52/09,SIBU JAYA,SEK. JENIS KEB. THIAN HUA SIBU JAYA,2,531,361,75,2,15,74,527,4,0
11,211/52/09,SIBU JAYA,SEK. JENIS KEB. THIAN HUA SIBU JAYA,3,467,301,61,2,12,88,464,3,0
11,211/52/09,SIBU JAYA,SEK. JENIS KEB. THIAN HUA SIBU JAYA,4,427,253,62,3,4,101,423,4,0
11,211/52/09,SIBU JAYA,SEK. JENIS KEB. THIAN HUA SIBU JAYA,5,370,229,52,1,7,79,368,2,0
12,211/52/10,LADA,SEK. JENIS KEB. THAI KWANG JLN. UPPER LANANG,1,284,148,11,1,1,121,282,2,0
12,211/52/10,LADA,SEK. JENIS KEB. THAI KWANG JLN. UPPER LANANG,2,447,173,21,8,3,240,445,2,0
12,211/52/10,LADA,SEK. JENIS KEB. THAI KWANG JLN. UPPER LANANG,3,428,183,16,4,4,220,427,1,0
12,211/52/10,LADA,SEK. JENIS KEB. THAI KWANG JLN. UPPER LANANG,4,366,148,8,4,3,203,366,0,0
12,211/52/10,LADA,SEK. JENIS KEB. THAI KWANG JLN. UPPER LANANG,5,354,123,8,2,0,218,351,3,0
13,211/52/11,USAHA JAYA,SEK. KEB. SENTOSA JLN. SENTOSA TIMUR SALIM,1,278,221,24,4,6,20,275,3,0
13,211/52/11,USAHA JAYA,SEK. KEB. SENTOSA JLN. SENTOSA TIMUR SALIM,2,285,223,30,0,1,30,284,1,0
14,211/52/12,MANTIS,SEK. KEB. SEDC JLN. MANTIS,1,242,107,11,3,0,119,240,2,0
14,211/52/12,MANTIS,SEK. KEB. SEDC JLN. MANTIS,2,426,203,7,3,1,209,423,3,0
14,211/52/12,MANTIS,SEK. KEB. SEDC JLN. MANTIS,3,424,168,13,5,1,236,423,1,0
14,211/52/12,MANTIS,SEK. KEB. SEDC JLN. MANTIS,4,390,129,5,7,0,248,389,1,0
14,211/52/12,MANTIS,SEK. KEB. SEDC JLN. MANTIS,5,333,101,3,4,0,224,332,1,0
JUMLAH,,,,58,21183,9700,3288,152,228,7554,20922,219,42
