Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LAU UNG HIE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PRISCILLA LAU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DAVID WONG KEE WOAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,412,307,2,19,328,25,59
2,212/54/00,UNDI AWAL,"RUANG C, WISMA PENGAMAN, IPD SIBU",1,531,497,6,18,521,10,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,1,232,112,5,114,231,1,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,2,426,176,12,237,425,1,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,3,421,161,15,245,421,0,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,4,390,152,11,225,388,2,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,5,397,138,13,245,396,1,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,6,377,123,8,243,374,3,0
3,212/54/01,RAJANG PARK,TADIKA TAMAN RAJANG,7,365,116,15,229,360,5,0
4,212/54/02,PELAWAN,SEK. JENIS KEB. ( C ) TUNG HUA JLN. TUN OPENG SIBU,1,241,111,7,122,240,1,0
4,212/54/02,PELAWAN,SEK. JENIS KEB. ( C ) TUNG HUA JLN. TUN OPENG SIBU,2,467,182,19,265,466,1,0
4,212/54/02,PELAWAN,SEK. JENIS KEB. ( C ) TUNG HUA JLN. TUN OPENG SIBU,3,425,147,23,253,423,2,0
4,212/54/02,PELAWAN,SEK. JENIS KEB. ( C ) TUNG HUA JLN. TUN OPENG SIBU,4,409,125,11,272,408,1,0
4,212/54/02,PELAWAN,SEK. JENIS KEB. ( C ) TUNG HUA JLN. TUN OPENG SIBU,5,391,83,13,295,391,0,0
5,212/54/03,SUNGAI MERAH,SEK. MEN. KEB. TIONG HIN SG. MERAH,1,221,107,6,101,214,7,0
5,212/54/03,SUNGAI MERAH,SEK. MEN. KEB. TIONG HIN SG. MERAH,2,511,244,10,256,510,1,0
5,212/54/03,SUNGAI MERAH,SEK. MEN. KEB. TIONG HIN SG. MERAH,3,464,181,13,267,461,3,0
5,212/54/03,SUNGAI MERAH,SEK. MEN. KEB. TIONG HIN SG. MERAH,4,477,184,7,283,474,3,0
5,212/54/03,SUNGAI MERAH,SEK. MEN. KEB. TIONG HIN SG. MERAH,5,452,176,7,267,450,2,0
5,212/54/03,SUNGAI MERAH,SEK. MEN. KEB. TIONG HIN SG. MERAH,6,440,139,11,288,438,2,0
6,212/54/04,DISA,"SEK. JENIS KEB. ( C ) TIONG HIN, SG. MERAH",1,242,111,5,125,241,1,0
6,212/54/04,DISA,"SEK. JENIS KEB. ( C ) TIONG HIN, SG. MERAH",2,307,105,6,195,306,1,0
7,212/54/05,SUNGAI ANTU,"SEK. MEN. TEKNIK SIBU, JLN. DESHON",1,266,127,6,130,263,3,0
7,212/54/05,SUNGAI ANTU,"SEK. MEN. TEKNIK SIBU, JLN. DESHON",2,466,183,14,267,464,2,0
7,212/54/05,SUNGAI ANTU,"SEK. MEN. TEKNIK SIBU, JLN. DESHON",3,438,140,18,279,437,1,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,1,267,131,7,124,262,5,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,2,486,183,11,289,483,3,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,3,482,176,14,289,479,3,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,4,477,158,9,306,473,4,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,5,437,136,10,285,431,6,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,6,429,151,18,258,427,2,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,7,432,117,18,294,429,3,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,8,415,130,7,272,409,6,0
8,212/54/06,GAMBIR,SEK. JENIS KEB. (C) GUONG ANN,9,391,105,13,270,388,3,0
9,212/54/07,CAMAR,SEK. JENIS KEB. (C) SU LAI,1,256,86,5,165,256,0,0
9,212/54/07,CAMAR,SEK. JENIS KEB. (C) SU LAI,2,321,104,6,208,318,3,0
9,212/54/07,CAMAR,SEK. JENIS KEB. (C) SU LAI,3,301,66,3,230,299,2,0
10,212/54/08,MERDEKA,SEK. JENIS KEB. TAMAN RAJANG,1,246,115,8,123,246,0,0
10,212/54/08,MERDEKA,SEK. JENIS KEB. TAMAN RAJANG,2,463,163,11,286,460,3,0
10,212/54/08,MERDEKA,SEK. JENIS KEB. TAMAN RAJANG,3,452,166,13,270,449,3,0
10,212/54/08,MERDEKA,SEK. JENIS KEB. TAMAN RAJANG,4,412,117,9,284,410,2,0
10,212/54/08,MERDEKA,SEK. JENIS KEB. TAMAN RAJANG,5,405,103,12,289,404,1,0
10,212/54/08,MERDEKA,SEK. JENIS KEB. TAMAN RAJANG,6,412,118,15,276,409,3,0
11,212/54/09,OYA LANE,SEK. MEN. KEB. DESHON JLN. SENA,1,227,84,4,137,225,2,0
11,212/54/09,OYA LANE,SEK. MEN. KEB. DESHON JLN. SENA,2,489,193,9,286,488,1,0
11,212/54/09,OYA LANE,SEK. MEN. KEB. DESHON JLN. SENA,3,481,160,8,311,479,2,0
11,212/54/09,OYA LANE,SEK. MEN. KEB. DESHON JLN. SENA,4,477,133,10,332,475,2,0
11,212/54/09,OYA LANE,SEK. MEN. KEB. DESHON JLN. SENA,5,425,105,11,308,424,1,0
12,212/54/10,INDAH,"SEK. MEN. KEB. AGAMA SIBU, JLN. TENG CHIN HUA, SG. MERAH",1,259,140,6,107,253,6,0
12,212/54/10,INDAH,"SEK. MEN. KEB. AGAMA SIBU, JLN. TENG CHIN HUA, SG. MERAH",2,459,237,14,208,459,0,0
12,212/54/10,INDAH,"SEK. MEN. KEB. AGAMA SIBU, JLN. TENG CHIN HUA, SG. MERAH",3,423,186,10,220,416,7,0
12,212/54/10,INDAH,"SEK. MEN. KEB. AGAMA SIBU, JLN. TENG CHIN HUA, SG. MERAH",4,393,133,12,248,393,0,0
13,212/54/11,NIBONG,SEK. MEN. KEB. KPG. NANGKA JLN. TUN OPENG,1,231,112,4,109,225,6,0
13,212/54/11,NIBONG,SEK. MEN. KEB. KPG. NANGKA JLN. TUN OPENG,2,378,185,12,178,375,3,0
13,212/54/11,NIBONG,SEK. MEN. KEB. KPG. NANGKA JLN. TUN OPENG,3,402,172,13,212,397,5,0
13,212/54/11,NIBONG,SEK. MEN. KEB. KPG. NANGKA JLN. TUN OPENG,4,401,171,12,214,397,4,0
13,212/54/11,NIBONG,SEK. MEN. KEB. KPG. NANGKA JLN. TUN OPENG,5,366,150,12,203,365,1,0
13,212/54/11,NIBONG,SEK. MEN. KEB. KPG. NANGKA JLN. TUN OPENG,6,365,129,8,225,362,3,0
JUMLAH,,,,58,22628,8742,597,13056,22395,174,59
