Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR. ANNUAR RAPA'EE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :TIONG ING TUNG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDUL RAAFIDIN BIN MAJIDI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,426,355,1,9,365,24,37
2,212/55/00,UNDI AWAL,DEWAN KEM RASCOM SIBU,1,532,476,4,39,519,13,0
2,212/55/00,UNDI AWAL,DEWAN KEM RASCOM SIBU,2,545,479,7,43,529,16,0
2,212/55/00,UNDI AWAL,DEWAN KEM RASCOM SIBU,3,427,382,4,32,418,9,0
2,212/55/00,UNDI AWAL,DEWAN KEM OYA SIBU,1,409,372,8,24,404,5,0
2,212/55/00,UNDI AWAL,DEWAN KEM OYA SIBU,2,339,300,3,17,320,19,0
3,212/55/01,BANDONG,"SEK. PENDIDIKAN KHAS (CACAT PENDENGARAN), JLN. BANDONG",1,262,195,17,48,260,2,0
4,212/55/02,BAHAGIA JAYA,SEK. KEB. BAHAGIA JAYA,1,294,247,10,33,290,4,0
4,212/55/02,BAHAGIA JAYA,SEK. KEB. BAHAGIA JAYA,2,335,264,26,39,329,6,0
4,212/55/02,BAHAGIA JAYA,SEK. KEB. BAHAGIA JAYA,3,355,280,19,54,353,2,0
5,212/55/03,DATU NYABOR,SEK. JENIS KEB. METHODIST JLN. PULAU,1,209,188,4,17,209,0,0
5,212/55/03,DATU NYABOR,SEK. JENIS KEB. METHODIST JLN. PULAU,2,291,240,14,34,288,3,0
5,212/55/03,DATU NYABOR,SEK. JENIS KEB. METHODIST JLN. PULAU,3,266,210,10,44,264,2,0
5,212/55/03,DATU NYABOR,SEK. JENIS KEB. METHODIST JLN. PULAU,4,223,185,8,28,221,2,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,1,208,189,6,8,203,5,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,2,457,408,4,41,453,4,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,3,436,380,1,47,428,8,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,4,417,372,1,42,415,2,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,5,390,349,4,37,390,0,0
