Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :YUSSIBNOSH BALO,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ASINI @ HASNI BIN YAHYA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,91,64,1,65,4,22
2,213/57/00,UNDI AWAL,"RUANG A, DEWAN SERBAGUNA, IPD MUKAH",1,111,109,1,110,1,0
3,213/57/01,BAOH,SEK. KEB. ST. LUKE NG. BAOH DALAT,1,266,250,11,261,5,0
4,213/57/02,PENAT,BALAI RAYA KPG. PENAT,1,239,216,17,233,6,0
5,213/57/03,SEBAKONG,RH. MAWAR TANJONG PEDADA MUKAH,1,239,161,69,230,9,0
6,213/57/04,ULU BAOH,SEK. KEB. ULU BAOH DALAT,1,325,288,34,322,3,0
7,213/57/05,DIJIH,SEK. KEB. DIJIH MUKAH,1,38,34,3,37,1,0
7,213/57/05,DIJIH,SEK. KEB. LUBOK BEMBAN MUKAH,1,216,181,28,209,7,0
8,213/57/06,ULU SIKAT,SEK. KEB. LADANG 3 LKTS MUKAH JLN. BUKUT,1,145,126,9,135,10,0
9,213/57/07,NANGA SIKAT,SEK. KEB. NG. SIKAT MUKAH,1,178,113,63,176,2,0
10,213/57/08,ENGKERBAI,SEK. KEB. BUKIT ENGKERBAI MUKAH,1,123,100,20,120,3,0
11,213/57/09,PETANAK MUKAH,SEK. KEB. KPG. PETANAK MUKAH,1,231,214,12,226,5,0
11,213/57/09,PETANAK MUKAH,SEK. KEB. KPG. PETANAK MUKAH,2,245,223,21,244,1,0
11,213/57/09,PETANAK MUKAH,SEK. KEB. KPG. PETANAK MUKAH,3,229,192,36,228,1,0
12,213/57/10,TELLIAN,DEWAN PIBG SEK. KEB. KPG. TELLIAN MUKAH,1,264,252,5,257,7,0
12,213/57/10,TELLIAN,DEWAN PIBG SEK. KEB. KPG. TELLIAN MUKAH,2,322,312,7,319,3,0
12,213/57/10,TELLIAN,DEWAN PIBG SEK. KEB. KPG. TELLIAN MUKAH,3,281,275,5,280,1,0
13,213/57/11,JUDAN,SEK. KEB. DUA SG. MUKAH,1,293,263,28,291,2,0
14,213/57/12,KUALA LAMA,SEK. KEB. ST. PATRICK MUKAH,1,224,186,38,224,0,0
14,213/57/12,KUALA LAMA,SEK. KEB. ST. PATRICK MUKAH,2,274,215,56,271,3,0
14,213/57/12,KUALA LAMA,SEK. KEB. ST. PATRICK MUKAH,3,228,166,62,228,0,0
15,213/57/13,TELLIAN LAUT,BALAI RAYA ABDUL RAHMAN YAAKUB KPG. TELLIAN LAUT,1,261,256,4,260,1,0
15,213/57/13,TELLIAN LAUT,BALAI RAYA ABDUL RAHMAN YAAKUB KPG. TELLIAN LAUT,2,378,358,19,377,1,0
16,213/57/14,MUKAH,SEK. JENIS KEB. CHONG BOON MUKAH,1,193,152,41,193,0,0
16,213/57/14,MUKAH,SEK. JENIS KEB. CHONG BOON MUKAH,2,205,146,59,205,0,0
17,213/57/15,PENAKOP PERMAI,SEK. KEB. DATO AWANG UDIN MUKAH,1,259,235,17,252,7,0
JUMLAH,,,,26,5858,5087,666,5753,83,22
