Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDUL YAKUB HAJI ARBI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NURZAITI BINTI HAMDAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,49,39,0,39,1,9
2,213/58/00,UNDI AWAL,"RUANG B, DEWAN SERBAGUNA, IPD MUKAH",1,4,4,0,4,0,0
3,213/58/01,LITONG,SEK. KEB. KPG. SEBERANG MUKAH,1,222,196,22,218,4,0
3,213/58/01,LITONG,SEK. KEB. KPG. SEBERANG MUKAH,2,302,251,47,298,4,0
3,213/58/01,LITONG,SEK. KEB. KPG. SEBERANG MUKAH,3,302,254,40,294,8,0
4,213/58/02,PENAKOP,SEK. KEB. KPG. PENAKUB ULU MUKAH,1,260,178,82,260,0,0
5,213/58/03,TEMESU,RH. PENGHULU IJU SG. TEMESU MUKAH,1,123,63,59,122,1,0
6,213/58/04,BALINGIAN,SEK. JENIS KEB. CHUNG HUA BALINGIAN,1,288,243,44,287,1,0
7,213/58/05,TUTUS,BALAI RAYA KPG. TUTUS HILIR MUKAH,1,300,264,34,298,2,0
8,213/58/06,JEBUNGAN,SEK. KEB. KPG. JEBUNGAN MUKAH,1,410,342,61,403,6,1
9,213/58/07,KENYANA,SEK. KEB. KUALA KENYANA MUKAH,1,76,64,11,75,1,0
10,213/58/08,SESOK,SEK. KEB. KPG.TEH MUKAH,1,393,342,50,392,1,0
10,213/58/08,SESOK,SEK. KEB. KPG. SAU MUKAH,1,435,338,80,418,17,0
11,213/58/09,ULU BEDENGAN,TADIKA KEMAS ULU BEDENGAN JLN. SELANGAU/ MUKAH,1,215,109,99,208,7,0
12,213/58/10,BEDENGAN,SEK. KEB. SG. BEDENGAN MUKAH,1,289,157,126,283,6,0
13,213/58/11,PENIPAH,SEK. KEB. SG. PENIPAH MUKAH,1,324,187,130,317,7,0
14,213/58/12,KUALA BALINGIAN,SEK. KEB. KPG. KUALA BALINGIAN,1,181,126,50,176,5,0
14,213/58/12,KUALA BALINGIAN,SEK. KEB. KPG. KUALA BALINGIAN,2,213,150,61,211,2,0
14,213/58/12,KUALA BALINGIAN,SEK. KEB. KPG. KUALA BALINGIAN,3,184,121,61,182,2,0
15,213/58/13,SUYONG,SEK. KEB. PARISH BALINGIAN,1,276,238,35,273,3,0
15,213/58/13,SUYONG,SEK. KEB. PARISH BALINGIAN,2,419,345,68,413,6,0
16,213/58/14,LIOK,SEK. KEB. SG. LIOK,1,287,197,84,281,6,0
JUMLAH,,,,22,5552,4208,1244,5452,90,10
