Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JOHN SIKIE TAYAI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JOSHUA JABENG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CLEMENT BAYANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,65,54,1,1,56,3,6
2,214/60/00,UNDI AWAL,DEWAN TERBUKA IPD TATAU,1,35,35,0,0,35,0,0
3,214/60/01,BAWAN,SEK. KEB. SG. DUAN,1,260,178,64,12,254,6,0
3,214/60/01,BAWAN,SEK. KEB. SG. DUAN,2,321,212,96,12,320,1,0
3,214/60/01,BAWAN,SEK. KEB. SG. DUAN,3,274,207,58,5,270,4,0
3,214/60/01,BAWAN,SEK. KEB. SG. DUAN,4,263,162,89,10,261,2,0
4,214/60/02,ARIP,SEK. KEB. SG. ANAK,1,248,187,44,14,245,3,0
4,214/60/02,ARIP,"RH. JIMIN, NG. BAWANG",1,52,48,4,0,52,0,0
4,214/60/02,ARIP,SEK. KEB. SG. TAU,1,163,108,51,1,160,3,0
4,214/60/02,ARIP,SEK. KEB. SG. BAWANG,1,352,230,109,9,348,4,0
4,214/60/02,ARIP,SEK. KEB. ULU ARIP,1,464,295,109,36,440,24,0
4,214/60/02,ARIP,SEK. KEB. IBAN UNION,1,219,175,30,9,214,5,0
5,214/60/03,TATAU-BUAN,SEK. KEB. TATAU,1,282,228,34,15,277,5,0
5,214/60/03,TATAU-BUAN,SEK. KEB. TATAU,2,512,408,68,31,507,5,0
6,214/60/04,KAKUS,SEK. KEB. RH KESING TATAU,1,404,337,45,11,393,11,0
7,214/60/05,ANAP,"RH. MERAYANG, NG. MALAT",1,156,108,36,9,153,3,0
8,214/60/06,TATAU,SEK. JENIS KEB. CHUNG HUA TATAU,1,259,197,46,11,254,5,0
8,214/60/06,TATAU,SEK. JENIS KEB. CHUNG HUA TATAU,2,293,203,73,12,288,5,0
8,214/60/06,TATAU,SEK. JENIS KEB. CHUNG HUA TATAU,3,244,148,69,21,238,6,0
9,214/60/07,LUBOK KUMPAI,SEK. KEB. RH TAYAI,1,315,275,28,3,306,9,0
10,214/60/08,BEKIRAN,RH. WILSON BLUE RANTAU BELAK,1,113,104,7,1,112,1,0
11,214/60/09,TEKALIT,SEK. KEB. SG. BEGIAW,1,340,276,37,18,331,9,0
12,214/60/10,RUNGAN,"RH. PANDONG, NG. KAKUS",1,257,227,18,4,249,8,0
13,214/60/11,GIRI,"RH. GIRI, SG. SENUNOK",1,60,47,10,3,60,0,0
14,214/60/12,KELEBU,"RH. JIMBAI, NG. KELEBU",1,125,67,50,5,122,3,0
15,214/60/13,ENTAJUM,RH. RADIN ENTAJUM,1,211,161,34,4,199,12,0
16,214/60/14,ULU SANGAN,RH. NGINDANG ANAK GUAN (ULU SANGAN),1,153,60,75,17,152,0,1
17,214/60/15,SANGAN,SEK. KEB. SANGAN IBAN,1,378,289,59,22,370,8,0
18,214/60/16,PENYARAI,SEK. KEB. KUALA PENYARAI KAKUS,1,284,257,15,8,280,4,0
19,214/60/17,KULAU BELUNGAI,"RH. EDWIN, NG. KULAU KAKUS",1,160,136,16,6,158,2,0
19,214/60/17,KULAU BELUNGAI,"RH. BATOK BILONG, LONG BEYAK",1,78,52,23,1,76,2,0
20,214/60/18,MUPUT,"RH. AGAU, SG. MUPUT",1,211,153,43,7,203,8,0
21,214/60/19,PASIR NANGKA,SEK. KEB. RH. BARRAU,1,207,122,75,8,205,2,0
22,214/60/20,NANGA EMPANG,"RH. AHSOON, NG. EMPANG",1,47,41,4,1,46,1,0
23,214/60/21,KANA,SEK. KEB. KUALA MUPUT,1,266,203,50,10,263,3,0
24,214/60/22,SETUSOR,"RH. JEMAT, NG. SETUSOR",1,124,75,43,4,122,2,0
25,214/60/23,TAU,SEK. KEB. NG. TAU,1,277,203,62,8,273,4,0
26,214/60/24,TAKAN,"RH. ENTERI, NG. TAKAN",1,148,114,24,7,145,3,0
27,214/60/25,ANNAU,TADIKA KEMAS RH. MAT SEPARAI,1,344,256,47,29,332,12,0
27,214/60/25,ANNAU,SEK. KEB. KELAWIT JALAN TATAU-SIBU,1,291,195,42,48,285,6,0
27,214/60/25,ANNAU,SEK. KEB. KELAWIT JALAN TATAU-SIBU,2,334,221,55,49,325,9,0
JUMLAH,,,,41,9589,7054,1843,482,9379,203,7
