Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :YONG ANAK SIBAT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WILSON NYABONG ANAK IJANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FRANKIE BENDINDANG MANJAH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,70,2,48,4,54,4,12
2,215/61/01,PELAGUS,"RH. BUNYAU, PULAU PISANG",1,108,1,96,11,108,0,0
2,215/61/01,PELAGUS,"RH. BARAOH, NG. SEMENUANG",1,148,6,129,12,147,1,0
2,215/61/01,PELAGUS,"RH. JELANI, KERANGAN BANGAT, BATANG RAJANG",1,59,3,42,14,59,0,0
2,215/61/01,PELAGUS,SEK. KEB. NG. ENCHEREMIN,1,203,22,152,24,198,5,0
2,215/61/01,PELAGUS,RH. SELIONG,1,134,7,116,8,131,3,0
2,215/61/01,PELAGUS,"RH. RABAR, NG. SETAPANG",1,64,5,59,0,64,0,0
2,215/61/01,PELAGUS,"RH. JENGENG, NG. MELA",1,131,51,66,14,131,0,0
2,215/61/01,PELAGUS,SEK. KEB. NG. PELAGUS,1,100,1,96,1,98,2,0
2,215/61/01,PELAGUS,"RH. GARAI, NG. BENIN",1,106,0,102,3,105,1,0
2,215/61/01,PELAGUS,SEK. KEB. ULU PELAGUS,1,107,1,91,13,105,2,0
2,215/61/01,PELAGUS,"RH. EKONG, SG. PELAGUS",1,63,3,58,1,62,1,0
2,215/61/01,PELAGUS,"RH. GEORGE, SG. PELAGUS",1,101,3,90,7,100,1,0
3,215/61/02,SUNGAI AMANG,SEK. KEB. SG. AMANG,1,429,19,361,48,428,1,0
4,215/61/03,NANGA PERARAN,SEK. KEB. NG. PERARAN,1,224,78,133,7,218,6,0
4,215/61/03,NANGA PERARAN,"RH. ALONG, NG. MEKEY",1,101,6,78,14,98,3,0
4,215/61/03,NANGA PERARAN,"RH. JELANI, NG. SAMA",1,129,58,69,1,128,1,0
4,215/61/03,NANGA PERARAN,"RH. SABANG, NG. BUYA",1,71,16,48,7,71,0,0
5,215/61/04,SUT,"RH. JOHNNY, SG. SUT",1,49,1,48,0,49,0,0
5,215/61/04,SUT,"RH. SALANG, SG. SUT",1,68,0,61,7,68,0,0
5,215/61/04,SUT,"RH. IKAU, SG. SUT",1,31,0,27,4,31,0,0
5,215/61/04,SUT,"RH. JUGAH, SG. SUT",1,61,0,43,17,60,1,0
5,215/61/04,SUT,"RH. BARAOH, SG. SUT",1,73,1,70,2,73,0,0
5,215/61/04,SUT,"RH. EMAK, SG. SUT",1,110,0,107,3,110,0,0
5,215/61/04,SUT,"RH. AI, SG. ANTAWAU BENA, SUT",1,50,0,44,6,50,0,0
5,215/61/04,SUT,"RH. MAMAT, SG. BENA",1,65,0,31,30,61,4,0
5,215/61/04,SUT,"RH. TAING DASANG, SG. SUT",1,53,0,52,0,52,1,0
5,215/61/04,SUT,SEK. KEB. NG. BENA,1,126,1,115,8,124,2,0
5,215/61/04,SUT,"RH. NYAWAI, SG. BENA",1,126,0,121,5,126,0,0
5,215/61/04,SUT,"RH. UGAP UNYONG MERATING, SG. BENA",1,54,0,50,3,53,1,0
5,215/61/04,SUT,SEK. KEB. NG. KEBIAW,1,183,12,147,23,182,1,0
5,215/61/04,SUT,SEK. KEB. LEPONG BALLEH,1,221,12,144,62,218,3,0
5,215/61/04,SUT,SEK. KEB. LEPONG BALLEH,2,208,5,145,56,206,2,0
5,215/61/04,SUT,SEK. KEB. NG. MUJONG,1,241,2,207,31,240,1,0
5,215/61/04,SUT,SEK. KEB. NG. BAWAI,1,349,2,319,22,343,6,0
5,215/61/04,SUT,"RH. BENGAU, SG. SUT",1,249,3,213,26,242,7,0
JUMLAH,,,,36,4665,321,3778,494,4593,60,12
