Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATUK AMBROSE BLIKAU ENTURAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PAREN ANAK NYAWI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,126,78,14,92,20,14
2,215/62/00,UNDI AWAL,BILIK SUMBER IPD SONG,1,29,17,8,25,4,0
3,215/62/01,MANAP,"RH. BUNI, SG. LAJAN",1,124,116,6,122,2,0
3,215/62/01,MANAP,"RH. GERUMA, NG. LAJAN",1,123,86,36,122,1,0
3,215/62/01,MANAP,"RH. MANJA, SG. LIJAU",1,79,64,15,79,0,0
3,215/62/01,MANAP,"RH. TIMOTHY ASSON, NG. MANAP",1,62,55,6,61,1,0
3,215/62/01,MANAP,"RH. MUNI, ULU SG. MANAP",1,56,49,5,54,2,0
3,215/62/01,MANAP,"RH. TANANG, NG. EMBUAU",1,224,195,27,222,2,0
3,215/62/01,MANAP,"RH. NGITAR, LUBOK RERONG, SG. SONG",1,86,79,7,86,0,0
3,215/62/01,MANAP,"RH. SUGAI, NG. SEBETONG, SG. SONG",1,238,213,23,236,2,0
4,215/62/02,TEMELAT,"RH. SARI, NG. BEKAKAP, ULU SG. IRAN*",1,76,51,24,75,1,0
4,215/62/02,TEMELAT,"SEK. KEB. NG. DALAI, SG. IRAN",1,65,54,11,65,0,0
4,215/62/02,TEMELAT,"RH. MUSIN, NG. NANSANG, SG. IRAN",1,129,113,9,122,7,0
4,215/62/02,TEMELAT,"RH. GAWAN, NG. SEBIRAH, SG. IRAN",1,68,60,7,67,1,0
4,215/62/02,TEMELAT,"RH. CHIRRY, NG. SETINDOK, ULU SG. IRAN",1,57,25,30,55,2,0
4,215/62/02,TEMELAT,"RH. JAMBA, NG. SANTU, NG. IRAN",1,112,88,21,109,3,0
4,215/62/02,TEMELAT,SEK. KEB. TEMALAT,1,244,168,73,241,3,0
4,215/62/02,TEMELAT,"RH. ISMAIL, NG. SESAWA, BATANG REJANG, SONG",1,142,115,25,140,2,0
4,215/62/02,TEMELAT,"RH. SERING, NG. TEMIANG, BATANG REJANG, SONG",1,84,32,50,82,2,0
4,215/62/02,TEMELAT,"RH. AUSTIN EKAU, NG. SIPAN, BATANG REJANG, SONG",1,117,91,26,117,0,0
4,215/62/02,TEMELAT,SEK. KEB. NG. BEGUANG,1,275,184,82,266,9,0
5,215/62/03,SONG,"SEK. JENIS KEB. HIN HUA, SONG",1,230,113,106,219,11,0
5,215/62/03,SONG,"SEK. JENIS KEB. HIN HUA, SONG",2,268,111,156,267,1,0
5,215/62/03,SONG,"MADRASAH, KPG. GELAM, SONG",1,147,122,24,146,1,0
6,215/62/04,KATIBAS,"RH. JOSLEE, EMPERAN MENUANG, SG. MUSAH",1,91,82,7,89,2,0
6,215/62/04,KATIBAS,"RH. DEMANG, ULU SG. MUSAH",1,52,45,0,45,7,0
6,215/62/04,KATIBAS,"RH. BARO, NG. SEMULONG, SG. MUSAH",1,32,26,6,32,0,0
6,215/62/04,KATIBAS,"RH. JAPOK, NG. SENYARU, SG. MUSAH",1,140,104,34,138,2,0
6,215/62/04,KATIBAS,"RH. ABO, NG. TEKALIT",1,80,44,33,77,3,0
6,215/62/04,KATIBAS,"RH. JALA, NG. MIAW, KATIBAS",1,152,140,11,151,1,0
6,215/62/04,KATIBAS,"RH. SERIT, ULU SG. TAKAN",1,154,102,50,152,2,0
6,215/62/04,KATIBAS,"ZACHIUS NYALU, NG. TAKAN, KATIBAS",1,88,77,10,87,1,0
6,215/62/04,KATIBAS,"RH. CECELIA BUNSU, NG. KEBIAU",1,237,178,57,235,2,0
6,215/62/04,KATIBAS,"RH. GERUNSIN, NG. NYIMOH, KATIBAS",1,118,95,20,115,3,0
6,215/62/04,KATIBAS,"RH. DELOK, SG. ENGKABAU",1,172,158,12,170,2,0
7,215/62/05,TAPANG,"RH. API, NG. TERUSA, KATIBAS",1,75,36,35,71,4,0
7,215/62/05,TAPANG,SEK. KEB. LUBOK IPOH,1,68,35,33,68,0,0
7,215/62/05,TAPANG,"RH. RAMBO, NG. KATIBAS, ULU KATIBAS",1,80,42,36,78,2,0
7,215/62/05,TAPANG,"RH. GENDANG, KARANGAN RANGKANG, ULU KATIBAS",1,120,115,5,120,0,0
7,215/62/05,TAPANG,"RH. NUGU, NG. SESIBAU, ULU KATIBAS",1,145,117,24,141,4,0
7,215/62/05,TAPANG,"RH. JINGGONG, NG. ANCHAU, ULU KATIBAS",1,105,98,7,105,0,0
8,215/62/06,BANGKIT,"RH. LANGGA, KERANGAN PANJANG, ULU BANGKIT",1,58,46,12,58,0,0
8,215/62/06,BANGKIT,"RH. SILO, NG. SEBUMBAN, ULU BANGKIT",1,54,11,43,54,0,0
8,215/62/06,BANGKIT,"RH. LAYANG, SG. AYAT, ULU BANGKIT",1,33,32,0,32,1,0
8,215/62/06,BANGKIT,"RH. LASIN, NG. NANSANG, SG. BANGKIT",1,60,23,35,58,2,0
8,215/62/06,BANGKIT,"RH. GASING, NG. MELUAN, SG. BANGKIT",1,61,29,29,58,3,0
8,215/62/06,BANGKIT,SEK. KEB. NG. BANGKIT,1,94,22,70,92,2,0
8,215/62/06,BANGKIT,"RH. RIBUT, NG. SERAU, KATIBAS",1,121,110,10,120,1,0
8,215/62/06,BANGKIT,"RH. DAGUM, NG. MAKUT, KATIBAS",1,101,48,52,100,1,0
8,215/62/06,BANGKIT,"RH. BANGAU, NG. ENTUAT",1,113,83,29,112,1,0
8,215/62/06,BANGKIT,"RH. IJAU, NG. MUKIH, KATIBAS",1,118,91,27,118,0,0
9,215/62/07,TEKALIT,"RH. GILBERT NYADANG, NG. SEPUNGGOK, TEKALIT",1,63,60,3,63,0,0
9,215/62/07,TEKALIT,"RH. MELAYU, NG. LATONG, TEKALIT",1,35,35,0,35,0,0
9,215/62/07,TEKALIT,"RH. SIBAT, NG. SEGENDANG, ULU SG. JANAN, TEKALIT",1,20,12,7,19,1,0
9,215/62/07,TEKALIT,SEK. KEB. NG. JANAN TEKALIT,1,148,82,62,144,4,0
9,215/62/07,TEKALIT,"RH. CHANGAI, NG. TENGANGAI, TEKALIT",1,61,52,8,60,1,0
9,215/62/07,TEKALIT,"RH. ENDAH, NG. SEPAYANG, SG. TEKALIT",1,82,54,27,81,1,0
9,215/62/07,TEKALIT,SEK. KEB. NG. NANSANG,1,70,49,21,70,0,0
9,215/62/07,TEKALIT,"RH. AJUT, NG. SEBUNGKANG, SG. TEKALIT",1,92,69,22,91,1,0
JUMLAH,,,,59,6454,4681,1628,6309,131,14
