Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LARRY ANAK ASAP,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JEFFERSON JAMIT ANAK UNYAT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,200,11,128,139,16,45
2,215/63/00,UNDI AWAL,BILIK TAKLIMAT IPD KAPIT,1,51,0,48,48,3,0
3,215/63/01,SUNGAI KAPIT,SEK. KEB. SG. KAPIT,1,231,54,171,225,6,0
3,215/63/01,SUNGAI KAPIT,SEK. KEB. SG. KAPIT,2,187,53,126,179,8,0
3,215/63/01,SUNGAI KAPIT,"RH. BUNDONG, NG. SEBABAI, JLN. BUKIT GURAM",1,137,30,100,130,6,1
4,215/63/02,KAPIT,"SEK. JENIS KEB. HOCK LAM, KAPIT",1,196,108,87,195,1,0
4,215/63/02,KAPIT,"SEK. JENIS KEB. HOCK LAM, KAPIT",2,332,181,148,329,3,0
4,215/63/02,KAPIT,"SEK. JENIS KEB. HOCK LAM, KAPIT",3,316,187,126,313,3,0
4,215/63/02,KAPIT,"SEK. JENIS KEB. HOCK LAM, KAPIT",4,264,168,96,264,0,0
5,215/63/03,MENUAN,SEK. KEB. ULU MENUAN,1,111,18,92,110,1,0
5,215/63/03,MENUAN,"RH. SLI, SG. MENUAN",1,57,1,56,57,0,0
5,215/63/03,MENUAN,"RH. MANGGAN, MENUAN",1,71,26,45,71,0,0
5,215/63/03,MENUAN,"RH. LAMPOH, SG. MENUAN",1,60,39,21,60,0,0
5,215/63/03,MENUAN,SEK. KEB. LEPONG MENUAN,1,122,30,90,120,2,0
5,215/63/03,MENUAN,"RH. PASANG, NG. ENSILAI",1,95,26,69,95,0,0
5,215/63/03,MENUAN,"RH. DINGAI, NG. GOH",1,178,51,122,173,5,0
6,215/63/04,IBAU,SEK. KEB. ULU YONG,1,203,19,179,198,5,0
6,215/63/04,IBAU,"RH. MANOK, SG. YONG",1,103,43,59,102,1,0
6,215/63/04,IBAU,"RH. MASAM, SG. YONG",1,67,10,57,67,0,0
6,215/63/04,IBAU,"RH. LINGGI, SG. YONG",1,132,15,117,132,0,0
6,215/63/04,IBAU,SEK. KEB. NG. TRUSA,1,154,43,110,153,1,0
6,215/63/04,IBAU,SEK. KEB. NG. TRUSA,2,154,59,92,151,3,0
6,215/63/04,IBAU,SEK. KEB. NG. YONG,1,130,51,79,130,0,0
6,215/63/04,IBAU,"RH. BARING, NG. SEMBAWANG",1,87,2,85,87,0,0
6,215/63/04,IBAU,RH. GEORGE (RH. KANYAN NYELANG),1,108,12,93,105,3,0
6,215/63/04,IBAU,SEK. KEB. NG. SEGENOK ULU IBAU,1,109,2,101,103,6,0
6,215/63/04,IBAU,"RH. LEMADA, SG. IBAU",1,33,4,28,32,1,0
6,215/63/04,IBAU,SEK. KEB. NG. IBAU,1,248,49,194,243,5,0
7,215/63/05,KAMPUNG BARU,SEK. KEB. KPG. BARU,1,231,50,176,226,5,0
7,215/63/05,KAMPUNG BARU,SEK. KEB. KPG. BARU,2,276,114,160,274,2,0
7,215/63/05,KAMPUNG BARU,SEK. KEB. KPG. BARU,3,219,109,109,218,1,0
8,215/63/06,SELIRIK,SEK. KEB. METHODIST,1,194,74,114,188,6,0
8,215/63/06,SELIRIK,SEK. KEB. METHODIST,2,326,111,213,324,2,0
8,215/63/06,SELIRIK,SEK. KEB. METHODIST,3,320,103,216,319,1,0
8,215/63/06,SELIRIK,SEK. KEB. METHODIST,4,225,79,142,221,4,0
8,215/63/06,SELIRIK,"RH. IKAU, NG. TULIE",1,147,8,135,143,4,0
9,215/63/07,SIBAU,"RH. JOHN, SG. SIBAU",1,248,28,220,248,0,0
10,215/63/08,ENTANGAI,"RH. BAJA, SG. ENTANGAI",1,108,8,100,108,0,0
10,215/63/08,ENTANGAI,SEK. KEB. MELIPIS,1,149,21,126,147,2,0
10,215/63/08,ENTANGAI,"RH. UNTAT, SG. MELIPIS",1,64,10,54,64,0,0
10,215/63/08,ENTANGAI,"RH. NGUMBANG, NG. SEBATU",1,119,3,112,115,4,0
JUMLAH,,,,41,6762,2010,4596,6606,110,46
