Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :AGOP ANAK LINSONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JAMES JEMUT MASING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,85,4,65,69,2,14
2,216/64/01,GAAT,RH. LAWAN NG. RAMONG,1,60,0,60,60,0,0
2,216/64/01,GAAT,RH. MENGGA NG. SEPULAU GAAT,1,79,4,75,79,0,0
2,216/64/01,GAAT,SEK. KEB. NG. BALANG,1,65,1,64,65,0,0
2,216/64/01,GAAT,RH. NADING NG. SENETANG,1,76,3,73,76,0,0
2,216/64/01,GAAT,RH. BAWENG ENYANG SG. GAAT*,1,95,1,94,95,0,0
3,216/64/02,MUJONG,RH. JOS SG. MUJONG,1,92,14,77,91,1,0
3,216/64/02,MUJONG,RH. SENGIANG SG. MUJONG,1,27,26,1,27,0,0
3,216/64/02,MUJONG,"SEK. KEB. SG. BEBANGAN, MUJONG",1,106,21,83,104,2,0
3,216/64/02,MUJONG,RH. UMBAR SG. TIAU,1,75,1,74,75,0,0
3,216/64/02,MUJONG,RH. EJON NG. TIAU,1,129,4,125,129,0,0
3,216/64/02,MUJONG,RH. LIOK WONG PANTU,1,93,0,93,93,0,0
3,216/64/02,MUJONG,RH. PETER RANTAU BIDAI,1,64,0,64,64,0,0
3,216/64/02,MUJONG,KLINIK DESA NG. MELINAU,1,84,1,83,84,0,0
3,216/64/02,MUJONG,RH. GAWAN NG. AMAN,1,65,0,63,63,2,0
3,216/64/02,MUJONG,SEK. KEB. MUJONG TENGAH,1,164,13,147,160,4,0
3,216/64/02,MUJONG,"SEK. KEB. LUBOK BAYA, SEKEROH",1,118,20,98,118,0,0
3,216/64/02,MUJONG,SEK. KEB NG. OYAN MUJONG,1,228,7,217,224,4,0
3,216/64/02,MUJONG,RH. ASUN ANAK UNGGANG SG. MUJONG,1,125,14,105,119,6,0
3,216/64/02,MUJONG,RH. BAYA SG. OYAN,1,82,2,80,82,0,0
3,216/64/02,MUJONG,SEK. KEB. OYAN TENGAH,1,163,30,131,161,2,0
3,216/64/02,MUJONG,RH. UNTING NG SEKEROH,1,95,1,94,95,0,0
4,216/64/03,MELINAU,SEK. KEB. SG. TUNOH,1,244,30,212,242,2,0
4,216/64/03,MELINAU,RH. BARANG SG. PANG MELINAU,1,86,5,77,82,4,0
4,216/64/03,MELINAU,RH. ANDING SG. MELINAU,1,95,4,91,95,0,0
4,216/64/03,MELINAU,RH. JALA SG. MELINAU KAPIT,1,33,3,30,33,0,0
4,216/64/03,MELINAU,RH. NGIANG ANAK AMPING SG. MAJAU,1,66,0,66,66,0,0
4,216/64/03,MELINAU,SEK. KEB. LUBOK MAWANG,1,146,0,146,146,0,0
4,216/64/03,MELINAU,RH. MANSAI SG. MAJAU,1,66,0,66,66,0,0
4,216/64/03,MELINAU,RH. LUGAT NG. MAJAU,1,76,0,76,76,0,0
4,216/64/03,MELINAU,RH. PIOH SG. MAJAU,1,49,5,44,49,0,0
4,216/64/03,MELINAU,RH. TUJANG SG. PAKU,1,63,0,63,63,0,0
4,216/64/03,MELINAU,RH. INGUH MIUT SG. PAKU,1,95,0,95,95,0,0
4,216/64/03,MELINAU,RH. JAMBA SG. PAKU,1,75,2,73,75,0,0
4,216/64/03,MELINAU,RH. TANG SG. PAKU,1,47,3,43,46,1,0
4,216/64/03,MELINAU,RH. NISSON SG. PAKU,1,63,0,63,63,0,0
5,216/64/04,BALEH,RH. KUPA SG. TAPANG,1,63,0,59,59,4,0
5,216/64/04,BALEH,RH. SAIT NG. PURO GAAT,1,103,5,97,102,1,0
5,216/64/04,BALEH,RH. NYAMOK SG. GAAT,1,57,1,56,57,0,0
5,216/64/04,BALEH,SEK. KEB. LEPONG GAAT,1,96,2,93,95,1,0
5,216/64/04,BALEH,RH. TAJAI NG. SEMIRAH GAAT,1,28,0,28,28,0,0
5,216/64/04,BALEH,RH. UNTAM TUPAI KERANGAN ARA,1,70,15,54,69,1,0
5,216/64/04,BALEH,RH. BIDOK NG. SEBETONG,1,116,1,115,116,0,0
5,216/64/04,BALEH,"RH. GON, BATANG BALEH",1,171,19,149,168,3,0
5,216/64/04,BALEH,"RH. WONG ENSONG NG. SEPATA, BALEH",1,135,33,102,135,0,0
5,216/64/04,BALEH,RH. WONG TELOK BUING,1,129,3,126,129,0,0
5,216/64/04,BALEH,RH. TUJANG NG. USUN BALEH,1,120,41,78,119,1,0
5,216/64/04,BALEH,RH. GARE ANAK TIMBANG SG. KAIN,1,60,3,56,59,1,0
5,216/64/04,BALEH,RH. ENGSONG SG. KAIN,1,42,3,39,42,0,0
5,216/64/04,BALEH,SEK. KEB. NG. KAIN,1,168,9,157,166,2,0
6,216/64/05,MERIRAI,RH. BIGAU UJAN SG. ENTULOH*,1,77,0,77,77,0,0
6,216/64/05,MERIRAI,RH. UNYAT SG. MERIRAI,1,37,0,37,37,0,0
6,216/64/05,MERIRAI,RH. GOYANG APAT SG. MERIRAI,1,60,5,55,60,0,0
6,216/64/05,MERIRAI,RH. BANGAU UNDIE KERANGAN LAIH,1,52,0,52,52,0,0
6,216/64/05,MERIRAI,RH. JANTAI ANAK SIBA BATANG BALEH,1,38,0,38,38,0,0
6,216/64/05,MERIRAI,RH. MALONG KERANGAN BESAI BALEH,1,39,0,39,39,0,0
6,216/64/05,MERIRAI,RH. SEBUANG NG. MERAMA BALEH,1,83,0,82,82,1,0
6,216/64/05,MERIRAI,"TADIKA KEMAS, ENTAWAU",1,252,80,167,247,5,0
6,216/64/05,MERIRAI,SEK. KEB. NG. SEMPILI KAPIT,1,99,3,94,97,2,0
6,216/64/05,MERIRAI,RH. JOHN RIMA NG. ENTALAWAN,1,101,1,99,100,1,0
6,216/64/05,MERIRAI,RH. ITU SG. PULANG BALEH,1,98,32,65,97,1,0
6,216/64/05,MERIRAI,RH. BANSA ANAK LANGGA SEPULAU BALEH,1,82,1,80,81,1,0
6,216/64/05,MERIRAI,RH. JAMIT NG. SEPANGGIL BALEH,1,43,0,43,43,0,0
6,216/64/05,MERIRAI,RH. SANA ANAK RUMPANG NG. GAAT,1,27,3,24,27,0,0
JUMLAH,,,,64,5820,479,5272,5751,55,14
