Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALEXANDER LEHAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LIWAN LAGANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,66,2,47,49,6,11
2,216/65/00,UNDI AWAL,"PEJABAT CAWANGAN PIFOS, IPD BELAGA",1,54,2,52,54,0,0
3,216/65/01,DATA KAKUS,SEK. KEB. DATA KAKUS,1,244,27,215,242,2,0
3,216/65/01,DATA KAKUS,SEK. KEB. DATA KAKUS,2,203,40,163,203,0,0
4,216/65/02,MERIT,SEK. KEB. NG. MERIT,1,217,21,194,215,2,0
4,216/65/02,MERIT,SEK. KEB. NG. MERIT,2,204,31,171,202,2,0
4,216/65/02,MERIT,RH. GUYANG NG. JELI,1,43,1,41,42,1,0
4,216/65/02,MERIT,RH. ENTILI NG. MUSA,1,88,1,87,88,0,0
4,216/65/02,MERIT,"CHURCH OF LIVING WATER KEM IRONWALL, ULU PILA",1,78,0,77,77,1,0
4,216/65/02,MERIT,RH. GENDANG SG. PILA*,1,40,1,39,40,0,0
4,216/65/02,MERIT,RH. AJI NG. IBUN PILLA,1,43,0,43,43,0,0
4,216/65/02,MERIT,RH. MERO LUBOK DABAI,1,31,1,30,31,0,0
4,216/65/02,MERIT,RH. RANYING ULU METAH,1,145,3,140,143,2,0
4,216/65/02,MERIT,RH. PILLAI NG. METAH,1,117,2,111,113,4,0
4,216/65/02,MERIT,RH. SETEPAN NG. PILA,1,26,9,17,26,0,0
4,216/65/02,MERIT,SEK. KEB. NG. METAH,1,89,8,81,89,0,0
4,216/65/02,MERIT,RH. JAMIT NG. LATAP PILLA,1,39,0,39,39,0,0
5,216/65/03,BA,SEK. KEB. PUNAN BAH,1,219,31,185,216,3,0
5,216/65/03,BA,UMA PUNAN BIAU,1,125,6,117,123,2,0
5,216/65/03,BA,UMA PUNAN TEMPELING,1,105,7,98,105,0,0
5,216/65/03,BA,UMA TANJONG LG. PAWAH,1,83,0,82,82,1,0
5,216/65/03,BA,SEK. KEB. AIRPORT,1,300,20,277,297,3,0
5,216/65/03,BA,UMA SEKAPAN PIIT,1,124,0,124,124,0,0
5,216/65/03,BA,UMA BALO KESING LG. AMO,1,122,3,118,121,1,0
6,216/65/04,BELAGA,SEK. KEB. ABUN MATU (I) BELAGA,1,158,13,144,157,1,0
6,216/65/04,BELAGA,SEK. KEB. ABUN MATU (II) BELAGA,1,149,30,117,147,2,0
6,216/65/04,BELAGA,UMA KAHEI LG. MAKERO,1,191,6,182,188,3,0
6,216/65/04,BELAGA,UMA AGING LG. DAAH,1,157,22,130,152,5,0
6,216/65/04,BELAGA,UMA LAHANAN LG. SEMUANG,1,60,5,55,60,0,0
6,216/65/04,BELAGA,UMA KEJAMAN NEH LG. LITEN,1,203,45,156,201,2,0
6,216/65/04,BELAGA,UMA NYAVING LG. MENJAWAH,1,151,27,122,149,2,0
6,216/65/04,BELAGA,SEK. KEB. LG. SEGAHAN,1,169,17,152,169,0,0
6,216/65/04,BELAGA,"UMA BALUI LEBUIE, NAHA JALEI",1,57,1,56,57,0,0
7,216/65/05,LONG BUSANG,SEK. KEB. LONG BUSANG,1,180,6,172,178,2,0
8,216/65/06,LONG BANGAN,UMA JANGAN LG. BANGAN,1,134,6,125,131,3,0
9,216/65/07,LONG SEMUTUT,SEK. KEB. LG. SEMUTUT,1,260,69,190,259,1,0
JUMLAH,,,,36,4674,463,4149,4612,51,11
