Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HAJI KIPRAWI AMAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATUK HAJI TALIB ZULPILIP,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG HAU MING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDUL JALIL BIN BUJANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MOHD ANUAR HAMID,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,87,1,70,0,3,0,74,2,11
2,217/67/00,UNDI AWAL,"RUANG A, DEWAN SERBAGUNA, IPD BINTULU",1,8,0,8,0,0,0,8,0,0
3,217/67/01,KUALA TATAU,SEK. KEB. KUALA ANNAU,1,112,4,53,6,32,17,112,0,0
3,217/67/01,KUALA TATAU,SEK. KEB. KUALA TATAU,1,256,10,216,4,15,8,253,3,0
3,217/67/01,KUALA TATAU,SEK. KEB. KUALA TATAU,2,326,15,271,3,23,11,323,3,0
3,217/67/01,KUALA TATAU,SEK. KEB. KUALA SERUPAI,1,209,2,118,3,73,7,203,6,0
3,217/67/01,KUALA TATAU,SEK. KEB. SG. SETULAN,1,150,3,95,2,46,1,147,3,0
4,217/67/02,SRI DAGANG,SEK. KEB. ORANG KAYA MOHAMAD BINTULU,1,202,9,156,3,24,1,193,9,0
4,217/67/02,SRI DAGANG,SEK. KEB. ORANG KAYA MOHAMAD BINTULU,2,410,14,311,0,80,1,406,4,0
4,217/67/02,SRI DAGANG,SEK. KEB. ORANG KAYA MOHAMAD BINTULU,3,400,19,277,5,97,1,399,1,0
4,217/67/02,SRI DAGANG,SEK. KEB. ORANG KAYA MOHAMAD BINTULU,4,356,21,217,14,100,3,355,1,0
5,217/67/03,JEPAK,SEK. KEB. JEPAK BINTULU,1,263,10,214,3,28,0,255,7,1
5,217/67/03,JEPAK,SEK. KEB. JEPAK BINTULU,2,523,9,398,0,106,0,513,9,1
5,217/67/03,JEPAK,SEK. KEB. JEPAK BINTULU,3,502,20,367,0,112,1,500,2,0
5,217/67/03,JEPAK,SEK. KEB. JEPAK BINTULU,4,458,21,352,0,79,1,453,5,0
5,217/67/03,JEPAK,SEK. KEB. JEPAK BINTULU,5,364,23,269,1,68,1,362,2,0
5,217/67/03,JEPAK,RH. JOSHUA MANIT AK BUYU,1,240,7,148,13,62,7,237,3,0
5,217/67/03,JEPAK,RH. JOSHUA MANIT AK BUYU,2,260,15,165,10,60,8,258,2,0
5,217/67/03,JEPAK,SEK. KEB. SG. SETIAM,1,401,13,232,28,81,29,383,17,1
5,217/67/03,JEPAK,SEK. KEB. SG. SELAT,1,419,17,239,13,128,19,416,3,0
6,217/67/04,SEGAN,RH. ANTHONY SILAS,1,311,15,209,7,64,4,299,12,0
6,217/67/04,SEGAN,SEK. KEB. ULU SEGAN,1,435,20,223,20,152,6,421,14,0
6,217/67/04,SEGAN,TADIKA KEMAS KUALA SEGAN,1,191,8,153,1,28,0,190,1,0
7,217/67/05,SUNGAI NYIGU,SEK. KEB. KPG. BARU,1,218,7,163,9,35,1,215,3,0
7,217/67/05,SUNGAI NYIGU,SEK. KEB. KPG. BARU,2,402,19,249,9,121,2,400,2,0
7,217/67/05,SUNGAI NYIGU,SEK. KEB. KPG. BARU,3,402,22,243,7,124,2,398,4,0
7,217/67/05,SUNGAI NYIGU,SEK. KEB. KPG. BARU,4,291,22,186,0,79,1,288,3,0
8,217/67/06,RPR SEBIEW,SEK. KEB. BINTULU,1,256,10,184,5,50,0,249,7,0
8,217/67/06,RPR SEBIEW,SEK. KEB. BINTULU,2,354,6,231,8,103,2,350,4,0
8,217/67/06,RPR SEBIEW,SEK. KEB. BINTULU,3,306,17,183,9,93,1,303,3,0
8,217/67/06,RPR SEBIEW,SEK. KEB. BINTULU,4,257,27,142,7,75,1,252,5,0
JUMLAH,,,,31,9369,406,6342,190,2141,136,9215,140,14
