Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LEIGHTON ANAK MANJAH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATUK DR STEPHEN RUNDI ANAK UTOM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,39,1,37,38,0,1
2,217/69/01,SEBAUH,RH. LAPI SG. BINAI,1,98,12,84,96,2,0
2,217/69/01,SEBAUH,BALAI RAYA SEBAUH,1,309,42,264,306,3,0
2,217/69/01,SEBAUH,BALAI RAYA SEBAUH,2,473,66,400,466,7,0
2,217/69/01,SEBAUH,SEK. JENIS KEB. CHUNG SAN SEBAUH,1,252,70,177,247,4,1
2,217/69/01,SEBAUH,SEK. JENIS KEB. CHUNG SAN SEBAUH,2,398,124,272,396,2,0
3,217/69/02,LABANG,RH. RO TEBAN BARU,1,198,43,153,196,2,0
3,217/69/02,LABANG,SEK. KEB. SG. SENGIAN,1,294,27,252,279,15,0
3,217/69/02,LABANG,SEK. KEB. LABANG,1,233,26,195,221,12,0
3,217/69/02,LABANG,SEK. KEB. LABANG,2,262,32,228,260,2,0
3,217/69/02,LABANG,SEK. KEB. PANDAN,1,219,36,181,217,2,0
3,217/69/02,LABANG,SEK. KEB. PANDAN,2,231,39,191,230,1,0
4,217/69/03,HULU SUAI,SEK. KEB. TELINGGAI,1,255,68,170,238,16,1
4,217/69/03,HULU SUAI,SEK. KEB. TELINGGAI,2,372,118,248,366,6,0
4,217/69/03,HULU SUAI,SEK. KEB. TELINGGAI,3,331,104,222,326,5,0
5,217/69/04,SEKALOH,SEK. KEB. SG. MANONG NIAH,1,259,98,156,254,5,0
5,217/69/04,SEKALOH,SEK. KEB. SG. MANONG NIAH,2,440,162,275,437,3,0
5,217/69/04,SEKALOH,SEK. KEB. SG. MANONG NIAH,3,435,161,273,434,1,0
6,217/69/05,SUNGAI SEBAUH,RH. JIMBAI SG. GERONG,1,207,10,194,204,3,0
6,217/69/05,SUNGAI SEBAUH,SEK. KEB. HERMANUS ASSAN,1,378,64,300,364,14,0
6,217/69/05,SUNGAI SEBAUH,RH. HENRY NUNI SG. GELAM,1,286,50,233,283,3,0
6,217/69/05,SUNGAI SEBAUH,RH. HENRY NUNI SG. GELAM,2,296,62,230,292,4,0
7,217/69/06,SEBUNGAN,"SEK. KEB. SG. SEBUNGAN, SEBAUH",1,462,58,399,457,5,0
7,217/69/06,SEBUNGAN,RH. AUGUSTINE LAMAU,1,285,76,207,283,2,0
7,217/69/06,SEBUNGAN,RH. JENANG SG. GUSI KELABAT,1,189,63,121,184,5,0
7,217/69/06,SEBUNGAN,RH. NOPANG SG. SUJAN,1,139,50,87,137,2,0
8,217/69/07,PANDAN,SEK. KEB. KUALA SIGU,1,132,83,47,130,2,0
8,217/69/07,PANDAN,RH. BANTA SG. SIGU,1,97,31,64,95,2,0
8,217/69/07,PANDAN,SEK. KEB. KUALA BINYO,1,206,70,124,194,12,0
8,217/69/07,PANDAN,SEK. KEB. KUALA BINYO,2,204,82,119,201,3,0
8,217/69/07,PANDAN,RH. JANTING SG. BINYO,1,86,1,75,76,10,0
8,217/69/07,PANDAN,SEK. KEB. BUKIT MAWANG,1,125,8,114,122,3,0
8,217/69/07,PANDAN,SEK. KEB. SG. GENAAN,1,189,41,147,188,1,0
9,217/69/08,GOYANG,SEK. KEB. GOYANG,1,240,59,172,231,9,0
9,217/69/08,GOYANG,SEK. KEB. GOYANG,2,277,66,209,275,2,0
10,217/69/09,SUBIS SATU,SEK. KEB. SG. LAMAUS NIAH,1,215,52,160,212,3,0
10,217/69/09,SUBIS SATU,SEK. KEB. SG. LAMAUS NIAH,2,318,80,236,316,2,0
10,217/69/09,SUBIS SATU,SEK. KEB. SG. LAMAUS NIAH,3,265,89,176,265,0,0
JUMLAH,,,,38,9694,2324,7192,9516,175,3
