Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ARIF PAIJO,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :RIPIN LAMAT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MOHDAR ISMAIL,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,91,2,67,1,70,8,13
2,218/72/00,UNDI AWAL,"DEWAN MAKAN PASUKAN, KEM SRI MIRI",1,471,50,403,10,463,8,0
2,218/72/00,UNDI AWAL,"RUANG B,BANGUNAN RUAI KENYALANG, IPD MIRI",1,20,0,19,1,20,0,0
3,218/72/01,PENINJAU,SEK. MEN. KEB. LUAR BANDAR BEKENU SIBUTI,1,287,19,204,48,271,16,0
3,218/72/01,PENINJAU,SEK. MEN. KEB. LUAR BANDAR BEKENU SIBUTI,2,268,8,211,48,267,1,0
3,218/72/01,PENINJAU,RH. DUAT SG. KELINTANG,1,158,27,106,20,153,5,0
3,218/72/01,PENINJAU,RH. JAMES BIRI,1,133,10,116,4,130,3,0
3,218/72/01,PENINJAU,DEWAN PUSAT PEMBANGUNAN KEMAHIRAN SARAWAK (PPKS),1,225,10,174,36,220,5,0
3,218/72/01,PENINJAU,SEK. KEB. KELAPA SAWIT NO. 2 BUKIT PENINJAU,1,496,12,407,55,474,22,0
3,218/72/01,PENINJAU,RH. LAGAN,1,276,3,238,29,270,6,0
4,218/72/02,SATAP,SEK. KEB. KELURU TENGAH SIBUTI,1,297,31,250,14,295,2,0
4,218/72/02,SATAP,SEK. KEB. KELURU TENGAH SIBUTI,2,425,42,371,3,416,9,0
4,218/72/02,SATAP,SEK. KEB. TAWAKAL SATAP SIBUTI,1,272,9,251,7,267,5,0
4,218/72/02,SATAP,SEK. KEB. TAWAKAL SATAP SIBUTI,2,303,13,276,11,300,3,0
5,218/72/03,BAKAM,SEK. JENIS KEB. CHUNG HUA SG. RAIT BAKAM,1,273,36,159,69,264,9,0
5,218/72/03,BAKAM,SEK. KEB. KPG. BAKAM MIRI,1,234,12,197,14,223,11,0
5,218/72/03,BAKAM,SEK. KEB. KPG. BAKAM MIRI,2,433,40,344,46,430,2,1
5,218/72/03,BAKAM,SEK. KEB. KPG. BAKAM MIRI,3,447,56,354,29,439,7,1
5,218/72/03,BAKAM,SEK.JENIS KEB.TUKAU,1,275,35,141,98,274,1,0
6,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,1,199,12,142,30,184,15,0
6,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,2,370,27,280,57,364,6,0
6,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,3,370,29,268,70,367,3,0
6,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,4,372,25,265,80,370,2,0
6,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,5,344,27,234,76,337,7,0
6,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,6,333,32,216,81,329,4,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,1,220,10,145,58,213,7,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,2,407,21,204,175,400,7,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,3,406,19,234,147,400,6,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,4,401,16,194,184,394,7,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,5,371,23,198,148,369,2,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,6,369,28,178,162,368,1,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,7,333,32,153,142,327,6,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,8,315,21,143,149,313,2,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,9,328,35,127,164,326,2,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,10,302,30,125,146,301,1,0
7,218/72/05,AIRPORT,SEK.MEN.KEB.RIAM TAMAN TUNKU MIRI,11,290,24,98,164,286,4,0
8,218/72/06,TUKAU,SEK.MEN.KEB.AGAMA MIRI,1,34,3,11,20,34,0,0
JUMLAH,,,,37,11148,829,7503,2596,10928,205,15
