Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SEBASTIAN TING CHIEW YEW,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALAN LING SIE KIONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,111,82,4,86,0,25
2,219/73/00,UNDI AWAL,"RUANG C, DEWAN RUAI KENYALANG, IPD MIRI",1,322,305,13,318,4,0
3,219/73/01,KUBU,SEK. MEN. KEB. ST. COLUMBAS MIRI,1,282,149,133,282,0,0
4,219/73/02,BAZAAR,SEK. JENIS KEB. CHUNG HUA MIRI,1,151,86,63,149,2,0
4,219/73/02,BAZAAR,SEK. JENIS KEB. CHUNG HUA MIRI,2,339,163,168,331,8,0
4,219/73/02,BAZAAR,SEK. JENIS KEB. CHUNG HUA MIRI,3,353,163,189,352,1,0
4,219/73/02,BAZAAR,SEK. JENIS KEB. CHUNG HUA MIRI,4,357,161,194,355,2,0
4,219/73/02,BAZAAR,SEK. JENIS KEB. CHUNG HUA MIRI,5,359,137,221,358,1,0
4,219/73/02,BAZAAR,SEK. KEB. ST. JOSEPH MIRI,1,126,77,46,123,3,0
4,219/73/02,BAZAAR,SEK. KEB. ST. JOSEPH MIRI,2,325,180,142,322,3,0
4,219/73/02,BAZAAR,SEK. KEB. ST. JOSEPH MIRI,3,345,169,176,345,0,0
4,219/73/02,BAZAAR,SEK. KEB. ST. JOSEPH MIRI,4,368,155,211,366,2,0
4,219/73/02,BAZAAR,SEK. KEB. ST. JOSEPH MIRI,5,338,157,179,336,2,0
5,219/73/03,MERBAU,SEK. KEB. JLN. BINTANG,1,158,90,68,158,0,0
5,219/73/03,MERBAU,SEK. KEB. JLN. BINTANG,2,398,189,205,394,4,0
5,219/73/03,MERBAU,SEK. KEB. JLN. BINTANG,3,432,184,240,424,8,0
5,219/73/03,MERBAU,SEK. KEB. JLN. BINTANG,4,428,202,224,426,2,0
6,219/73/04,MERPATI,"MADRASAH SABIAN SEK. AGAMA RAKYAT JLN. MERBAU
MIRI",1,195,111,82,193,2,0
7,219/73/05,PERMAISURI,SEK. KEB. SYED OTHMAN,1,194,133,61,194,0,0
7,219/73/05,PERMAISURI,SEK. KEB. SYED OTHMAN,2,309,209,98,307,2,0
7,219/73/05,PERMAISURI,SEK. KEB. SYED OTHMAN,3,304,182,119,301,3,0
7,219/73/05,PERMAISURI,SEK. KEB. SYED OTHMAN,4,298,205,91,296,2,0
7,219/73/05,PERMAISURI,SEK. KEB. PULAU MELAYU,1,508,444,54,498,10,0
8,219/73/06,BINTANG,SEK. JENIS KEB. NORTH MIRI,1,225,169,50,219,6,0
8,219/73/06,BINTANG,SEK. JENIS KEB. NORTH MIRI,2,433,286,145,431,2,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,1,136,79,54,133,3,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,2,421,237,173,410,11,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,3,457,265,191,456,1,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,4,454,224,225,449,5,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,5,465,275,187,462,3,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,6,440,264,171,435,5,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,7,463,295,163,458,5,0
9,219/73/07,LUTONG,SEK. JENIS KEB. CHUNG HUA LUTONG,8,410,261,149,410,0,0
10,219/73/08,TANJONG,SEK. MEN. KEB. CHUNG HUA JLN. BRIGHTON MIRI,1,202,127,72,199,3,0
10,219/73/08,TANJONG,SEK. MEN. KEB. CHUNG HUA JLN. BRIGHTON MIRI,2,359,184,175,359,0,0
10,219/73/08,TANJONG,SEK. MEN. KEB. CHUNG HUA JLN. BRIGHTON MIRI,3,317,142,171,313,4,0
11,219/73/09,LUAK,"SEK. KEB. KPG. LUAK, MIRI",1,234,169,65,234,0,0
11,219/73/09,LUAK,"SEK. KEB. KPG. LUAK, MIRI",2,441,293,143,436,5,0
11,219/73/09,LUAK,"SEK. KEB. KPG. LUAK, MIRI",3,407,241,164,405,2,0
11,219/73/09,LUAK,"SEK. KEB. KPG. LUAK, MIRI",4,419,201,214,415,4,0
11,219/73/09,LUAK,"SEK. KEB. KPG. LUAK, MIRI",5,351,154,194,348,3,0
JUMLAH,,,,41,13634,7799,5687,13486,123,25
