Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JOFRI JARAIEE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HII KING CHIONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FONG PAU TECK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR TING TIONG CHOON,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,122,2,73,0,8,83,7,32
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,1,217,3,106,4,91,204,13,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,2,451,15,233,2,194,444,7,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,3,423,5,197,9,209,420,3,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,4,452,14,201,8,223,446,6,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,5,438,16,200,8,212,436,2,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,6,435,19,205,9,201,434,1,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,7,424,29,217,5,170,421,3,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,8,406,12,182,10,200,404,2,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,9,374,14,151,4,203,372,2,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,10,346,17,126,9,193,345,1,0
2,219/74/01,PUJUT,SEK. KEB. PUJUT CORNER PUJUT,11,353,13,141,8,190,352,1,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,1,184,10,114,5,51,180,4,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,2,403,9,197,5,185,396,7,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,3,414,8,177,5,222,412,2,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,4,412,12,188,12,198,410,2,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,5,436,18,191,6,221,436,0,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,6,412,14,191,7,198,410,2,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,7,375,14,194,10,155,373,2,0
2,219/74/01,PUJUT,SEK. JENIS KEB. CHUNG HUA PUJUT MIRI,8,394,25,222,8,137,392,2,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,1,191,0,97,5,84,186,5,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,2,400,13,191,8,182,394,6,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,3,426,30,195,4,196,425,1,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,4,441,21,222,7,189,439,2,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,5,439,27,217,9,184,437,2,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,6,434,24,220,11,174,429,5,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,7,436,24,230,11,167,432,4,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,8,374,20,180,8,163,371,3,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,9,397,32,180,16,167,395,2,0
2,219/74/01,PUJUT,SEK. MEN. KEB. DATO PERMAISURI PIASAU JAYA,10,366,26,164,9,166,365,1,0
3,219/74/02,KROKOP,SEK. JENIS KEB. CHUNG HUA KROKOP,1,148,0,50,6,90,146,2,0
3,219/74/02,KROKOP,SEK. JENIS KEB. CHUNG HUA KROKOP,2,410,2,151,9,247,409,1,0
3,219/74/02,KROKOP,SEK. JENIS KEB. CHUNG HUA KROKOP,3,421,2,142,7,267,418,3,0
3,219/74/02,KROKOP,SEK. JENIS KEB. CHUNG HUA KROKOP,4,400,3,129,7,260,399,1,0
3,219/74/02,KROKOP,SEK. JENIS KEB. CHUNG HUA KROKOP,5,433,2,135,13,283,433,0,0
3,219/74/02,KROKOP,SEK. JENIS KEB. CHUNG HUA KROKOP,6,369,5,91,7,263,366,3,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,1,187,0,73,3,106,182,5,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,2,414,2,155,14,242,413,1,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,3,429,1,136,13,271,421,8,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,4,450,0,148,7,294,449,1,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,5,451,4,115,8,321,448,3,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,6,422,0,117,13,284,414,8,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,7,409,0,126,18,263,407,2,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,8,399,2,90,14,292,398,1,0
3,219/74/02,KROKOP,SEK. MEN. SWASTA PEI MIN,9,381,4,80,14,283,381,0,0
JUMLAH,,,,45,17098,513,7140,375,8899,16927,139,32
