Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PHILEMON ANAK JOHN EDAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR BOB BARU LANGUB,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATUK LEE KIM SHIN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,272,3,11,210,224,16,32
2,219/75/00,UNDI AWAL,"DEWAN JOHNNY MUSTAPHA BATALION KE-12, PGA MIRI",1,227,2,7,218,227,0,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,1,253,3,61,185,249,4,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,2,515,7,99,403,509,6,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,3,495,1,134,354,489,6,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,4,500,9,128,359,496,4,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,5,446,19,117,305,441,5,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,6,480,10,156,310,476,4,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,7,412,8,146,253,407,5,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,8,413,5,118,287,410,3,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,9,409,7,131,266,404,5,0
3,219/75/01,KUALA BARAM,SEK. KEB. TUDAN,10,377,5,91,274,370,7,0
3,219/75/01,KUALA BARAM,SEK. KEB. SENADIN,1,268,2,105,156,263,5,0
3,219/75/01,KUALA BARAM,SEK. KEB. SENADIN,2,515,19,233,259,511,4,0
3,219/75/01,KUALA BARAM,SEK. KEB. SENADIN,3,478,12,224,240,476,2,0
3,219/75/01,KUALA BARAM,SEK. KEB. SENADIN,4,411,13,217,180,410,1,0
3,219/75/01,KUALA BARAM,SEK. KEB. SENADIN,5,384,17,178,187,382,2,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,1,265,0,105,158,263,2,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,2,502,11,190,294,495,7,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,3,494,11,174,302,487,7,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,4,453,20,158,273,451,2,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,5,475,12,178,283,473,2,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,6,441,12,181,247,440,1,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,7,419,11,176,225,412,7,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,8,372,12,160,199,371,1,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,9,366,10,159,194,363,3,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,10,330,4,132,193,329,1,0
3,219/75/01,KUALA BARAM,SEK. KEB. MERBAU BANDAR BARU PERMYJAYA,11,323,13,113,196,322,1,0
3,219/75/01,KUALA BARAM,SEK. KEB. KUALA BARAM,1,281,4,25,248,277,4,0
3,219/75/01,KUALA BARAM,SEK. KEB. KUALA BARAM II,1,202,2,51,146,199,3,0
3,219/75/01,KUALA BARAM,SEK. KEB. KUALA BARAM II,2,348,3,77,267,347,1,0
4,219/75/02,LOPENG,SEK. KEB. AGAMA MAJLIS ISLAM SARAWAK MIRI,1,200,0,65,130,195,5,0
4,219/75/02,LOPENG,SEK. KEB. AGAMA MAJLIS ISLAM SARAWAK MIRI,2,445,4,210,230,444,0,1
4,219/75/02,LOPENG,SEK. KEB. AGAMA MAJLIS ISLAM SARAWAK MIRI,3,431,8,175,246,429,2,0
4,219/75/02,LOPENG,SEK. KEB. AGAMA MAJLIS ISLAM SARAWAK MIRI,4,429,4,178,241,423,6,0
4,219/75/02,LOPENG,SEK. KEB. AGAMA MAJLIS ISLAM SARAWAK MIRI,5,404,6,185,209,400,4,0
4,219/75/02,LOPENG,SEK. KEB. AGAMA MAJLIS ISLAM SARAWAK MIRI,6,365,6,201,157,364,0,1
4,219/75/02,LOPENG,RH DOK SG. TENIKU MIRI,1,145,2,28,113,143,2,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,1,188,5,72,109,186,2,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,2,496,3,218,271,492,4,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,3,498,1,261,232,494,4,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,4,476,6,261,202,469,7,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,5,464,1,260,200,461,3,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,6,456,5,265,185,455,1,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,7,435,3,241,189,433,2,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,8,406,7,251,146,404,2,0
5,219/75/03,RIAM,SEK. JENIS KEB. CHUNG SAN RIAM MIRI,9,394,1,239,152,392,2,0
JUMLAH,,,,47,18358,329,7145,10683,18157,167,34
