Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DENNIS NGAU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ROLAND ENGAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,19,7,1,8,0,11
2,220/77/00,UNDI AWAL,"RUANG B, RUMAH PERKEP, IPD MARUDI",1,9,9,0,9,0,0
3,220/77/01,LONG MIRI,SEK. KEB. LG. MIRI (DALEH LG. PELUTAN),1,301,155,142,297,4,0
3,220/77/01,LONG MIRI,SEK. KEB. LG. TEPEN PELUTAN,1,107,66,40,106,1,0
3,220/77/01,LONG MIRI,SEK. KEB. UMA BAWANG,1,159,55,104,159,0,0
3,220/77/01,LONG MIRI,SEK. KEB. LG. PILAH,1,296,141,152,293,3,0
4,220/77/02,PANA,RH. TK KALONG NUN LG. BUKEN,1,22,13,8,21,1,0
4,220/77/02,PANA,RH. TK BITANG SAKAI LG. LIAW,1,9,5,4,9,0,0
4,220/77/02,PANA,SEK. KEB. LG. PANA,1,121,66,53,119,2,0
4,220/77/02,PANA,SEK. KEB. LG. SUBENG,1,103,59,43,102,1,0
4,220/77/02,PANA,SEK. KEB. LG. LOYANG,1,312,204,102,306,6,0
4,220/77/02,PANA,KPG. LG. TEBANYI TINJAR,1,41,15,26,41,0,0
5,220/77/03,AKAHPATAH,SEK. KEB. LG. KESSEH,1,164,79,85,164,0,0
5,220/77/03,AKAHPATAH,SEK. KEB. LG. NAHA`A,1,197,124,69,193,4,0
5,220/77/03,AKAHPATAH,RH. TK MADANG WAN,1,110,30,80,110,0,0
5,220/77/03,AKAHPATAH,SEK. KEB. LG. LUTENG PATAH,1,345,116,222,338,7,0
5,220/77/03,AKAHPATAH,RH. TK IBAU WAN LG. TEBANGAN,1,72,42,30,72,0,0
6,220/77/04,SAN,SEK. KEB. ST. PIUS LG. SAN,1,234,89,137,226,8,0
6,220/77/04,SAN,SEK. KEB. LG. PALAI,1,111,44,65,109,2,0
6,220/77/04,SAN,SEK. KEB. LG. ANAP,1,84,44,40,84,0,0
6,220/77/04,SAN,SEK. KEB. LG. APU,1,163,92,70,162,1,0
6,220/77/04,SAN,"RH. TK MATTHEW BELULOK LALO, KPG LEPO GAH",1,186,75,109,184,2,0
7,220/77/05,LONG LAMA,RH. TK JACOB LAWAI NAWAN SG. DUA BARAM,1,135,86,49,135,0,0
7,220/77/05,LONG LAMA,SEK. KEB. LG. LAPUT,1,201,114,83,197,4,0
7,220/77/05,LONG LAMA,SEK. KEB. LG. LAPUT,2,227,111,114,225,2,0
7,220/77/05,LONG LAMA,SEK. MEN. KEB. LG. LAMA,1,213,117,96,213,0,0
7,220/77/05,LONG LAMA,SEK. MEN. KEB. LG. LAMA,2,179,99,77,176,3,0
7,220/77/05,LONG LAMA,RH. TK ANTHONY NGAU KPG. UMA AKEH,1,123,78,43,121,2,0
7,220/77/05,LONG LAMA,SEK. KEB. MUREK LG. BANYOK,1,180,94,81,175,5,0
7,220/77/05,LONG LAMA,SEK. KEB. LG. IKANG,1,181,106,74,180,1,0
8,220/77/06,APOH,SEK. KEB. LG. KEVOK,1,139,93,45,138,1,0
8,220/77/06,APOH,SEK. KEB. LG. BEDIAN,1,251,118,130,248,3,0
8,220/77/06,APOH,SEK. KEB. LG. BEDIAN,2,331,155,174,329,2,0
8,220/77/06,APOH,SEK. KEB. LG. BEMANG,1,195,107,80,187,8,0
8,220/77/06,APOH,SEK. KEB. LG. BEMANG,2,221,116,104,220,1,0
8,220/77/06,APOH,SEK. KEB. LG. BEMANG,3,174,86,87,173,1,0
8,220/77/06,APOH,SEK. KEB. LG. ATIP,1,289,127,155,282,7,0
8,220/77/06,APOH,SEK. KEB. LG. WAT,1,184,94,90,184,0,0
JUMLAH,,,,38,6388,3231,3064,6295,82,11
