Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR ROLAND DOM MATTU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :GERAWAT GALA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PAULS BAYA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PAUL RAJA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,33,0,21,2,0,23,1,9
2,220/78/01,LUBOK NIBONG,SEK. KEB. LBK. NIBONG,1,203,10,122,36,26,194,9,0
2,220/78/01,LUBOK NIBONG,SEK. JENIS KEB. HUA NAM,1,82,0,34,9,38,81,1,0
3,220/78/02,PUYUT,SEK. KEB. SG. SETAPANG,1,162,41,96,18,6,161,1,0
3,220/78/02,PUYUT,RH. LALO SELEJAU,1,106,2,81,20,3,106,0,0
3,220/78/02,PUYUT,RH. JUGAH SG. BELASOI,1,55,3,39,5,2,49,6,0
3,220/78/02,PUYUT,RH. ENTAP ANAK DUGAD SG. SENGKABANG,1,202,5,110,47,36,198,4,0
3,220/78/02,PUYUT,RH. LANSAM SG. DABAI,1,83,4,32,41,4,81,2,0
3,220/78/02,PUYUT,SEK. KEB. PUYUT,1,211,13,121,42,31,207,4,0
3,220/78/02,PUYUT,SEK. KEB. GUDANG,1,125,15,58,41,10,124,1,0
3,220/78/02,PUYUT,SEK. KEB. LG. LINEI,1,105,6,76,20,0,102,3,0
3,220/78/02,PUYUT,RH. ADANG SG. RIDAN,1,100,1,76,21,1,99,1,0
3,220/78/02,PUYUT,SEK. KEB. SG. BRIT,1,210,27,117,49,11,204,6,0
3,220/78/02,PUYUT,RH. RIBAB AK SELAT SG. PASIR,1,91,0,80,8,2,90,1,0
4,220/78/03,LIOMATU,RH. TK TEARIE ABENG,1,94,0,5,87,2,94,0,0
4,220/78/03,LIOMATU,SEK. KEB. LG. SAIT,1,129,2,31,92,1,126,3,0
4,220/78/03,LIOMATU,RH. TK JOHN JAU WAN LG. SEMIANG,1,68,0,32,1,33,66,2,0
4,220/78/03,LIOMATU,SEK. KEB. LG. TUNGAN,1,170,3,56,97,12,168,2,0
4,220/78/03,LIOMATU,SEK. KEB. LG. MOH,1,168,0,71,90,5,166,2,0
4,220/78/03,LIOMATU,RH. TK LUCAS NGAU LG. SELAAN TEPUAN,1,99,4,81,12,1,98,1,0
4,220/78/03,LIOMATU,SEK. KEB. LG. MENGKABA,1,131,1,61,62,4,128,3,0
4,220/78/03,LIOMATU,SEK. KEB. LG. JEKITAN,1,123,14,104,2,1,121,2,0
4,220/78/03,LIOMATU,SEK. KEB. LG. JEEH,1,251,5,145,98,1,249,2,0
4,220/78/03,LIOMATU,SEK.KEB. LG. LAMAI ULU BARAM,1,95,1,25,68,1,95,0,0
4,220/78/03,LIOMATU,SEK. KEB. LIO MATU,1,228,5,105,106,10,226,2,0
5,220/78/04,TUTOH,SEK. KEB. BATU BUNGAN SG. MELINAU,1,74,1,45,23,1,70,4,0
5,220/78/04,TUTOH,SEK. KEB. LG. SERIDAN,1,105,3,70,22,1,96,9,0
5,220/78/04,TUTOH,SEK. KEB. PENGHULU BAYA MALANG,1,246,10,170,63,2,245,1,0
5,220/78/04,TUTOH,SEK. KEB. LG. PANAI,1,279,2,104,158,5,269,10,0
5,220/78/04,TUTOH,RH. TK CHRISTHOPHER PUSU YUN LG. UKOK,1,103,0,62,39,0,101,2,0
5,220/78/04,TUTOH,RH. TK ASONG JABAN,1,33,2,21,8,0,31,2,0
5,220/78/04,TUTOH,SEK. KEB. KUALA TUTOH,1,97,7,54,9,26,96,1,0
6,220/78/05,LONG PELUAN,RH. TK TULOI BAYO LG. PELUAN,1,135,3,124,5,3,135,0,0
6,220/78/05,LONG PELUAN,SEK. KEB. LG. BANGA,1,172,2,131,21,2,156,16,0
7,220/78/06,BARIO,SEK. KEB. BARIO,1,189,19,160,0,7,186,3,0
7,220/78/06,BARIO,SEK. KEB. BARIO,2,181,24,147,2,6,179,2,0
8,220/78/07,PA`LUNGAN,RH. TK TAMA KUTA PA`UKAT,1,79,0,79,0,0,79,0,0
8,220/78/07,PA`LUNGAN,RH. TK MAREN PU`UN PA`LUNGAN,1,46,0,45,0,0,45,1,0
9,220/78/08,DANO,RH. TK BARANG LUGUN*,1,70,2,65,1,2,70,0,0
10,220/78/09,REMUDU,SEK. KEB. PA`DALIH*,1,66,0,66,0,0,66,0,0
11,220/78/10,LELLANG,RH. TK NUBANG RIBUH LG. LELLANG,1,157,2,76,65,13,156,1,0
JUMLAH,,,,41,5356,239,3198,1490,309,5236,111,9
