Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PAULUS PALU GUMBANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALI ADAP,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,47,24,6,30,4,13
2,221/80/00,UNDI AWAL,"RUANG B, BALAI POLIS LIMBANG",1,2,2,0,2,0,0
3,221/80/01,DANAU,SEK. KEB. BATU DANAU,1,244,216,21,237,7,0
3,221/80/01,DANAU,SEK. KEB. BATU DANAU,2,260,232,27,259,1,0
3,221/80/01,DANAU,SEK. KEB. BATU DANAU,3,222,199,21,220,2,0
3,221/80/01,DANAU,SEK. KEB. PANGKALAN JAWA,1,405,372,29,401,4,0
3,221/80/01,DANAU,SEK. KEB. KUALA AWANG,1,262,228,29,257,5,0
4,221/80/02,LUBAI,SEK. KEB. PENGANAN,1,415,269,142,411,4,0
4,221/80/02,LUBAI,SEK. KEB. NG. MERIT,1,248,123,120,243,5,0
4,221/80/02,LUBAI,RH. LUTA ENGKASING LUBAI,1,152,117,34,151,1,0
4,221/80/02,LUBAI,SEK. KEB. MENUANG,1,265,195,58,253,12,0
4,221/80/02,LUBAI,SEK. KEB. MENUANG,2,269,212,56,268,1,0
5,221/80/03,UKONG,"RH. LIBAN, TERUSAN LUBAI",1,128,104,23,127,1,0
5,221/80/03,UKONG,SURAU KPG. LBK. LASAS (BAHAGIAN BAWAH),1,94,83,10,93,1,0
5,221/80/03,UKONG,DEWAN KPG. UKONG,1,307,251,55,306,1,0
5,221/80/03,UKONG,DEWAN SERBAGUNA KPG. BULOH BALUI,1,280,245,33,278,2,0
5,221/80/03,UKONG,SEK. KEB. TANJONG,1,363,320,36,356,7,0
6,221/80/04,MEDIHIT,SEK. KEB. LG. NAPIR,1,126,83,38,121,5,0
6,221/80/04,MEDIHIT,"RH. LAWAI, SELIDONG",1,61,55,5,60,1,0
6,221/80/04,MEDIHIT,"RH. BRAIN, MERUYU",1,72,9,63,72,0,0
6,221/80/04,MEDIHIT,"RH. SING, KARANGAN MA MEDAMIT",1,68,45,21,66,2,0
6,221/80/04,MEDIHIT,SEK. KEB. MELABAN,1,235,100,128,228,7,0
6,221/80/04,MEDIHIT,SEK. KEB. NG. MEDALAM,1,201,134,63,197,4,0
7,221/80/05,MEDAMIT,RH. EKOM SEPANGAH,1,246,125,116,241,5,0
7,221/80/05,MEDAMIT,DEWAN MASYARAKAT MEDAMIT,1,303,181,114,295,8,0
7,221/80/05,MEDAMIT,RH. AKOH KARANGAN ENSURAI,1,170,147,17,164,6,0
7,221/80/05,MEDAMIT,"RH. TAN AK. KAYAN, RANTAU KIRAN",1,194,120,71,191,3,0
7,221/80/05,MEDAMIT,SEK. KEB. BUKIT BATU,1,270,175,91,266,4,0
JUMLAH,,,,28,5909,4366,1427,5793,103,13
