UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.218_N.72___1,SARAWAK,POSTAL VOTE,P.218,SIBUTI,N.72,LAMBIR,,UNDI POS,UNDI POS,1,91,,,,,67,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,,,,,0,70,8,13,,
P.218_N.72_218_72_00_1,SARAWAK,EARLY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/00,UNDI AWAL,"DEWAN MAKAN PASUKAN, KEM SRI MIRI",1,471,,,,,403,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,60,,,,,0,463,8,0,,
P.218_N.72_218_72_00_1,SARAWAK,EARLY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/00,UNDI AWAL,"RUANG B,BANGUNAN RUAI KENYALANG, IPD MIRI",1,20,,,,,19,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,0,20,0,0,,
P.218_N.72_218_72_01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,SEK. MEN. KEB. LUAR BANDAR BEKENU SIBUTI,1,287,,,,,204,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,67,,,,,0,271,16,0,,
P.218_N.72_218_72_01_2,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,SEK. MEN. KEB. LUAR BANDAR BEKENU SIBUTI,2,268,,,,,211,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,56,,,,,0,267,1,0,,
P.218_N.72_218_72_01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,RH. DUAT SG. KELINTANG,1,158,,,,,106,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,47,,,,,0,153,5,0,,
P.218_N.72_218_72_01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,RH. JAMES BIRI,1,133,,,,,116,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,14,,,,,0,130,3,0,,
P.218_N.72_218_72_01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,DEWAN PUSAT PEMBANGUNAN KEMAHIRAN SARAWAK (PPKS),1,225,,,,,174,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,46,,,,,0,220,5,0,,
P.218_N.72_218_72_01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,SEK. KEB. KELAPA SAWIT NO. 2 BUKIT PENINJAU,1,496,,,,,407,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,67,,,,,0,474,22,0,,
P.218_N.72_218_72_01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/01,PENINJAU,RH. LAGAN,1,276,,,,,238,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,32,,,,,0,270,6,0,,
P.218_N.72_218_72_02_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/02,SATAP,SEK. KEB. KELURU TENGAH SIBUTI,1,297,,,,,250,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,45,,,,,0,295,2,0,,
P.218_N.72_218_72_02_2,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/02,SATAP,SEK. KEB. KELURU TENGAH SIBUTI,2,425,,,,,371,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,45,,,,,0,416,9,0,,
P.218_N.72_218_72_02_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/02,SATAP,SEK. KEB. TAWAKAL SATAP SIBUTI,1,272,,,,,251,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,16,,,,,0,267,5,0,,
P.218_N.72_218_72_02_2,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/02,SATAP,SEK. KEB. TAWAKAL SATAP SIBUTI,2,303,,,,,276,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,24,,,,,0,300,3,0,,
P.218_N.72_218_72_03_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/03,BAKAM,SEK. JENIS KEB. CHUNG HUA SG. RAIT BAKAM,1,273,,,,,159,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,105,,,,,0,264,9,0,,
P.218_N.72_218_72_03_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/03,BAKAM,SEK. KEB. KPG. BAKAM MIRI,1,234,,,,,197,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,26,,,,,0,223,11,0,,
P.218_N.72_218_72_03_2,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/03,BAKAM,SEK. KEB. KPG. BAKAM MIRI,2,433,,,,,344,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,86,,,,,0,430,2,1,,
P.218_N.72_218_72_03_3,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/03,BAKAM,SEK. KEB. KPG. BAKAM MIRI,3,447,,,,,354,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,85,,,,,0,439,7,1,,
P.218_N.72_218_72_03_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/03,BAKAM,SEK.JENIS KEB.TUKAU,1,275,,,,,141,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,133,,,,,0,274,1,0,,
P.218_N.72_218_72_04_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.72,LAMBIR,218/72/04,LAMBIR,SEK. KEB. LAMBIR VILLAGE MIRI,1,199,,,,,142,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,42,,,,,0,184,15,0,,
