id,n,a,c,i
0,TIADA MAKLUMAT,TIADA,#FFFFFF,tiada.png
1,BARISAN NASIONAL,BN,#031A93,bn.png
2,PARTI ISLAM SE MALAYSIA,PAS,#6CB332,pas.png
3,PARTI TINDAKAN DEMOKRATIK,DAP,#E70024,dap.png
4,BARISAN JEMAAH ISLAMIAH SE MALAYSIA,BERJASA,#005121,berjasa.png
5,PARTI KEBANGSAAN SARAWAK,SNAP,#ABAE2D,snap.png
6,PARTI PESAKA BUMIPUTERA BERSATU SARAWAK,PBB,#ADADAD,pbb.png
7,PARTI KONGRES INDIAN MUSLIM MALAYSIA,KIMMA,#DE8801,kimma.png
8,PERSATUAN KEBANGSAAN PASOK NUNUKRAGANG BERSATU,PASOK,#F0F4BB,pasok.png
9,PARTI RAKYAT MALAYSIA,PRM,#FE8591,prm.png
10,PARTI BANSA DAYAK SARAWAK,PBDS,#9900CC,pbds.png
11,PARTI BERSATU SABAH,PBS,#6666FF,pbs.png
12,PARTI ANGKATAN KEADILAN RAKYAT - SABAH,AKAR,#FF9999,akar.png
13,PARTI MOMOGUN KEBANGSAAN SABAH,MOMOGUN,#CAD7FF,momogun.png
14,PARTI KEADILAN NASIONAL,KEADILAN,#04A0D1,keadilan.png
15,PARTI REFORMASI NEGERI SARAWAK,STAR,#CC3399,star.png
16,PARTI PERTUBUHAN KINABALU PROGRESIF BERSATU,UPKO,#2A0E72,upko.png
17,PARTI ANGKATAN KEADILAN INSAN MALAYSIA,AKIM,#FEF1E1,akim.png
18,PARTI DEMOKRATIK MALAYSIA,MDP,#EDDB07,mdp.png
19,PARTI PUNJABI MALAYSIA,PPM,#CC9900,ppm.png
20,BEBAS,BEBAS,#993300,bebas.png
21,PARTI BARISAN RAKYAT SABAH BERSEKUTU,BERSEKUTU,#00FFFF,bersekutu.png
22,PARTI DEMOKRATIK SETIAHATI KUASA RAKYAT BERSATU SABAH,SETIA,#FF66FF,setia.png
23,PARTI KONGRES PENYATUAN MASYARAKAT,CCC,#660033,ccc.png
24,PARTI GERAKAN RAKYAT MALAYSIA,GERAKAN,#FE2514,gerakan.png
25,PARTI PROGRESIF PENDUDUK MALAYSIA,PPP,#C09A31,ppp.png
26,PARTI LIBERAL DEMOKRATIK,LDP,#AB3D1A,ldp.png
27,PARTI MAJU SABAH,SAPP,#FBFD0B,sapp.png
28,PARTI BARISAN INDIA SE-MALAYSIA,AMIPF,#E30300,amipf.png
30,PARTI PEKERJA-PEKERJA MALAYSIA,MWP,#FEDBA3,mwp.png
31,PERTUBUHAN KEBANGSAAN MELAYU BERSATU,UMNO,#fff,umno.png
32,PARTI PERSATUAN CINA MALAYSIA,MCA,#fff,mca.png
33,KONGRES INDIA SE-MALAYSIA,MIC,#fff,mic.png
34,SARAWAK UNITED PEOPLE''S PARTY,SUPP,#fff,supp.png
35,PARTI BERSATU RAKYAT SABAH,PBRS,#fff,pbrs.png
36,PARTI DEMOKRATIK PROGRESIF SARAWAK,SPDP,#fff,spdp.png
37,PARTI KEADILAN RAKYAT,PKR,#04A0D1,pkr.png
38,PARTI RAKYAT SARAWAK,PRS,#fff,prs.png
40,PERSATUAN RAKYAT MALAYSIA SARAWAK,PERMAS,#fff,permas.png
41,PENANG FRONT PARTY,PFP,#fff,pfp.png
42,BERJAYA,BERJAYA,#fff,berjaya.png
43,PARTI GENERASI BARU,NEWGEN,#fff,newgen.png
44,PARTI PERIKATAN NASIONAL,PN,#043253,pn.png
45,PARTI SOSIALIS RAKYAT MALAYSIA,PSRM,#fff,psrm.png
46,PARTI GAGASAN RAKYAT SABAH,GAGASAN,#fff,gagasan.png
47,PARTI ASPIRASI RAKYAT SARAWAK,ASPIRASI,#BD354D,aspirasi.png
48,MALAYSIA UNITED PEOPLE''S PARTY,MUPP,#fff,mupp.png
49,PARTI BANSA DAYAK SARAWAK BARU,PBDSB,#0B46C8,pbdsb.png
50,PAKATAN HARAPAN,PH,#D7292F,ph.png
51,GABUNGAN PARTI SARAWAK,GPS,#1F2C45,gps.png
52,PARTI PERTUBUHAN KEBANGSAAN SABAH BERSATU,USNO,#fff,usno.png
53,PARTI BUMIPUTRA PERKASA MALAYSIA,PUTRA,#FEFE00,putra.png
54,PARTI SARAWAK BERSATU ,PSB,#A13C33,psb.png
55,PARTI PERHIMPUNAN SOSIAL BERSATU,PUSAKA,#fff,pusaka.png
56,PARTI RAKYAT JATI SARAWAK,PAJAR,#fff,pajar.png
57,SARAWAK PEOPLES` ORGANISATION,SAPO,#fff,sapo.png
58,KESATUAN INSAF TANAH AIR,KITA,#fff,kita.png
59,PARTI KEADILAN RAKYAT MALAYSIA,PEKEMAS,#fff,pekemas.png
60,BISAMAH,BISAMAH,#fff,bisamah.png
61,PARTI BEBAS PROGRESIF RAKYAT,IPPP,#fff,ippp.png
62,PBPR,PBPR,#fff,pbpr.png
63,PERIKATAN,PER,#fff,per.png
64,PARTY PESAKA SARAWAK,PESAKA,#fff,pesaka.png
65,PARTAI SOCIALIS RAKYAT MALAYA,PR,#fff,pr.png
66,PARTI KEMAJUAN RAKYAT,PPP,#fff,ppp.png
67,UNITED MALAYSIA CHINESE ORGANISATION,UMCO,#fff,umco.png
68,SABAH CHINESE ASSOCIATION,SCA,#fff,sca.png
70,PARTI SEDAR RAKYAT SARAWAK,SEDAR,#C3B62B,sedar.png
